"race","pathway","disease_type3","V1","V2","V3"
1,"direct","All_HD",1955.85999423196,1704.07551717231,1669.59822193148
1,"medSBP","All_HD",0,0,0
1,"medBMI","All_HD",5901.65980455776,5207.78499459068,4533.80949791111
1,"direct","All_STK",6139.09543875875,6555.51133156279,5530.52714460589
1,"medSBP","All_STK",0,0,0
1,"medBMI","All_STK",1725.30477575518,1550.41747395764,1485.2455144294
1,"direct","Cancer",67139.3511091757,61633.8142955343,63731.2261153125
1,"medSBP","Cancer",0,0,0
1,"medBMI","Cancer",33342.5678356387,30103.8773566231,31126.3437526288
1,"direct","DIAB",0,0,0
1,"medSBP","DIAB",0,0,0
1,"medBMI","DIAB",647.635748345024,716.515533154555,639.425808096401
1,"direct","Other_CVD",0,0,0
1,"medSBP","Other_CVD",0,0,0
1,"medBMI","Other_CVD",3019.20971548995,3078.05033907852,2767.61580294769
2,"medSBP","All_HD",0,0,0
2,"medBMI","All_HD",557.642866479091,528.233463790282,776.709825586473
2,"direct","All_HD",250.297271977183,226.174324616216,360.64821084925
2,"medSBP","All_STK",0,0,0
2,"medBMI","All_STK",205.726403095944,221.504232397295,295.010621585335
2,"direct","All_STK",776.695418113068,884.068320441901,1255.27923149011
2,"medSBP","Cancer",0,0,0
2,"medBMI","Cancer",3424.77176972615,3509.18525394447,4329.31256502138
2,"direct","Cancer",11532.4279824926,12364.6863707717,13440.2802414758
2,"medSBP","DIAB",0,0,0
2,"medBMI","DIAB",153.720252195913,146.599501800162,159.309505635173
2,"direct","DIAB",0,0,0
2,"medSBP","Other_CVD",0,0,0
2,"medBMI","Other_CVD",419.029142274478,415.441981315297,457.547714739012
2,"direct","Other_CVD",0,0,0
3,"medBMI","All_HD",135.321002827883,205.731197462316,115.040026774186
3,"medSBP","All_HD",0,0,0
3,"direct","All_HD",50.3186849139811,39.1182232356789,40.1958753823529
3,"medBMI","All_STK",44.5817485810843,59.5304010205772,50.7789994825221
3,"medSBP","All_STK",0,0,0
3,"direct","All_STK",188.076796343104,291.075149180032,207.964656467707
3,"medBMI","Cancer",1368.99410969469,1297.76502965536,1447.37312251697
3,"medSBP","Cancer",0,0,0
3,"direct","Cancer",6769.69510651352,7057.90643692223,7525.80601902031
3,"medBMI","DIAB",33.1658569482447,37.9421416338733,29.5835910875381
3,"medSBP","DIAB",0,0,0
3,"direct","DIAB",0,0,0
3,"medBMI","Other_CVD",75.6796154509777,98.2357020172623,65.3739685300947
3,"medSBP","Other_CVD",0,0,0
3,"direct","Other_CVD",0,0,0
4,"direct","All_HD",32.8952864983717,53.5328157165553,60.7811316370877
4,"medSBP","All_HD",0,0,0
4,"medBMI","All_HD",72.2073396621728,108.452873981256,106.561645315953
4,"direct","All_STK",147.914613535992,231.141816647916,273.675122491693
4,"medSBP","All_STK",0,0,0
4,"medBMI","All_STK",34.0446177494744,57.6702488312572,56.1412109045684
4,"direct","Cancer",7186.45919687978,6818.0247795156,7092.7511750138
4,"medSBP","Cancer",0,0,0
4,"medBMI","Cancer",1652.57576563941,1763.72689770715,2076.07831579317
4,"direct","DIAB",0,0,0
4,"medSBP","DIAB",0,0,0
4,"medBMI","DIAB",21.5486092498605,27.4911546779862,23.6097203410539
4,"direct","Other_CVD",0,0,0
4,"medSBP","Other_CVD",0,0,0
4,"medBMI","Other_CVD",51.6197805147812,78.8609949695,80.1649328681852
