"age","pathway","disease_type3","V1","V2","V3"
25,"direct","All_HD",17.9387638505224,19.6564140205738,18.5086607884455
25,"medSBP","All_HD",0,0,0
25,"medBMI","All_HD",46.6089304419469,33.1067407984033,27.8409335957815
25,"direct","All_STK",54.9770833333868,47.652616156114,58.712002745104
25,"medSBP","All_STK",0,0,0
25,"medBMI","All_STK",15.2528268663797,14.3616489853827,13.7720931011454
25,"direct","Cancer",1268.35986425972,1306.79302743371,1324.10459020437
25,"medSBP","Cancer",0,0,0
25,"medBMI","Cancer",536.400701924318,618.685351382025,474.003508002145
25,"direct","DIAB",0,0,0
25,"medSBP","DIAB",0,0,0
25,"medBMI","DIAB",13.984181025892,19.6309598622174,16.1669645246444
25,"direct","Other_CVD",0,0,0
25,"medSBP","Other_CVD",0,0,0
25,"medBMI","Other_CVD",122.124098507458,107.609573983082,101.401763933642
35,"direct","All_HD",67.9621003086317,84.630468386836,63.7475500104859
35,"medBMI","All_HD",138.808376673949,134.863945482848,76.5258898299941
35,"medSBP","All_HD",0,0,0
35,"direct","All_STK",180.305987604692,170.807394244049,161.4243808473
35,"medBMI","All_STK",48.5344389639833,48.4769913870829,43.0258853452922
35,"medSBP","All_STK",0,0,0
35,"direct","Cancer",2579.05945403888,2488.78879624525,2786.73375799787
35,"medBMI","Cancer",979.231056391671,1097.91196416903,1005.46149548563
35,"medSBP","Cancer",0,0,0
35,"direct","DIAB",0,0,0
35,"medBMI","DIAB",51.594374343593,51.1045891191108,38.0711118788065
35,"medSBP","DIAB",0,0,0
35,"direct","Other_CVD",0,0,0
35,"medBMI","Other_CVD",161.171007790243,170.958925684174,134.6940372988
35,"medSBP","Other_CVD",0,0,0
45,"direct","All_HD",215.529396339225,230.211372300268,188.676912245974
45,"medBMI","All_HD",524.70545842974,326.177291395594,353.619437898011
45,"medSBP","All_HD",0,0,0
45,"direct","All_STK",469.197783565693,557.751191516118,452.575958633238
45,"medBMI","All_STK",131.338447604082,115.372780352149,115.976559023756
45,"medSBP","All_STK",0,0,0
45,"direct","Cancer",9180.54847710137,8503.34960671578,7342.34535488048
45,"medBMI","Cancer",4132.20978429113,4111.66118216291,3894.1753474574
45,"medSBP","Cancer",0,0,0
45,"direct","DIAB",0,0,0
45,"medBMI","DIAB",116.740252573069,132.861437665571,110.117749679286
45,"medSBP","DIAB",0,0,0
45,"direct","Other_CVD",0,0,0
45,"medBMI","Other_CVD",273.117150231148,302.469778924894,223.544229179364
45,"medSBP","Other_CVD",0,0,0
55,"medBMI","All_HD",938.814359961468,687.396956112062,878.593524957372
55,"medSBP","All_HD",0,0,0
55,"direct","All_HD",346.121030067907,315.378370443425,496.269217144525
55,"medBMI","All_STK",248.877696028905,182.966745168547,211.405303244446
55,"medSBP","All_STK",0,0,0
55,"direct","All_STK",860.603314039189,769.486097447614,873.683483964149
55,"medBMI","Cancer",10307.513264109,8940.12896239138,11223.3138664349
55,"medSBP","Cancer",0,0,0
55,"direct","Cancer",25720.4613119367,26493.8156836518,29646.8393579258
55,"medBMI","DIAB",153.372488572819,140.724248119214,169.076255675067
55,"medSBP","DIAB",0,0,0
55,"direct","DIAB",0,0,0
55,"medBMI","Other_CVD",492.213284175348,392.585088253291,383.756967678209
55,"medSBP","Other_CVD",0,0,0
55,"direct","Other_CVD",0,0,0
65,"medSBP","All_HD",0,0,0
65,"direct","All_HD",625.486680527597,832.574610102015,612.097054701562
65,"medBMI","All_HD",1711.44656629738,1294.36170221934,1491.91042466659
65,"medSBP","All_STK",0,0,0
65,"direct","All_STK",1665.79076385933,1615.93547845231,1338.88127932073
65,"medBMI","All_STK",381.876650299537,381.956941268861,351.735312492676
65,"medSBP","Cancer",0,0,0
65,"direct","Cancer",28376.0747321896,27695.3170341303,29806.0066617757
65,"medBMI","Cancer",13155.1729305075,10707.2595955706,12654.3680293244
65,"medSBP","DIAB",0,0,0
65,"direct","DIAB",0,0,0
65,"medBMI","DIAB",251.402562750085,324.055869439442,208.988412768682
65,"medSBP","Other_CVD",0,0,0
65,"direct","Other_CVD",0,0,0
65,"medBMI","Other_CVD",706.340710757804,642.839320013141,622.67373160054
75,"direct","All_HD",1016.33326652761,540.449645487638,751.92404490918
75,"medBMI","All_HD",3306.44732172243,3574.29589381628,2703.63078463997
75,"medSBP","All_HD",0,0,0
75,"direct","All_STK",4020.90733434863,4800.16384001644,4382.16904954488
75,"medBMI","All_STK",1183.7774854188,1145.98724904475,1151.26119319451
75,"medSBP","All_STK",0,0,0
75,"direct","Cancer",25503.4295555353,21386.367734567,20884.0338280381
75,"medBMI","Cancer",10678.3817434753,11198.9074822541,9727.78550925583
75,"medSBP","Cancer",0,0,0
75,"direct","DIAB",0,0,0
75,"medBMI","DIAB",268.976607473584,260.171227061022,309.50813063368
75,"medSBP","DIAB",0,0,0
75,"direct","Other_CVD",0,0,0
75,"medBMI","Other_CVD",1810.57200226819,2054.126330522,1904.63168939443
75,"medSBP","Other_CVD",0,0,0
