"age","outcome","pathway","V1","V2","V3"
25,"AA","direct",0,0,0
25,"AA","medSBP",0,0,0
25,"AA","medBMI",1.38763532876128,1.4295391985431,1.41784584943871
25,"AFF","medSBP",0,0,0
25,"AFF","direct",0,0,0
25,"AFF","medBMI",0.122622505841945,0.0753236092930714,0.105631807764728
25,"APCA","direct",0,0,0
25,"APCA","medBMI",0.00726775692318852,0.00922583006325549,0.00989045136116842
25,"APCA","medSBP",0,0,0
25,"BC","direct",0,0,0
25,"BC","medSBP",0,0,0
25,"BC","medBMI",0,0,0
25,"CC","medBMI",2.75297742894936,1.60504076657899,2.13445402044516
25,"CC","direct",200.504246856993,203.692948693895,175.021189095081
25,"CC","medSBP",0,0,0
25,"CM","medBMI",8.01774646292369,6.26949308145502,5.45746687264412
25,"CM","medSBP",0,0,0
25,"CM","direct",0,0,0
25,"DIAB","direct",0,0,0
25,"DIAB","medBMI",13.984181025892,19.6309598622174,16.1669645246444
25,"DIAB","medSBP",0,0,0
25,"ECA","medSBP",0,0,0
25,"ECA","medBMI",0.491284860253789,0.484263003159261,0.197822853480252
25,"ECA","direct",0,0,0
25,"ENDO","medSBP",0,0,0
25,"ENDO","medBMI",1.79465754247549,1.68772782167414,1.6487854605243
25,"ENDO","direct",0,0,0
25,"GC","medBMI",0.0501097773694641,0.0751190459650754,0.0502786687149108
25,"GC","direct",0,0,0
25,"GC","medSBP",0,0,0
25,"HHD","direct",0,0,0
25,"HHD","medBMI",9.69103311368419,7.26203669051317,5.5261506804405
25,"HHD","medSBP",0,0,0
25,"HSTK","direct",8.48174969306745,9.3078903140299,11.4513236933558
25,"HSTK","medBMI",2.72251021186968,2.29302207313597,2.34582814991719
25,"HSTK","medSBP",0,0,0
25,"IHD","medSBP",0,0,0
25,"IHD","medBMI",12.3901938828235,7.82447338594417,7.68619400826282
25,"IHD","direct",11.4308326036605,12.3616912509227,11.4151616528004
25,"ISTK","direct",5.86628909879723,3.79772226179955,6.27647064980347
25,"ISTK","medSBP",0,0,0
25,"ISTK","medBMI",1.74113097533961,1.64964859100041,1.61780605301058
25,"KC","medSBP",0,0,0
25,"KC","medBMI",3.92565806107525,4.82407448653349,3.71528245418625
25,"KC","direct",0,0,0
25,"LC","medSBP",0,0,0
25,"LC","direct",0,0,0
25,"LC","medBMI",0,0,0
25,"LVC","direct",0,0,0
25,"LVC","medSBP",0,0,0
25,"LVC","medBMI",0.946104050197922,1.04221955556382,0.875467180834683
25,"MLPC","medBMI",0,0,0
25,"MLPC","direct",11.8797896932617,8.35603441652206,12.3948879291834
25,"MLPC","medSBP",0,0,0
25,"MMC","direct",0,0,0
25,"MMC","medBMI",0.143872497199669,0.15338082263603,0.196662277769141
25,"MMC","medSBP",0,0,0
25,"OC","direct",0,0,0
25,"OC","medSBP",0,0,0
25,"OC","medBMI",0.735180721983827,0.975624771880806,0.742751499149196
25,"OSTK","direct",4.14789376799545,2.98202880760668,2.94926855140091
25,"OSTK","medBMI",0.790160686597619,0.791329605979259,0.679996475276023
25,"OSTK","medSBP",0,0,0
25,"OTH","medBMI",6.4855061001252,5.71647179867075,4.64084679813856
25,"OTH","medSBP",0,0,0
25,"OTH","direct",0,0,0
25,"PC","medSBP",0,0,0
25,"PC","medBMI",0.494014882866848,0.362801789514575,0.461054282692222
25,"PC","direct",0,0,0
25,"PVD","medBMI",0.160515062803541,0.0827517224126553,0.068266650072157
25,"PVD","direct",0,0,0
25,"PVD","medSBP",0,0,0
25,"RHD","medSBP",0,0,0
25,"RHD","direct",0,0,0
25,"RHD","medBMI",1.04336357856305,1.00249119626278,0.779402495039714
25,"SCC","direct",0,0,0
25,"SCC","medSBP",0,0,0
25,"SCC","medBMI",0.231181934571427,0.459018989552361,0.216948589033708
25,"SCNC","medBMI",0,0,0
25,"SCNC","medSBP",0,0,0
25,"SCNC","direct",0,0,0
25,"TC","direct",0,0,0
25,"TC","medBMI",6.68102382125364,8.17684820832681,4.54562318056467
25,"TC","medSBP",0,0,0
25,"UC","medSBP",0,0,0
25,"UC","direct",0,0,0
25,"UC","medBMI",6.42226659108886,6.37836173895251,5.7743496591249
35,"AA","direct",0,0,0
35,"AA","medBMI",2.85385357783704,3.41478148256507,2.74517765157344
35,"AA","medSBP",0,0,0
35,"AFF","medSBP",0,0,0
35,"AFF","direct",0,0,0
35,"AFF","medBMI",0.413554530596806,0.613566404634871,0.368326554890057
35,"APCA","direct",0,0,0
35,"APCA","medSBP",0,0,0
35,"APCA","medBMI",0.161003738259811,0.0507581443890846,0.127723823372245
