"age","pathway","disease_type3","V1","V2","V3"
25,"direct","All_HD",51.126711790959,60.955498085603,55.9462472798002
25,"medSBP","All_HD",0,0,0
25,"medBMI","All_HD",124.409780473718,101.602645145735,84.451853479378
25,"direct","All_STK",155.472992631872,135.794729446221,164.412173697448
25,"medSBP","All_STK",0,0,0
25,"medBMI","All_STK",47.1067691543903,43.8600540578114,42.9741338442477
25,"direct","Cancer",1676.01743694474,1636.29374015352,1731.86275607607
25,"medSBP","Cancer",0,0,0
25,"medBMI","Cancer",1641.51172080504,1892.44233460858,1483.96268473275
25,"direct","DIAB",0,0,0
25,"medSBP","DIAB",0,0,0
25,"medBMI","DIAB",39.6820107994332,58.0913978065713,49.4342698559864
25,"direct","Other_CVD",0,0,0
25,"medSBP","Other_CVD",0,0,0
25,"medBMI","Other_CVD",328.412839192333,314.840091036124,300.851562655924
35,"direct","All_HD",197.25174441111,244.738045565671,208.636412730025
35,"medBMI","All_HD",413.899870413895,379.393621254536,278.127504365399
35,"medSBP","All_HD",0,0,0
35,"direct","All_STK",504.681506715351,495.120489604242,493.137478377859
35,"medBMI","All_STK",148.84650247098,149.235402074435,136.842440748491
35,"medSBP","All_STK",0,0,0
35,"direct","Cancer",3159.33455495221,3313.61947158558,3552.36312021958
35,"medBMI","Cancer",3227.8215287666,3368.04298914244,3272.02924291505
35,"medSBP","Cancer",0,0,0
35,"direct","DIAB",0,0,0
35,"medBMI","DIAB",147.54444619355,146.790029094578,125.641679197307
35,"medSBP","DIAB",0,0,0
35,"direct","Other_CVD",0,0,0
35,"medBMI","Other_CVD",461.768644052873,479.113671004472,423.560490209871
35,"medSBP","Other_CVD",0,0,0
45,"direct","All_HD",638.353918518652,637.420514405497,649.999549372278
45,"medBMI","All_HD",1532.45742688127,904.882531468812,1205.87346928127
45,"medSBP","All_HD",0,0,0
45,"direct","All_STK",1256.48934842713,1462.01236738326,1307.05503274985
45,"medBMI","All_STK",380.976417691599,344.646324304382,376.753856238118
45,"medSBP","All_STK",0,0,0
45,"direct","Cancer",11577.8189716877,10558.7111726361,9604.92561319732
45,"medBMI","Cancer",11681.9976933901,11500.127856013,11228.3186429538
45,"medSBP","Cancer",0,0,0
45,"direct","DIAB",0,0,0
45,"medBMI","DIAB",344.868250299254,371.457982220363,351.594636665672
45,"medSBP","DIAB",0,0,0
45,"direct","Other_CVD",0,0,0
45,"medBMI","Other_CVD",767.466330203713,813.028699253243,710.572870416908
45,"medSBP","Other_CVD",0,0,0
55,"medBMI","All_HD",2890.68282092803,2472.66848124286,2905.31420198695
55,"medSBP","All_HD",0,0,0
55,"direct","All_HD",1069.52946907705,1103.04114388574,1671.16445691511
55,"medBMI","All_STK",758.041616013563,642.321229261207,700.146429104747
55,"medSBP","All_STK",0,0,0
55,"direct","All_STK",2504.28189390549,2533.65825125364,2707.45788907456
55,"medBMI","Cancer",30994.192686411,30808.6307190145,35909.5078296864
55,"medSBP","Cancer",0,0,0
55,"direct","Cancer",32576.2737476183,33374.1640582082,38071.8204891225
55,"medBMI","DIAB",486.551860443708,495.065973138424,561.516098732364
55,"medSBP","DIAB",0,0,0
55,"direct","DIAB",0,0,0
55,"medBMI","Other_CVD",1455.07210610467,1325.00909519767,1239.28318652338
55,"medSBP","Other_CVD",0,0,0
55,"direct","Other_CVD",0,0,0
65,"medSBP","All_HD",0,0,0
65,"direct","All_HD",1785.59328500536,2289.42757585312,1766.03164085899
65,"medBMI","All_HD",4680.31422684027,3723.32056385936,4163.82147245382
65,"medSBP","All_STK",0,0,0
65,"direct","All_STK",4480.01928249141,4517.4649156093,3838.04544700918
65,"medBMI","All_STK",1083.39380539599,1137.64701239255,1062.33566201936
65,"medSBP","Cancer",0,0,0
65,"direct","Cancer",36780.6896337159,35252.7047016957,39459.379568932
65,"medBMI","Cancer",36527.6755928157,31939.2246776517,36488.8422415756
65,"medSBP","DIAB",0,0,0
65,"direct","DIAB",0,0,0
65,"medBMI","DIAB",721.696969687379,916.564690206192,634.738510969767
65,"medSBP","Other_CVD",0,0,0
65,"direct","Other_CVD",0,0,0
65,"medBMI","Other_CVD",1941.72835554972,1826.02222857153,1770.78849429328
75,"direct","All_HD",3026.64452858377,1572.7546335127,2272.3911125879
75,"medBMI","All_HD",9616.80744185588,9988.98517019515,8057.6226369658
75,"medSBP","All_HD",0,0,0
75,"direct","All_STK",11481.8495036704,12870.8846263882,12653.6349139819
75,"medBMI","All_STK",3419.73263531272,3207.14761624641,3466.6422125067
75,"medSBP","All_STK",0,0,0
75,"direct","Cancer",32703.7290683515,28430.4690995918,27837.1806777645
75,"medBMI","Cancer",30195.3496034548,30561.248685291,28288.5937089152
75,"medSBP","Cancer",0,0,0
75,"direct","DIAB",0,0,0
75,"medBMI","DIAB",833.764496246575,757.641445618089,924.120625301436
75,"medSBP","DIAB",0,0,0
75,"direct","Other_CVD",0,0,0
75,"medBMI","Other_CVD",5112.64452335031,5523.77626498434,5524.84176354137
75,"medSBP","Other_CVD",0,0,0
