"female","pathway","disease_type3","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"direct","All_HD",4111.466372125,199.732461682033,4095.6590435477,3928.88485285336,4307.48412068734,0.0171409379354264,0.000810405962707076,0.0169923239746137,0.0164439841397686,0.0179642135977752,1.69923239746137,1.64439841397686,1.79642135977752,3.48822355163196,0.169455715748589,3.47481240075753,3.33331892686499,3.65452765464221
0,"direct","All_STK",8679.9273327784,141.164256850025,8602.78445570038,8594.57613489487,8830.84997617824,0.139198744955336,0.00144418663170978,0.138847770681979,0.138006662489675,0.14068915555335,13.8847770681979,13.8006662489675,14.068915555335,7.36416747901133,0.119765660429901,7.2987184211062,7.29175437096894,7.49221228627307
0,"direct","Cancer",46239.085055129,799.640527019435,46130.5637196906,45530.8131167387,47039.6001286418,0.111739699834785,0.00178999364877897,0.111376964014478,0.11021976030308,0.11356796481375,11.1376964014478,11.021976030308,11.356796481375,39.2298637266613,0.678425813743661,39.1377927612518,38.6289562564694,39.9090315174514
0,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medBMI","All_HD",10850.3179281799,782.785846104977,10543.1111448238,10281.5029184478,11680.2587037645,0.0452449819267565,0.00342150079923941,0.0437419126856866,0.0428777823601019,0.0488897903483206,4.37419126856866,4.28777823601019,4.88897903483206,9.20555614813645,0.664126075013054,8.9449177675847,8.72296581809722,9.90968910164467
0,"medBMI","All_STK",2503.57071728043,112.90285652951,2457.11289355651,2423.09903646507,2623.53154826113,0.0401591131442805,0.0020561869555171,0.0391194168400284,0.0388448509381906,0.0423571172089847,3.91194168400284,3.88448509381906,4.23571172089847,2.12406318057275,0.0957883070290592,2.08464773600775,2.05578992065685,2.2258395683689
0,"medBMI","Cancer",46117.7200996741,1292.96714198996,46224.3635865437,44847.2153859441,47297.5778495649,0.111445045657715,0.00296430176634055,0.111603433052631,0.108564660857877,0.114190801171873,11.1603433052631,10.8564660857877,11.4190801171873,39.1268960607135,1.09697077100125,39.2173738340571,38.0489827169637,40.1279032971214
0,"medBMI","DIAB",1517.14970282483,147.978790868469,1494.82932074238,1387.26055950049,1666.01117091926,0.037123835501853,0.00346447931945253,0.0365153400107566,0.0341294878185729,0.040635404352565,3.65153400107566,3.41294878185729,4.0635404352565,1.28717028080903,0.125547203048781,1.26823336745147,1.17697057884452,1.41346635912746
0,"medBMI","Other_CVD",5110.38051935489,202.99477763615,5192.31433244496,4894.87869486651,5256.23860271671,0.0979710739290266,0.00387323854929246,0.0999710419146654,0.0938299067752673,0.100412268294993,9.99710419146654,9.38299067752673,10.0412268294993,4.33571579382796,0.172223508626859,4.40522954649623,4.15288113787734,4.45946376001056
0,"medSBP","All_HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medSBP","All_STK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medSBP","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medSBP","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","All_HD",2322.20245735478,518.058103516132,2305.53661078626,1837.32127991192,2821.24960438089,0.0132586762120576,0.00291731054975913,0.0132021469340876,0.0105116463889925,0.0160537559213971,1.32021469340876,1.05116463889925,1.60537559213971,1.82834749672966,0.407884434763357,1.81522591951405,1.44658436312294,2.22126397096964
1,"direct","All_STK",12507.2302813607,827.635573240431,12320.8895102664,11815.262364853,13357.5878532986,0.146660162513583,0.00961257684816474,0.143591927311528,0.13918803989062,0.156740285058293,14.3591927311528,13.918803989062,15.6740285058293,9.84735982150139,0.651625108631677,9.70064751341216,9.30255038683855,10.5168747180401
1,"direct","Cancer",70860.0342390221,3311.01920679545,72343.2996935797,67330.5441856021,73128.7486560681,0.118540436640615,0.00564700347798291,0.120939003943873,0.112532522858085,0.122509568215377,12.0939003943873,11.2532522858085,12.2509568215377,55.7904698656946,2.60687592470471,56.9582942611245,53.0115845521146,57.5767044431593
1,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medBMI","All_HD",6991.22731151751,546.408778264131,7027.74186834263,6457.49031381646,7493.9269359172,0.0399269645742283,0.002992301248601,0.0402045797484059,0.03697548242702,0.0426424738233855,4.02045797484059,3.697548242702,4.26424738233855,5.50442659019553,0.430205867178491,5.53317571943443,5.0841976387671,5.90021878177088
1,"medBMI","All_STK",3212.6459889988,112.672278573129,3205.80732121471,3108.66173069345,3322.44311492064,0.0376699333769361,0.00118584188366256,0.0377877847271434,0.0364974770277593,0.0387422160784366,3.77877847271434,3.64974770277593,3.87422160784366,2.5294234071888,0.0887106452874335,2.52403909580612,2.44755313021543,2.61587034883745
1,"medBMI","Cancer",67552.1200463737,2055.75674052158,68044.1852390995,65432.4434539732,69253.5412249572,0.113005960356545,0.00356306075861542,0.113752013273448,0.109360096033853,0.116017679699871,11.3752013273448,10.9360096033853,11.6017679699871,53.1860386222558,1.61856589140777,53.5734579708568,51.5171464981787,54.525624300022
1,"medBMI","DIAB",1138.43875466738,110.077917757226,1079.27871292752,1071.02517294424,1256.13837186941,0.0359467280350186,0.00354297810133775,0.0339530179240866,0.0338549547532094,0.0397331549111201,3.39530179240866,3.38549547532094,3.97331549111201,0.896330826230859,0.086668018431904,0.849752150939682,0.843253863454114,0.988999663005105
1,"medBMI","Other_CVD",4995.87988602569,110.325828759483,5022.18701205321,4882.1488933109,5087.24982161709,0.0860649013326131,0.00206969111908552,0.0868735427490079,0.0838709965695561,0.0875714608917344,8.68735427490079,8.38709965695561,8.75714608917344,3.93342296863379,0.0868632070378555,3.95413544693913,3.8438787623687,4.00536156833933
1,"medSBP","All_HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","All_STK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
