"age","female","pathway","V1","V2","V3"
25,0,"direct",3058.29228213099,2760.41082059971,2996.81576458486
25,0,"medSBP",0,0,0
25,0,"medBMI",3121.3620612468,3028.53779888362,2891.40535929835
25,1,"direct",4796.67211275768,4681.24687393046,5457.06359954305
25,1,"medBMI",5160.68093420919,5795.09402335686,4888.97462515808
25,1,"medSBP",0,0,0
35,0,"direct",7467.91009703421,7600.06748449461,6801.34193305017
35,0,"medBMI",8127.9114079809,7985.04927603243,7265.53360047563
35,0,"medSBP",0,0,0
35,1,"medBMI",9041.38519094531,9311.37538595597,8920.23878861622
35,1,"direct",8891.43312601544,9417.24465881163,9893.03232370196
35,1,"medSBP",0,0,0
45,0,"direct",20963.2254504557,25422.6940608016,20026.8802991425
45,0,"medBMI",25204.8121388551,24579.9653449552,23065.0429395584
45,0,"medSBP",0,0,0
45,1,"medSBP",0,0,0
45,1,"medBMI",27313.3914292464,26123.7211698438,28036.3301749116
45,1,"direct",26571.081616086,25932.528601694,27961.8136536998
55,0,"medBMI",60660.2259366846,57272.5309559958,62210.7558195184
55,0,"medSBP",0,0,0
55,0,"direct",54005.1391066389,55025.4449027465,56167.2701778735
55,1,"medSBP",0,0,0
55,1,"direct",65800.4611404021,60661.8431720009,73057.6085544729
55,1,"medBMI",68243.4012831522,63903.1911636647,67380.3389680316
65,0,"medSBP",0,0,0
65,0,"direct",66380.8412665394,67901.203071952,65876.4788013143
65,0,"medBMI",74138.0749911594,69561.8721461853,66770.1751334629
65,1,"direct",71554.4882167804,70452.8440101532,61271.5225340178
65,1,"medSBP",0,0,0
65,1,"medBMI",68929.940670286,66955.1856591254,70245.3006003999
75,0,"direct",65743.9687222132,56924.2689082304,64086.6225499216
75,0,"medBMI",76949.5513447498,80889.020331707,72964.0649247534
75,0,"medSBP",0,0,0
75,1,"medBMI",106343.893870551,103826.052572577,106850.332042947
75,1,"direct",98005.2516285637,100618.807546338,93229.6581541468
75,1,"medSBP",0,0,0
