"female","race","disease_type2","V1","V2","V3"
0,1,"Cancer",69304.3898334174,66402.1629201587,70114.8033772776
0,1,"DIAB",1031.05588393581,1281.71189285488,987.390345083324
0,1,"HHD",624.204899980791,527.290928270804,558.141465108051
0,1,"HSTK",703.470427569629,647.926145558684,580.532759906291
0,1,"IHD",5714.88890433479,5599.9673720538,5275.33984015773
0,1,"ISTK",853.531246282313,642.168263729534,745.924964807093
0,1,"OSTK",1304.71122637318,1714.89486538588,1536.29920887493
0,1,"Other_CVD",4053.01931433297,4144.86896863951,3829.67315156352
0,2,"Cancer",10361.5996015873,11301.7612677908,11162.8203654689
0,2,"DIAB",281.430670367687,236.353512129135,217.348614607493
0,2,"HHD",199.767676917997,144.702690659764,129.765907424656
0,2,"HSTK",192.989762352462,164.507714892035,221.787954108793
0,2,"IHD",738.880937802878,642.911562180773,834.965664682764
0,2,"ISTK",168.014649411944,149.396025368591,161.118893556533
0,2,"OSTK",298.101128381365,314.436130067286,313.095077972219
0,2,"Other_CVD",727.799400163758,726.421259151572,670.08578821957
0,3,"Cancer",6711.04606566366,6403.86945249744,6536.96692115828
0,3,"DIAB",125.801054859518,102.868182072407,134.262144730739
0,3,"HHD",38.0395513097584,46.2594344372352,51.2164008093217
0,3,"HSTK",90.5368952257968,96.1524534620799,129.839251134415
0,3,"IHD",416.467809422318,348.79179954867,338.254965733516
0,3,"ISTK",67.5469918439964,72.4155330057158,100.105193189453
0,3,"OSTK",80.0869392290791,95.9581412774564,110.315352791134
0,3,"Other_CVD",275.245392465643,242.924384857317,258.340922441905
0,4,"Cancer",5977.89180556594,6166.18755678579,6626.91629703721
0,4,"DIAB",56.5417115793611,54.0871549247745,42.597941329362
0,4,"HHD",15.7952535654906,18.7541361941135,18.8702482834541
0,4,"HSTK",58.628098346811,48.6104281649463,62.8252082510168
0,4,"IHD",186.601082888345,227.020180660686,188.270661719303
0,4,"ISTK",28.2631455529338,39.0567925971558,30.9644864702494
0,4,"OSTK",49.9474904971216,63.6105508690822,58.8327251387274
0,4,"Other_CVD",136.250225482584,145.388425345782,121.124325400542
1,1,"Cancer",104828.132011372,96421.7656969726,104148.130058432
1,1,"DIAB",714.801608033609,654.196113781361,887.481272594846
1,1,"HHD",627.383723733455,498.452787793323,318.836797233853
1,1,"HSTK",1015.89277099458,1025.02793057856,1116.13609144671
1,1,"IHD",3369.92999410875,2658.76116379639,3510.92116976386
1,1,"ISTK",981.838832921375,1273.40934208562,999.689946718289
1,1,"OSTK",2030.66635007294,1992.92235809646,1655.32340216516
1,1,"Other_CVD",3880.97729349061,3989.96426750078,4068.27123957921
1,2,"Cancer",15400.0777081325,15951.1802792488,17400.248956175
1,2,"DIAB",214.653148473834,239.762269783224,238.609973994485
1,2,"HHD",101.218874332293,111.398916967948,152.237277878347
1,2,"HSTK",198.107992851217,237.090942469259,208.854029383561
1,2,"IHD",414.678773409975,542.187166979389,689.168490834068
1,2,"ISTK",153.29505252595,188.676019430148,242.042515716257
1,2,"OSTK",225.669968283657,287.551938094039,358.626946113932
1,2,"Other_CVD",634.699218804696,603.3825228989,637.836268045434
1,3,"Cancer",10296.5771903166,10538.1227616746,11465.1328350969
1,3,"DIAB",101.807396600892,122.860497084761,93.4646270738303
1,3,"HHD",48.7760198160505,52.2249270336149,38.366767240823
1,3,"HSTK",89.4024383274163,98.4732017578154,116.008768681847
1,3,"IHD",263.121813513162,247.714289377982,191.60736400463
1,3,"ISTK",99.2209805309417,151.128364758591,90.874555332666
1,3,"OSTK",108.962299443588,118.84206392732,108.379184903372
1,3,"Other_CVD",247.215182047884,289.060609258042,230.260633595479
1,4,"Cancer",9862.69802285792,9450.62957046343,9473.76776544534
1,4,"DIAB",48.0165598191861,53.7718954536714,45.8909013084545
1,4,"HHD",14.2355105032772,13.0689090197669,12.8530114264457
1,4,"HSTK",61.2418571078005,85.7020578985103,77.1322508135246
1,4,"IHD",104.610007327141,100.937945673089,162.925709157924
1,4,"ISTK",43.3719084260287,42.6896420671001,60.3372840970782
1,4,"OSTK",63.8533871051876,73.4794827202153,96.6152502424068
1,4,"Other_CVD",111.886771665479,139.779612395487,154.306038795069
