"age","disease_type1","V1","V2","V3"
25,"Cancer",3317.52915774979,3528.7360747621,3215.82544080883
25,"CMD",3166.30452033147,3034.93456611446,3137.30747422995
35,"Cancer",6387.15608371881,6681.66246072802,6824.39236313463
35,"CMD",8365.42457387155,8370.222579167,7671.36507594698
45,"Cancer",23259.8166650778,22058.8390286491,20833.2442561511
45,"CMD",21914.0161079383,23472.9097924362,21632.2105767173
55,"Cancer",63570.4664340293,64182.7947772228,73981.3283188089
55,"CMD",44427.1324534538,41665.299773631,43920.6480904166
65,"Cancer",73308.3652265316,67191.9293793473,75948.2218105076
65,"CMD",62979.2580123483,62764.0287901359,55853.2184898386
75,"Cancer",62899.0786718063,58991.7177848828,56125.7743866797
75,"CMD",126990.888629845,130293.87258037,130867.93025093
