"age","female","outcome","pathway","V1","V2","V3"
25,0,"AA","direct",0,0,0
25,0,"AA","medSBP",0,0,0
25,0,"AA","medBMI",2.92598317293977,3.10058562421999,3.06279275436323
25,0,"AFF","medSBP",0,0,0
25,0,"AFF","direct",0,0,0
25,0,"AFF","medBMI",0.39728183111655,0.248299232395522,0.325907294312229
25,0,"APCA","direct",0,0,0
25,0,"APCA","medBMI",0.0392964595411374,0.0315514920940048,0.0360011610726076
25,0,"APCA","medSBP",0,0,0
25,0,"BC","direct",0,0,0
25,0,"BC","medSBP",0,0,0
25,0,"BC","medBMI",0,0,0
25,0,"CC","medBMI",3.6097807628914,1.31776987258478,4.03736576139686
25,0,"CC","direct",101.800822484146,95.3529481490099,71.5116768445964
25,0,"CC","medSBP",0,0,0
25,0,"CM","medBMI",16.6753667326738,14.1069385883658,11.4963188828144
25,0,"CM","medSBP",0,0,0
25,0,"CM","direct",0,0,0
25,0,"DIAB","direct",0,0,0
25,0,"DIAB","medBMI",25.3200085095647,31.7893375585212,26.9561234583907
25,0,"DIAB","medSBP",0,0,0
25,0,"ECA","medSBP",0,0,0
25,0,"ECA","medBMI",1.3680169035655,1.57874829177685,0.53665350501931
25,0,"ECA","direct",0,0,0
25,0,"ENDO","medSBP",0,0,0
25,0,"ENDO","medBMI",2.12152587526794,2.23531558747983,3.21138766901699
25,0,"ENDO","direct",0,0,0
25,0,"GC","medBMI",0.0351479180470833,0.00645766842636042,0.0817798586687035
25,0,"GC","direct",0,0,0
25,0,"GC","medSBP",0,0,0
25,0,"HHD","direct",0,0,0
25,0,"HHD","medBMI",20.2840623291645,16.2096117275493,9.0421965071964
25,0,"HHD","medSBP",0,0,0
25,0,"HSTK","direct",19.1879638205929,15.8092794861663,20.6574677501703
25,0,"HSTK","medBMI",4.44024925350445,4.60054432002541,4.63275077643605
25,0,"HSTK","medSBP",0,0,0
25,0,"IHD","medSBP",0,0,0
25,0,"IHD","medBMI",26.7143326371458,15.9246517600438,17.412303918331
25,0,"IHD","direct",25.1252040048136,30.4290462141481,25.1817013905092
25,0,"ISTK","direct",7.19452407715008,5.18404815644669,8.96089853892862
25,0,"ISTK","medSBP",0,0,0
25,0,"ISTK","medBMI",2.85865090649648,2.62071391806811,2.7653918245757
25,0,"KC","medSBP",0,0,0
25,0,"KC","medBMI",5.22853158710113,8.27901525048551,6.66976866042671
25,0,"KC","direct",0,0,0
25,0,"LC","medSBP",0,0,0
25,0,"LC","direct",0,0,0
25,0,"LC","medBMI",0,0,0
25,0,"LVC","direct",0,0,0
25,0,"LVC","medSBP",0,0,0
25,0,"LVC","medBMI",1.58362319803598,1.874998363599,1.76590985162758
25,0,"MLPC","medBMI",0,0,0
25,0,"MLPC","direct",22.1822955128087,12.2227533749922,21.3869106926498
25,0,"MLPC","medSBP",0,0,0
25,0,"MMC","direct",0,0,0
25,0,"MMC","medBMI",0.257152793967086,0.205830248300217,0.263710151590331
25,0,"MMC","medSBP",0,0,0
25,0,"OC","direct",0,0,0
25,0,"OC","medSBP",0,0,0
25,0,"OC","medBMI",0,0,0
25,0,"OSTK","direct",6.13086595958105,4.54738856712514,4.03560236836331
25,0,"OSTK","medBMI",1.26575812601706,1.23793946776067,0.872211664256095
25,0,"OSTK","medSBP",0,0,0
25,0,"OTH","medBMI",8.75319805507368,7.38684104067724,8.86114721478351
25,0,"OTH","medSBP",0,0,0
25,0,"OTH","direct",0,0,0
