"female","race","disease_type1","V1","V2","V3"
0,1,"Cancer",69304.3898334174,66402.1629201587,70114.8033772776
0,1,"CMD",113739.127740896,115060.475255641,107012.22947988
0,2,"Cancer",10361.5996015873,11301.7612677908,11162.8203654689
0,2,"CMD",20761.956818178,19157.5011408931,20537.5229116952
0,3,"Cancer",6711.04606566366,6403.86945249744,6536.96692115828
0,3,"CMD",8538.45061986816,8144.61940396832,9706.64139379416
0,4,"Cancer",5977.89180556594,6166.18755678579,6626.91629703721
0,4,"CMD",4185.28094676199,4593.62307553051,4237.88154650387
1,1,"Cancer",104828.132011372,96421.7656969726,104148.130058432
1,1,"CMD",94722.0789746481,93407.8523647354,91567.0791836962
1,2,"Cancer",15400.0777081325,15951.1802792488,17400.248956175
1,2,"CMD",15335.3441074227,16980.0710937541,18940.0604549871
1,3,"Cancer",10296.5771903166,10538.1227616746,11465.1328350969
1,3,"CMD",7357.82520745833,8386.55577642792,6803.87432853615
1,4,"Cancer",9862.69802285792,9450.62957046343,9473.76776544534
1,4,"CMD",3202.95988255522,3870.56997090513,4277.39065898641
