"age","pathway","V1","V2","V3"
25,"direct",7854.96439488867,7441.65769453017,8453.87936412791
25,"medSBP",0,0,0
25,"medBMI",8282.04299545599,8823.63182224048,7780.37998445643
35,"direct",16359.3432230497,17017.3121433062,16694.3742567521
35,"medBMI",17169.2965989262,17296.4246619884,16185.7723890918
35,"medSBP",0,0,0
45,"direct",47534.3070665417,51355.2226624956,47988.6939528423
45,"medBMI",52518.2035681015,50703.686514799,51101.37311447
45,"medSBP",0,0,0
55,"medBMI",128903.627219837,121175.72211966,129591.09478755
55,"medSBP",0,0,0
55,"direct",119805.600247041,115687.288074747,129224.878732346
65,"medSBP",0,0,0
65,"direct",137935.32948332,138354.047082105,127148.001335332
65,"medBMI",143068.015661445,136517.057805311,137015.475733863
75,"direct",163749.220350777,157543.076454568,157316.280704068
75,"medBMI",183293.4452153,184715.072904284,179814.396967701
75,"medSBP",0,0,0
