"race","disease_type3","V1","V2","V3"
1,"All_HD",21081.3169059965,18626.5525897117,18013.4816141936
1,"All_STK",20194.8710330387,20958.5842973783,19692.9209973222
1,"Cancer",174132.52184479,162823.928617131,174262.933435709
1,"DIAB",1745.85749196942,1935.90800663624,1874.87161767817
1,"Other_CVD",7933.99660782358,8134.83323614028,7897.94439114273
2,"All_HD",2907.37047126792,2737.78540542733,3359.60294897185
2,"All_STK",3564.10194618018,3785.65345465924,4302.11186993058
2,"Cancer",25761.6773097198,27252.9415470396,28563.0693216439
2,"DIAB",496.083818841521,476.115781912359,455.958588601977
2,"Other_CVD",1362.49861896845,1329.80378205047,1307.922056265
3,"All_HD",1458.10751924334,1477.50716838126,1273.36518680906
3,"All_STK",1596.51414037771,1769.08785394246,1854.3848666063
3,"Cancer",17007.6232559802,16941.9922141721,18002.0997562551
3,"DIAB",227.60845146041,225.728679157168,227.726771804569
3,"Other_CVD",522.460574513526,531.984994115359,488.601556037383
4,"All_HD",580.276328272201,637.345260954502,672.930808302273
4,"All_STK",865.405154284231,1026.46741204166,1100.0199354934
4,"Cancer",15840.5898284239,15616.8171272492,16100.6840624825
4,"DIAB",104.558271398547,107.859050378446,88.4888426378165
4,"Other_CVD",248.136997148063,285.168037741269,275.43036419561
