"race","pathway","disease_type3","V1","V2","V3"
1,"direct","All_HD",5304.03471573684,4595.99916796364,4979.47112465421
1,"medSBP","All_HD",0,0,0
1,"medBMI","All_HD",15777.2821902597,14030.5534217481,13034.0104895393
1,"direct","All_STK",15622.7050507919,16804.6181015043,15382.0492639777
1,"medSBP","All_STK",0,0,0
1,"medBMI","All_STK",4572.16598224689,4153.96619587406,4310.87173334452
1,"direct","Cancer",86685.91225608,79425.9730768267,85640.2715772728
1,"medSBP","Cancer",0,0,0
1,"medBMI","Cancer",87446.6095887097,83397.9555403045,88622.6618584363
1,"direct","DIAB",0,0,0
1,"medSBP","DIAB",0,0,0
1,"medBMI","DIAB",1745.85749196942,1935.90800663624,1874.87161767817
1,"direct","Other_CVD",0,0,0
1,"medSBP","Other_CVD",0,0,0
1,"medBMI","Other_CVD",7933.99660782358,8134.83323614028,7897.94439114273
2,"medSBP","All_HD",0,0,0
2,"medBMI","All_HD",2043.08239658013,1963.76034418759,2276.27251902417
2,"direct","All_HD",864.288074687798,774.025061239738,1083.33042994768
2,"medSBP","All_STK",0,0,0
2,"medBMI","All_STK",765.657366638033,771.261451352518,868.12761892707
2,"direct","All_STK",2798.44457954214,3014.39200330672,3433.98425100351
2,"medSBP","Cancer",0,0,0
2,"medBMI","Cancer",11609.8353392874,11917.1697890525,12611.7694302606
2,"direct","Cancer",14151.8419704325,15335.7717579871,15951.2998913833
2,"medSBP","DIAB",0,0,0
2,"medBMI","DIAB",496.083818841521,476.115781912359,455.958588601977
2,"direct","DIAB",0,0,0
2,"medSBP","Other_CVD",0,0,0
2,"medBMI","Other_CVD",1362.49861896845,1329.80378205047,1307.922056265
2,"direct","Other_CVD",0,0,0
3,"medBMI","All_HD",1035.27455997759,1147.25042545913,950.803941297586
3,"medSBP","All_HD",0,0,0
3,"direct","All_HD",422.832959265745,330.256742922125,322.561245511473
3,"medBMI","All_STK",328.962981858065,383.311272676428,405.781029664357
3,"medSBP","All_STK",0,0,0
3,"direct","All_STK",1267.55115851965,1385.77658126603,1448.60383694194
3,"medBMI","Cancer",8469.87330764172,7859.3106000211,8165.22753763516
3,"medSBP","Cancer",0,0,0
3,"direct","Cancer",8537.74994833851,9082.68161415097,9836.87221861999
3,"medBMI","DIAB",227.60845146041,225.728679157168,227.726771804569
3,"medSBP","DIAB",0,0,0
3,"direct","DIAB",0,0,0
3,"medBMI","Other_CVD",522.460574513526,531.984994115359,488.601556037383
3,"medSBP","Other_CVD",0,0,0
3,"direct","Other_CVD",0,0,0
4,"direct","All_HD",177.343907696515,208.056439182834,238.806619630748
4,"medSBP","All_HD",0,0,0
4,"medBMI","All_HD",402.932420575686,429.288821771668,434.124188671525
4,"direct","All_STK",694.093738987977,810.148693607875,899.105582967678
4,"medSBP","All_STK",0,0,0
4,"medBMI","All_STK",171.311415296254,216.318718433786,200.914352525723
4,"direct","Cancer",9098.3592384194,8721.53579490615,8829.08853803583
4,"medSBP","Cancer",0,0,0
4,"medBMI","Cancer",6742.23059000445,6895.28133234306,7271.59552444672
4,"direct","DIAB",0,0,0
4,"medSBP","DIAB",0,0,0
4,"medBMI","DIAB",104.558271398547,107.859050378446,88.4888426378165
4,"direct","Other_CVD",0,0,0
4,"medSBP","Other_CVD",0,0,0
4,"medBMI","Other_CVD",248.136997148063,285.168037741269,275.43036419561
