"female","disease_type2","V1","V2","V3"
0,"Cancer",92354.9273062344,90273.9811972327,94441.506960942
0,"DIAB",1494.82932074238,1675.0207419812,1381.59904575092
0,"HHD",877.807381774036,737.007189561917,757.994021625483
0,"HSTK",1045.6251834947,957.196742077745,994.985173400516
0,"IHD",7056.83873444833,6818.69091444393,6636.83113229332
0,"ISTK",1117.35603309119,903.036614700997,1038.11353802333
0,"OSTK",1732.84678448075,2188.8996875997,2018.54236477701
0,"Other_CVD",5192.31433244496,5259.60303799418,4879.22418762554
1,"Cancer",140387.484932679,132361.698308359,142487.279615149
1,"DIAB",1079.27871292752,1070.59077610302,1265.44677497162
1,"HHD",791.614128385075,675.145540814653,522.293853779468
1,"HSTK",1364.64505928101,1446.29413270415,1518.13114032564
1,"IHD",4152.34058835902,3549.60056582685,4554.62273376048
1,"ISTK",1277.7267744043,1655.90336834146,1392.94430186429
1,"OSTK",2429.15200490537,2472.79584283803,2218.94478342487
1,"Other_CVD",4874.77846600867,5022.18701205321,5090.67418001519
