"female","outcome","pathway","V1","V2","V3"
0,"AA","direct",0,0,0
0,"AA","medSBP",0,0,0
0,"AA","medBMI",87.2216696042086,93.8578341023205,84.0256381261992
0,"AFF","medSBP",0,0,0
0,"AFF","direct",0,0,0
0,"AFF","medBMI",151.371681662849,147.849778807526,164.493117728967
0,"APCA","direct",0,0,0
0,"APCA","medBMI",88.3403765982521,101.711226237088,117.482477581297
0,"APCA","medSBP",0,0,0
0,"BC","direct",0,0,0
0,"BC","medSBP",0,0,0
0,"BC","medBMI",0,0,0
0,"CC","medBMI",185.50233400646,189.890738987564,150.582464739301
0,"CC","direct",5878.20390809993,5225.29696767652,6015.52753435566
0,"CC","medSBP",0,0,0
0,"CM","medBMI",207.883299889621,191.62440804738,168.884277222005
0,"CM","medSBP",0,0,0
0,"CM","direct",0,0,0
0,"DIAB","direct",0,0,0
0,"DIAB","medBMI",1494.82932074238,1675.0207419812,1381.59904575092
0,"DIAB","medSBP",0,0,0
0,"ECA","medSBP",0,0,0
0,"ECA","medBMI",177.554659249912,213.737537837014,163.007695539645
0,"ECA","direct",0,0,0
0,"ENDO","medSBP",0,0,0
0,"ENDO","medBMI",19.9327630130021,20.7240631325683,17.5198300618374
0,"ENDO","direct",0,0,0
0,"GC","medBMI",14.3708229275711,11.0566730272948,14.9720998794865
0,"GC","direct",0,0,0
0,"GC","medSBP",0,0,0
0,"HHD","direct",0,0,0
0,"HHD","medBMI",877.807381774036,737.007189561917,757.994021625483
0,"HHD","medSBP",0,0,0
0,"HSTK","direct",792.30697035712,712.845816462676,787.496918859541
0,"HSTK","medBMI",253.318213137579,244.35092561507,207.488254540975
0,"HSTK","medSBP",0,0,0
0,"IHD","medSBP",0,0,0
0,"IHD","medBMI",3602.89457117899,3205.7785815933,2846.66170002224
0,"IHD","direct",3453.94416326934,3612.91233285063,3790.16943227107
0,"ISTK","direct",869.641542748435,716.844929821305,787.897860734013
0,"ISTK","medSBP",0,0,0
0,"ISTK","medBMI",247.714490342753,186.191684879691,250.215677289316
0,"KC","medSBP",0,0,0
0,"KC","medBMI",571.491298054705,597.898785476206,644.40783922737
0,"KC","direct",0,0,0
0,"LC","medSBP",0,0,0
0,"LC","direct",0,0,0
0,"LC","medBMI",0,0,0
0,"LVC","direct",0,0,0
0,"LVC","medSBP",0,0,0
0,"LVC","medBMI",340.813086257182,337.521200959236,330.265444859331
0,"MLPC","medBMI",0,0,0
0,"MLPC","direct",1526.87601712244,1863.11488399911,1520.50324661787
0,"MLPC","medSBP",0,0,0
0,"MMC","direct",0,0,0
0,"MMC","medBMI",65.2496250262185,60.6649832600988,53.8468920917101
0,"MMC","medSBP",0,0,0
0,"OC","direct",0,0,0
0,"OC","medSBP",0,0,0
0,"OC","medBMI",0,0,0
0,"OSTK","direct",1368.04990656279,1794.46682997522,1654.65612241179
0,"OSTK","medBMI",364.796877917958,394.432857624479,363.886242365223
0,"OSTK","medSBP",0,0,0
0,"OTH","medBMI",222.177086104347,229.974974857056,224.909468355006
0,"OTH","medSBP",0,0,0
0,"OTH","direct",0,0,0
0,"PC","medSBP",0,0,0
0,"PC","medBMI",151.135687735472,161.495944302906,138.78535846485
0,"PC","direct",0,0,0
0,"PVD","medBMI",52.4690301552255,47.9471728797952,43.3041057101753
0,"PVD","direct",0,0,0
0,"PVD","medSBP",0,0,0
0,"RHD","medSBP",0,0,0
0,"RHD","direct",0,0,0
0,"RHD","medBMI",19.6871954543937,22.1662778591505,18.8080933861379
0,"SCC","direct",0,0,0
0,"SCC","medSBP",0,0,0
0,"SCC","medBMI",82.1708311289321,61.542004726918,88.5700502642536
0,"SCNC","medBMI",0,0,0
0,"SCNC","medSBP",0,0,0
0,"SCNC","direct",0,0,0
0,"TC","direct",0,0,0
0,"TC","medBMI",38.7945405514359,39.3690706092594,40.4514540029607
0,"TC","medSBP",0,0,0
0,"UC","medSBP",0,0,0
0,"UC","direct",0,0,0
0,"UC","medBMI",0,0,0
1,"AA","direct",0,0,0
1,"AA","medBMI",55.265386316725,51.3748587205552,60.0290109743584
1,"AA","medSBP",0,0,0
1,"AFF","direct",0,0,0
1,"AFF","medBMI",210.163315670633,164.561465822378,168.999382285615
1,"AFF","medSBP",0,0,0
1,"APCA","medSBP",0,0,0
1,"APCA","medBMI",0,0,0
1,"APCA","direct",0,0,0
1,"BC","direct",0,0,0
1,"BC","medBMI",1467.71231388963,1274.22884030785,1368.11644593272
1,"BC","medSBP",0,0,0
1,"CC","medSBP",0,0,0
1,"CC","medBMI",176.034706676534,160.614171511977,128.458298253321
1,"CC","direct",5467.37125920071,5272.66346867435,4997.66544027693
1,"CM","medSBP",0,0,0
1,"CM","medBMI",95.3375127971907,124.905449784841,101.268685900139
1,"CM","direct",0,0,0
1,"DIAB","medBMI",1079.27871292752,1070.59077610302,1265.44677497162
1,"DIAB","medSBP",0,0,0
1,"DIAB","direct",0,0,0
1,"ECA","medSBP",0,0,0
1,"ECA","direct",0,0,0
1,"ECA","medBMI",30.516734460182,25.6014829466022,31.6553797584091
1,"ENDO","medSBP",0,0,0
1,"ENDO","medBMI",13.830338957958,11.909568561505,12.8315268786562
