"pathway","disease_type3","V1","V2","V3"
"direct","All_HD",6768.4996573869,5908.33741130834,6624.16941974411
"medSBP","All_HD",0,0,0
"medBMI","All_HD",19258.5715673931,17570.8530131665,16695.2111385326
"direct","All_STK",20382.7945278416,22014.9353796849,21163.7429348908
"medSBP","All_STK",0,0,0
"medBMI","All_STK",5838.09774603924,5524.85763833679,5785.69473446167
"direct","Cancer",118473.86341327,112565.962243871,120257.532225312
"medSBP","Cancer",0,0,0
"medBMI","Cancer",114268.548825643,110069.717261721,116671.254350779
"direct","DIAB",0,0,0
"medSBP","DIAB",0,0,0
"medBMI","DIAB",2574.1080336699,2745.61151808422,2647.04582072253
"direct","Other_CVD",0,0,0
"medSBP","Other_CVD",0,0,0
"medBMI","Other_CVD",10067.0927984536,10281.7900500474,9969.89836764073
