"age","pathway","disease_type1","V1","V2","V3"
25,"direct","Cancer",1676.01743694474,1636.29374015352,1731.86275607607
25,"medSBP","Cancer",0,0,0
25,"medBMI","Cancer",1641.51172080504,1892.44233460858,1483.96268473275
25,"direct","CMD",1505.79523445628,1396.90499923635,1631.45121962204
25,"medSBP","CMD",0,0,0
25,"medBMI","CMD",1660.50928587519,1638.02956687812,1505.8562546079
35,"direct","Cancer",3159.33455495221,3313.61947158558,3552.36312021958
35,"medBMI","Cancer",3227.8215287666,3368.04298914244,3272.02924291505
35,"medSBP","Cancer",0,0,0
35,"direct","CMD",4018.26611864947,3988.08861259817,3769.5225539039
35,"medBMI","CMD",4347.15845522208,4382.13396656883,3901.84252204308
35,"medSBP","CMD",0,0,0
45,"direct","Cancer",11577.8189716877,10558.7111726361,9604.92561319732
45,"medBMI","Cancer",11681.9976933901,11500.127856013,11228.3186429538
45,"medSBP","Cancer",0,0,0
45,"direct","CMD",9879.11030503354,12071.0181165668,10397.9591721589
45,"medBMI","CMD",12034.9058029048,11401.8916758695,11234.2514045584
45,"medSBP","CMD",0,0,0
55,"medBMI","Cancer",30994.192686411,30808.6307190145,35909.5078296864
55,"medSBP","Cancer",0,0,0
55,"direct","Cancer",32576.2737476183,33374.1640582082,38071.8204891225
55,"medBMI","CMD",23869.8223846943,21904.2386433631,22580.0832287461
55,"medSBP","CMD",0,0,0
55,"direct","CMD",20557.3100687596,19761.0611302678,21340.5648616705
65,"medSBP","Cancer",0,0,0
65,"direct","Cancer",36780.6896337159,35252.7047016957,39459.379568932
65,"medBMI","Cancer",36527.6755928157,31939.2246776517,36488.8422415756
65,"medSBP","CMD",0,0,0
65,"direct","CMD",30038.9885018871,30532.3905285044,25942.2203314309
65,"medBMI","CMD",32940.2695104612,32231.6382616315,29910.9981584077
75,"direct","Cancer",32703.7290683515,28430.4690995918,27837.1806777645
75,"medBMI","Cancer",30195.3496034548,30561.248685291,28288.5937089152
75,"medSBP","Cancer",0,0,0
75,"direct","CMD",54549.4133054987,57351.6118258288,57776.0893367053
75,"medBMI","CMD",72441.4753243459,72942.2607545416,73091.8409142244
75,"medSBP","CMD",0,0,0
