"age","female","race","outcome","pathway","V1","V2","V3"
25,0,1,"AA","direct",0,0,0
25,0,1,"AA","medSBP",0,0,0
25,0,1,"AA","medBMI",1.00140641429046,1.46927407998303,1.51662821032558
25,0,1,"AFF","medSBP",0,0,0
25,0,1,"AFF","direct",0,0,0
25,0,1,"AFF","medBMI",0.238408033798011,0.101104613638765,0.191423556340051
25,0,1,"APCA","direct",0,0,0
25,0,1,"APCA","medBMI",0.0120603707169929,0.0240841971313701,0.0201745441344702
25,0,1,"APCA","medSBP",0,0,0
25,0,1,"BC","direct",0,0,0
25,0,1,"BC","medSBP",0,0,0
25,0,1,"BC","medBMI",0,0,0
25,0,1,"CC","medBMI",1.76381805569493,0.000265082426932545,2.71872048823293
25,0,1,"CC","direct",66.4766935898828,60.6599001232824,44.8612183467696
25,0,1,"CC","medSBP",0,0,0
25,0,1,"CM","medBMI",8.80505769902844,7.20302570370033,7.84076498280089
25,0,1,"CM","medSBP",0,0,0
25,0,1,"CM","direct",0,0,0
25,0,1,"DIAB","direct",0,0,0
25,0,1,"DIAB","medBMI",11.3562217789114,19.6156383657666,12.455779399066
25,0,1,"DIAB","medSBP",0,0,0
25,0,1,"ECA","medSBP",0,0,0
25,0,1,"ECA","medBMI",1.05896646539595,1.37633498440385,0.307865432451711
25,0,1,"ECA","direct",0,0,0
25,0,1,"ENDO","medSBP",0,0,0
25,0,1,"ENDO","medBMI",1.15951547333444,1.42728164741863,2.33006675926783
25,0,1,"ENDO","direct",0,0,0
25,0,1,"GC","medBMI",0.0351479180470833,0.00645766842636042,0.0817798586687035
25,0,1,"GC","direct",0,0,0
25,0,1,"GC","medSBP",0,0,0
25,0,1,"HHD","direct",0,0,0
25,0,1,"HHD","medBMI",10.2769727958237,10.3041850473387,8.97131194458066
25,0,1,"HHD","medSBP",0,0,0
25,0,1,"HSTK","direct",8.58198342546624,7.72541465004227,9.22037638398458
25,0,1,"HSTK","medBMI",2.20141683679141,2.01929507179064,1.72467771105526
25,0,1,"HSTK","medSBP",0,0,0
25,0,1,"IHD","medSBP",0,0,0
