"age","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"direct",7916.83381784892,508.939138035073,7854.96439488867,7462.3230295481,8423.93361566595,0.39748817400383,0.0345599063859884,0.395596065234277,0.365497334019243,0.431087306442535,39.5596065234277,36.5497334019243,43.1087306442535,11.7511003515592,0.755427614307451,11.6592664423694,11.076461726185,12.5037977997446
25,"medBMI",8295.35160071763,521.753235246759,8282.04299545599,7805.46313500641,8796.55238090126,0.415687453381859,0.0165615088346502,0.417104834139726,0.399394907033159,0.430775226086371,41.7104834139726,39.9394907033159,43.0775226086371,12.3129411775358,0.774447811739113,12.2931869728162,11.5857908224702,13.056882606613
25,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"direct",16690.3432077027,329.002981784708,16694.3742567521,16376.0947747348,17001.1652489785,0.396114325372312,0.0116104756203785,0.39641634174486,0.384958815690937,0.40701312113702,39.641634174486,38.4958815690937,40.701312113702,40.8477298617801,0.805197637725013,40.8575953990301,40.078642315789,41.6084317011086
35,"medBMI",16883.8312166688,607.869213871774,17169.2965989262,16234.9485995836,17290.0682588353,0.400660107960596,0.0151432206795341,0.403385296938747,0.38529163188585,0.413712173403913,40.3385296938747,38.529163188585,41.3712173403913,41.3212699096621,1.48769124340521,42.0199141900241,39.7332029942693,42.3154891867472
35,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"direct",48959.4078939598,2087.23816668365,47988.6939528423,47557.0264108567,51186.8962270129,0.36174458254845,0.0139934556868846,0.356524884583589,0.351381895507789,0.376544012859244,35.6524884583589,35.1381895507789,37.6544012859244,125.194792370543,5.33730615108339,122.71256606232,121.608742903162,130.890734199913
45,"medBMI",51441.0877324568,953.76755576862,51101.37311447,50723.5708447825,52447.3620454199,0.38012728740991,0.00757005906244345,0.379650072777617,0.373149272760686,0.387510934496582,37.9650072777617,37.3149272760686,38.7510934496582,131.540730883192,2.43889246726252,130.672041842749,129.705958331014,134.113889119748
45,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"direct",121572.589018045,6939.61650171093,119805.600247041,115893.203683362,128753.914808081,0.309825363103712,0.0178666994554628,0.304348384061185,0.295788768034718,0.328517390358855,30.4348384061185,29.5788768034718,32.8517390358855,254.250222645725,14.5131320710301,250.554839565798,242.372668688067,269.268852221321
55,"medBMI",126556.814709016,4672.82259513189,128903.627219837,121562.117374669,129556.721409164,0.322511438731686,0.0115146085478797,0.327460574155853,0.310255237951012,0.330560874401817,32.7460574155853,31.0255237951012,33.0560874401817,264.673957978513,9.77248403437319,269.581952520732,254.228322827014,270.947797769125
55,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"direct",134479.125966919,6352.39107579015,137935.32948332,127687.367742732,138333.111202166,0.29958118932712,0.0150797115402407,0.30796441479727,0.283462177157238,0.308574459847376,30.796441479727,28.3462177157238,30.8574459847376,460.350453874741,21.7455764521344,472.181768556619,437.100830867217,473.543459402669
65,"medBMI",138866.84973354,3646.8413008003,137015.475733863,136541.978701738,142765.388665066,0.309334670300532,0.00874038055930075,0.304509058466365,0.304092836837294,0.318678273822812,30.4509058466365,30.4092836837294,31.8678273822812,475.370559135819,12.483908085821,469.032914873818,467.41203451726,488.716081377078
65,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"direct",159536.192503138,3650.35091626096,157543.076454568,157327.620491593,163438.913155966,0.222155038188782,0.00529747390383893,0.219144780874365,0.219053363294384,0.227815431800436,21.9144780874365,21.9053363294384,22.7815431800436,777.765840401009,17.7960762608049,768.049063573069,766.998679422091,796.792261683678
75,"medBMI",182607.638362428,2521.29023288417,183293.4452153,179988.349380081,184643.991519835,0.254276932024296,0.00334864766907351,0.25551707208707,0.250736712600797,0.256763032394438,25.551707208707,25.0736712600797,25.6763032394438,890.243029410422,12.2917150403689,893.586453463031,877.473553941282,900.170594434845
75,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
