"female","race","pathway","disease_type3","V1","V2","V3"
0,1,"direct","All_HD",2992.35713900424,3303.23383272969,3367.33087229367
0,1,"medSBP","All_HD",0,0,0
0,1,"medBMI","All_HD",9631.29432998988,8608.13394938538,8318.45084052336
0,1,"direct","All_STK",6309.22538280229,6364.14396951061,6143.25232303145
0,1,"medSBP","All_STK",0,0,0
0,1,"medBMI","All_STK",1966.68974270747,1789.88308077331,1794.2264838596
0,1,"direct","Cancer",33453.4273502909,31763.19578667,33430.5313594127
0,1,"medSBP","Cancer",0,0,0
0,1,"medBMI","Cancer",35850.9624831266,34638.9671334887,36684.2720178649
0,1,"direct","DIAB",0,0,0
0,1,"medSBP","DIAB",0,0,0
0,1,"medBMI","DIAB",1031.05588393581,1281.71189285488,987.390345083324
0,1,"direct","Other_CVD",0,0,0
0,1,"medSBP","Other_CVD",0,0,0
0,1,"medBMI","Other_CVD",4053.01931433297,4144.86896863951,3829.67315156352
0,2,"medSBP","All_HD",0,0,0
0,2,"medBMI","All_HD",1328.82916439457,1046.47624191467,1099.68770577778
0,2,"direct","All_HD",556.564419960066,446.005750739037,625.526913550182
0,2,"medSBP","All_STK",0,0,0
0,2,"medBMI","All_STK",417.135470286375,353.784936418111,380.340637529804
0,2,"direct","All_STK",1444.79596184536,1359.45378666174,1598.86675104637
0,2,"medSBP","Cancer",0,0,0
0,2,"medBMI","Cancer",4931.36876419489,4786.87676389056,4963.22235247789
0,2,"direct","Cancer",5430.23083739243,6514.88450390026,6199.59801299101
0,2,"medSBP","DIAB",0,0,0
0,2,"medBMI","DIAB",281.430670367687,236.353512129135,217.348614607493
0,2,"direct","DIAB",0,0,0
0,2,"medSBP","Other_CVD",0,0,0
0,2,"medBMI","Other_CVD",727.799400163758,726.421259151572,670.08578821957
0,2,"direct","Other_CVD",0,0,0
0,3,"medBMI","All_HD",533.992664341268,593.117432790647,585.071378434795
0,3,"medSBP","All_HD",0,0,0
0,3,"direct","All_HD",264.380151414062,206.346489103796,191.437676671029
0,3,"medBMI","All_STK",172.344446379414,195.237268367679,196.477788880182
0,3,"medSBP","All_STK",0,0,0
0,3,"direct","All_STK",525.559082102289,524.57015207292,754.95819270129
0,3,"medBMI","Cancer",3101.9819473512,2698.91212808517,2997.4319080898
0,3,"medSBP","Cancer",0,0,0
0,3,"direct","Cancer",3609.06411831247,3704.95732441228,3539.53501306849
0,3,"medBMI","DIAB",125.801054859518,102.868182072407,134.262144730739
0,3,"medSBP","DIAB",0,0,0
0,3,"direct","DIAB",0,0,0
0,3,"medBMI","Other_CVD",275.245392465643,242.924384857317,258.340922441905
0,3,"medSBP","Other_CVD",0,0,0
0,3,"direct","Other_CVD",0,0,0
0,4,"direct","All_HD",106.805553491078,140.072970975177,134.337346442968
0,4,"medSBP","All_HD",0,0,0
0,4,"medBMI","All_HD",245.992416562011,295.383520733134,264.524139692126
0,4,"direct","All_STK",314.563691260422,354.616547455101,345.776157845335
0,4,"medSBP","All_STK",0,0,0
0,4,"medBMI","All_STK",76.120765451269,82.4035479011584,86.0679832869239
0,4,"direct","Cancer",3637.84141369488,3516.20968054819,3917.77976469327
0,4,"medSBP","Cancer",0,0,0
0,4,"medBMI","Cancer",2340.05039187106,2649.9778762376,2709.13653234394
0,4,"direct","DIAB",0,0,0
0,4,"medSBP","DIAB",0,0,0
