"female","race","pathway","disease_type3","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"direct","All_HD",3220.9739480092,200.565055879442,3303.23383272969,3007.90097369052,3364.12602031547,0.0172369812654713,0.00103536203453765,0.0175811104467429,0.0161487613030702,0.0180326914237915,1.75811104467429,1.61487613030702,1.80326914237915,4.39073140049693,0.273404039556601,4.50286551417604,4.10027695595957,4.58587184840705
0,1,"direct","All_STK",6272.20722511479,115.004512389736,6309.22538280229,6151.55097602,6361.3980401752,0.137500525877243,0.00281922319053667,0.138862434137587,0.134489098221127,0.139354331512067,13.8862434137587,13.4489098221127,13.9354331512067,8.5500776033152,0.156770570609722,8.60053960330981,8.38560276119668,8.67165974543829
0,1,"direct","Cancer",32882.3848321245,969.313750133889,33430.5313594127,31846.5625653072,33452.282550747,0.107649668473766,0.00276157768563371,0.10902948988933,0.104698072324268,0.109428416420034,10.902948988933,10.4698072324268,10.9428416420034,44.8242432059623,1.32133832447692,45.5714594853505,43.4122425422935,45.6011100321512
0,1,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medBMI","All_HD",8852.62637329954,689.725971652672,8608.13394938538,8332.93499596646,9580.13631095966,0.0473852427766215,0.00381466965357601,0.045815876613082,0.0446661000877696,0.0514383467044821,4.5815876613082,4.46661000877696,5.14383467044821,12.0676246444457,0.940212969851997,11.7343401844683,11.3591975395217,13.0593435403505
0,1,"medBMI","All_STK",1850.26643578013,100.848927037015,1794.2264838596,1790.10025092762,1958.06657976508,0.040565989557495,0.00235535840327365,0.0392122774778155,0.0392005923015401,0.0430820420811775,3.92122774778155,3.92005923015401,4.30820420811775,2.52222559697714,0.137474117392824,2.44583367933003,2.44020892706795,2.66917539688638
0,1,"medBMI","Cancer",35724.73387816,1028.47861574618,35850.9624831266,34699.5669009706,36642.606541128,0.11695798346039,0.00308826938923167,0.116843398753963,0.11407434101476,0.119939022906483,11.6843398753963,11.407434101476,11.9939022906483,48.6988449286227,1.40199002717406,48.8709158327695,47.3013692240208,49.9500603646997
0,1,"medBMI","DIAB",1100.05270729134,158.829199442442,1031.05588393581,989.573622025948,1269.17909240893,0.0390351237124842,0.00535580013508395,0.0366833631819454,0.035328859302351,0.0447403845735755,3.66833631819454,3.5328859302351,4.47403845735755,1.49955760030008,0.216511019512824,1.4055032789266,1.34895595104652,1.73010542272109
0,1,"medBMI","Other_CVD",4009.18714484533,162.105043373252,4053.01931433297,3840.840459702,4140.27648592418,0.0969396590447829,0.00404036534801096,0.0982461823421081,0.0926996233443715,0.100069149942468,9.82461823421081,9.26996233443715,10.0069149942468,5.46519908930687,0.220976547965491,5.5249497380323,5.2357141296147,5.64389599758242
