"female","pathway","disease_type1","V1","V2","V3"
0,"direct","Cancer",46130.5637196906,45499.2472955307,47087.4441501655
0,"medSBP","Cancer",0,0,0
0,"medBMI","Cancer",46224.3635865437,44774.733901702,47354.0628107765
0,"direct","CMD",64944.2975227103,65329.337087699,64868.0825474629
0,"medSBP","CMD",0,0,0
0,"medBMI","CMD",82280.5186029934,81626.8817883335,76626.1927844103
1,"direct","Cancer",72343.2996935797,67066.7149483402,73170.0880751465
1,"medBMI","Cancer",68044.1852390995,65294.9833600192,69317.1915400023
1,"medSBP","Cancer",0,0,0
1,"direct","CMD",55604.5860115744,59771.7381253034,55989.7249280286
1,"medBMI","CMD",65013.62216051,62873.3110805191,65598.6796981774
1,"medSBP","CMD",0,0,0
