"female","race","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"direct",160400.162871872,3811.20051558703,160528.587474813,156726.483917487,163964.680913758,0.264063439460542,0.00613238809232159,0.264311647184212,0.258135762541878,0.269780139814086,26.4311647184212,25.8135762541878,26.9780139814086,218.65250794768,5.19530988064057,218.827572367892,213.644663177518,223.51154796066
0,1,"medBMI",187367.400912962,5904.90325849554,189285.764285513,181169.041207924,191935.151751333,0.308458509241595,0.00957252182398165,0.311660576684985,0.298393678571118,0.315801582585189,31.1660576684985,29.8393678571118,31.5801582585189,255.413407216944,8.0493802720751,258.028460437919,246.963996253745,261.640022942314
0,1,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"direct",29019.7533236391,1526.82140693826,28693.141270284,27733.1907677296,30583.9361249004,0.308456994897503,0.0140396265271027,0.303534807866557,0.297840914995779,0.323256933775532,30.3534807866557,29.7840914995779,32.3256933775532,228.4174442487,12.0177673361873,225.846647396771,218.290778883577,240.729286937964
0,2,"medBMI",27986.5493504051,1150.09444875606,27367.553185233,27282.9772728578,29216.2681683485,0.297629920720759,0.0151079182182918,0.289249043173537,0.288604029776671,0.313779557579985,28.9249043173537,28.8604029776671,31.3779557579985,220.284990181233,9.05251094658628,215.412808103339,214.747102453319,229.964232675358
0,2,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"direct",15016.5012307015,1248.5102473082,14311.1422954097,14281.8559687144,16350.7015876867,0.238876971067008,0.0194604822120969,0.227836779531912,0.227466734733739,0.259671370205109,22.7836779531912,22.7466734733739,25.9671370205109,78.5392584632119,6.52995444816586,74.8500923334239,74.6969190777888,85.5173890589549
0,3,"medBMI",15873.8725024562,730.046398420131,16287.5214709669,15093.7651673014,16302.3782143769,0.252545088177353,0.0118383065558991,0.258887339746697,0.239886971436768,0.259812291083994,25.8887339746697,23.9886971436768,25.9812291083994,83.0234790467391,3.81828642336661,85.1869446071777,78.9433640663264,85.2646483007792
0,3,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,"direct",11966.541140362,405.472202981763,12101.2182083181,11540.3848910014,12278.2218819598,0.267750274723674,0.00712948156510907,0.268961750595267,0.260536128956826,0.273934665999667,26.8961750595267,26.0536128956826,27.3934665999667,94.342609650877,3.19668861047617,95.4043856396172,90.9828507855439,96.7998589257808
