"age","disease_type2","V1","V2","V3"
25,"Cancer",3317.52915774979,3528.7360747621,3215.82544080883
25,"DIAB",39.6820107994332,58.0913978065713,49.4342698559864
25,"HHD",25.6009577774065,22.7108936166399,16.5359958373711
25,"HSTK",36.8401383030127,35.5467546021775,42.5993036590517
25,"IHD",67.3264085461033,62.4162458168521,58.9288178999597
25,"ISTK",21.5924461021644,16.6805868715784,24.0608143062537
25,"OSTK",14.5949315392621,11.6377300860349,11.0781114381719
25,"Other_CVD",328.412839192333,314.840091036124,300.851562655924
35,"Cancer",6387.15608371881,6681.66246072802,6824.39236313463
35,"DIAB",147.54444619355,146.790029094578,125.641679197307
35,"HHD",86.9252394808903,67.3401250374304,33.3370338439181
35,"HSTK",122.889349747687,146.29550162697,129.41494171266
35,"IHD",232.1394439529,293.408569100859,257.611612669554
35,"ISTK",53.5700421816134,41.8764253905138,43.426039578987
35,"OSTK",43.1385790604189,49.2123964418634,50.5173209421654
35,"Other_CVD",461.768644052873,479.113671004472,423.560490209871
45,"Cancer",23259.8166650778,22058.8390286491,20833.2442561511
45,"DIAB",344.868250299254,371.457982220363,351.594636665672
45,"HHD",194.84391406585,81.8262066392816,130.042879342541
45,"HSTK",283.313039294825,287.583172123819,313.420808350027
45,"IHD",913.990165194451,915.731839590559,934.606870615379
45,"ISTK",121.371474421671,129.867443234656,121.446824112694
45,"OSTK",161.779765338982,206.662888108957,163.642037786771
45,"Other_CVD",767.466330203713,813.028699253243,710.572870416908
55,"Cancer",63570.4664340293,64182.7947772228,73981.3283188089
55,"DIAB",486.551860443708,495.065973138424,561.516098732364
55,"HHD",229.251229064745,209.734586684334,294.352429730419
55,"HSTK",406.256843604639,324.829936780687,495.673932446559
55,"IHD",2033.63973188974,1832.82454598661,2276.56302916753
55,"ISTK",286.959113924696,250.421339840263,239.605442107839
55,"OSTK",440.838944891099,551.477122212264,492.525818544243
55,"Other_CVD",1455.07210610467,1325.00909519767,1239.28318652338
65,"Cancer",73308.3652265316,67191.9293793473,75948.2218105076
65,"DIAB",721.696969687379,916.564690206192,634.738510969767
65,"HHD",339.360399258679,238.244064891037,257.149198968361
65,"HSTK",524.959961619252,602.707317850616,382.86324520736
65,"IHD",2882.8585230511,3324.59613717446,2963.82810348895
65,"ISTK",486.877506821911,470.668608141539,368.125175803916
65,"OSTK",995.079608289104,945.358130292029,1060.00482249127
65,"Other_CVD",1941.72835554972,1826.02222857153,1770.78849429328
75,"Cancer",62899.0786718063,58991.7177848828,56125.7743866797
75,"DIAB",833.764496246575,757.641445618089,924.120625301436
75,"HHD",793.43977051154,792.296853507847,548.870337682341
75,"HSTK",1036.01091020629,1006.52819179762,1149.1440823505
75,"IHD",5079.22505017306,3939.31414260144,4699.91543221242
75,"ISTK",1424.71222404343,1649.42557956391,1634.39354397793
75,"OSTK",2506.56696026725,2897.34726329659,2459.71903699926
75,"Other_CVD",5112.64452335031,5523.77626498434,5524.84176354137
