"age","female","race","pathway","disease_type3","riskfactor","V1","V2","V3"
25,0,1,"direct","All_HD","dairy_tot",0,0,0
25,0,1,"direct","All_STK","dairy_tot",0,0,0
25,0,1,"direct","Cancer","dairy_tot",0.0241348352291579,0.0222189716940294,0.0169257928651312
25,0,1,"direct","DIAB","dairy_tot",0,0,0
25,0,1,"direct","Other_CVD","dairy_tot",0,0,0
25,0,1,"medBMI","All_HD","dairy_tot",0,0,0
25,0,1,"medBMI","All_STK","dairy_tot",0,0,0
25,0,1,"medBMI","Cancer","dairy_tot",0,0,0
25,0,1,"medBMI","DIAB","dairy_tot",0,0,0
25,0,1,"medBMI","Other_CVD","dairy_tot",0,0,0
25,0,1,"medSBP","All_HD","dairy_tot",0,0,0
25,0,1,"medSBP","All_STK","dairy_tot",0,0,0
25,0,1,"medSBP","Cancer","dairy_tot",0,0,0
25,0,1,"medSBP","DIAB","dairy_tot",0,0,0
25,0,1,"medSBP","Other_CVD","dairy_tot",0,0,0
25,0,2,"direct","All_HD","dairy_tot",0,0,0
25,0,2,"direct","All_STK","dairy_tot",0,0,0
25,0,2,"direct","Cancer","dairy_tot",0.0233876338921741,0.0227304426395,0.0256962172930303
25,0,2,"direct","DIAB","dairy_tot",0,0,0
25,0,2,"direct","Other_CVD","dairy_tot",0,0,0
25,0,2,"medBMI","All_HD","dairy_tot",0,0,0
25,0,2,"medBMI","All_STK","dairy_tot",0,0,0
25,0,2,"medBMI","Cancer","dairy_tot",0,0,0
25,0,2,"medBMI","DIAB","dairy_tot",0,0,0
25,0,2,"medBMI","Other_CVD","dairy_tot",0,0,0
25,0,2,"medSBP","All_HD","dairy_tot",0,0,0
25,0,2,"medSBP","All_STK","dairy_tot",0,0,0
25,0,2,"medSBP","Cancer","dairy_tot",0,0,0
25,0,2,"medSBP","DIAB","dairy_tot",0,0,0
25,0,2,"medSBP","Other_CVD","dairy_tot",0,0,0
25,0,3,"direct","All_HD","dairy_tot",0,0,0
25,0,3,"direct","All_STK","dairy_tot",0,0,0
25,0,3,"direct","Cancer","dairy_tot",0.0206713570513374,0.0202051598586654,0.015253289136553
25,0,3,"direct","DIAB","dairy_tot",0,0,0
25,0,3,"direct","Other_CVD","dairy_tot",0,0,0
25,0,3,"medBMI","All_HD","dairy_tot",0,0,0
25,0,3,"medBMI","All_STK","dairy_tot",0,0,0
25,0,3,"medBMI","Cancer","dairy_tot",0,0,0
25,0,3,"medBMI","DIAB","dairy_tot",0,0,0
25,0,3,"medBMI","Other_CVD","dairy_tot",0,0,0
25,0,3,"medSBP","All_HD","dairy_tot",0,0,0
25,0,3,"medSBP","All_STK","dairy_tot",0,0,0
25,0,3,"medSBP","Cancer","dairy_tot",0,0,0
25,0,3,"medSBP","DIAB","dairy_tot",0,0,0
25,0,3,"medSBP","Other_CVD","dairy_tot",0,0,0
25,0,4,"direct","All_HD","dairy_tot",0,0,0
25,0,4,"direct","All_STK","dairy_tot",0,0,0
25,0,4,"direct","Cancer","dairy_tot",0.0160464844643563,0.0201411521357889,0.0139528539084343
25,0,4,"direct","DIAB","dairy_tot",0,0,0
25,0,4,"direct","Other_CVD","dairy_tot",0,0,0
25,0,4,"medBMI","All_HD","dairy_tot",0,0,0
25,0,4,"medBMI","All_STK","dairy_tot",0,0,0
25,0,4,"medBMI","Cancer","dairy_tot",0,0,0
25,0,4,"medBMI","DIAB","dairy_tot",0,0,0
25,0,4,"medBMI","Other_CVD","dairy_tot",0,0,0
25,0,4,"medSBP","All_HD","dairy_tot",0,0,0
25,0,4,"medSBP","All_STK","dairy_tot",0,0,0
25,0,4,"medSBP","Cancer","dairy_tot",0,0,0
25,0,4,"medSBP","DIAB","dairy_tot",0,0,0
25,0,4,"medSBP","Other_CVD","dairy_tot",0,0,0
25,1,1,"direct","All_HD","dairy_tot",0,0,0
25,1,1,"direct","All_STK","dairy_tot",0,0,0
25,1,1,"direct","Cancer","dairy_tot",0.00830750818731371,0.00937346093015278,0.00853423407724948
25,1,1,"direct","DIAB","dairy_tot",0,0,0
25,1,1,"direct","Other_CVD","dairy_tot",0,0,0
25,1,1,"medBMI","All_HD","dairy_tot",0,0,0
25,1,1,"medBMI","All_STK","dairy_tot",0,0,0
25,1,1,"medBMI","Cancer","dairy_tot",0,0,0
25,1,1,"medBMI","DIAB","dairy_tot",0,0,0
25,1,1,"medBMI","Other_CVD","dairy_tot",0,0,0
25,1,1,"medSBP","All_HD","dairy_tot",0,0,0
25,1,1,"medSBP","All_STK","dairy_tot",0,0,0
25,1,1,"medSBP","Cancer","dairy_tot",0,0,0
25,1,1,"medSBP","DIAB","dairy_tot",0,0,0
25,1,1,"medSBP","Other_CVD","dairy_tot",0,0,0
25,1,2,"direct","All_HD","dairy_tot",0,0,0
25,1,2,"direct","All_STK","dairy_tot",0,0,0
25,1,2,"direct","Cancer","dairy_tot",0.0114233626608962,0.0138568248270053,0.0136621197797861
25,1,2,"direct","DIAB","dairy_tot",0,0,0
25,1,2,"direct","Other_CVD","dairy_tot",0,0,0
25,1,2,"medBMI","All_HD","dairy_tot",0,0,0
25,1,2,"medBMI","All_STK","dairy_tot",0,0,0
25,1,2,"medBMI","Cancer","dairy_tot",0,0,0
25,1,2,"medBMI","DIAB","dairy_tot",0,0,0
25,1,2,"medBMI","Other_CVD","dairy_tot",0,0,0
25,1,2,"medSBP","All_HD","dairy_tot",0,0,0
25,1,2,"medSBP","All_STK","dairy_tot",0,0,0
25,1,2,"medSBP","Cancer","dairy_tot",0,0,0
25,1,2,"medSBP","DIAB","dairy_tot",0,0,0
25,1,2,"medSBP","Other_CVD","dairy_tot",0,0,0
25,1,3,"direct","All_HD","dairy_tot",0,0,0
25,1,3,"direct","All_STK","dairy_tot",0,0,0
25,1,3,"direct","Cancer","dairy_tot",0.0107605808299837,0.00961542278592175,0.0109537578448011
25,1,3,"direct","DIAB","dairy_tot",0,0,0
