"age","female","pathway","disease_type1","V1","V2","V3"
25,0,"direct","Cancer",536.738314707066,460.72857488616,426.01055089379
25,0,"medSBP","Cancer",0,0,0
25,0,"medBMI","Cancer",491.129375478541,481.008777184149,445.596940147463
25,0,"direct","CMD",961.936012782375,897.771534711054,1035.7839439701
25,0,"medSBP","CMD",0,0,0
25,0,"medBMI","CMD",1067.19838160133,1019.95463908334,964.572697340735
25,1,"direct","Cancer",1139.27912223768,1175.56516526736,1305.85220518228
25,1,"medBMI","Cancer",1150.3823453265,1411.43355742443,1038.36574458529
25,1,"medSBP","Cancer",0,0,0
25,1,"direct","CMD",543.859221673908,499.133464525293,595.667275651947
25,1,"medBMI","CMD",593.310904273859,618.07492779478,541.283557267166
25,1,"medSBP","CMD",0,0,0
35,0,"direct","Cancer",1262.98123542454,1428.31341856314,1221.28668505869
35,0,"medBMI","Cancer",1274.21200455289,1193.82472426825,1069.49271755763
35,0,"medSBP","Cancer",0,0,0
35,0,"direct","CMD",2629.93160039244,2555.01031956781,2298.57712447638
35,0,"medBMI","CMD",2913.46560168977,2973.9852701333,2673.83694869419
35,0,"medSBP","CMD",0,0,0
35,1,"medBMI","Cancer",1953.60952421371,2174.21826487419,2202.53652535742
35,1,"direct","Cancer",1896.35331952768,1885.30605302243,2331.07643516088
35,1,"medSBP","Cancer",0,0,0
35,1,"medBMI","CMD",1433.69285353231,1408.14869643553,1228.00557334889
35,1,"direct","CMD",1388.33451825703,1433.07829303037,1470.94542942752
35,1,"medSBP","CMD",0,0,0
45,0,"direct","Cancer",4370.5662171823,4103.01571603205,3374.21081244873
45,0,"medBMI","Cancer",4243.96080186831,4354.67849990993,4287.51155424632
45,0,"medSBP","Cancer",0,0,0
45,0,"direct","CMD",6397.60027213309,8552.56627349479,6516.81049275932
45,0,"medBMI","CMD",8445.74773676717,8027.28291321231,7412.06452051202
45,0,"medSBP","CMD",0,0,0
45,1,"medSBP","Cancer",0,0,0
45,1,"medBMI","Cancer",7438.03689152183,7145.44935610302,6940.8070887075
45,1,"direct","Cancer",7207.25275450539,6455.6954566041,6230.71480074858
45,1,"medSBP","CMD",0,0,0
45,1,"medBMI","CMD",3589.15806613761,3374.60876265717,3822.18688404641
45,1,"direct","CMD",3481.51003290045,3518.45184307197,3881.14867939956
55,0,"medBMI","Cancer",12415.7781571998,12886.1462891133,15908.5500982269
55,0,"medSBP","Cancer",0,0,0
55,0,"direct","Cancer",12012.9199310663,14097.3793262061,13880.8764747244
55,0,"medBMI","CMD",16361.120945724,14699.7965028148,15331.7816291712
55,0,"medSBP","CMD",0,0,0
55,0,"direct","CMD",13717.9666421275,13292.2135294704,13862.3257900195
55,1,"medSBP","Cancer",0,0,0
55,1,"direct","Cancer",20563.353816552,19276.7847320022,24190.9440143981
55,1,"medBMI","Cancer",18578.4145292111,17922.4844299012,20000.9577314595
55,1,"medSBP","CMD",0,0,0
55,1,"direct","CMD",6839.34342663211,6468.84760079746,7478.23907165095
55,1,"medBMI","CMD",7508.70143897028,7204.44214054831,7248.30159957492
65,0,"medSBP","Cancer",0,0,0
65,0,"direct","Cancer",15637.1259195191,15658.0409091075,17136.0454098041
65,0,"medBMI","Cancer",16036.0153771264,13728.0635773202,15484.9386498711
65,0,"medSBP","CMD",0,0,0
65,0,"direct","CMD",18592.5596107534,19105.740969908,17473.066768646
65,0,"medBMI","CMD",21890.2535200873,21088.0767209689,18722.9289345139
65,1,"direct","Cancer",21143.5637141969,19594.6637925881,22323.334159128
65,1,"medSBP","Cancer",0,0,0
65,1,"medBMI","Cancer",20491.6602156893,18211.1611003315,21003.9035917045
65,1,"direct","CMD",11446.4288911336,11426.6495585964,8469.15356278483
65,1,"medSBP","CMD",0,0,0
65,1,"medBMI","CMD",11050.0159903739,11143.5615406626,11188.0692238939
75,0,"direct","Cancer",12310.2321017913,9751.76935073578,11049.0142172358
75,0,"medBMI","Cancer",11763.2678703177,12131.0120339061,10157.9728507271
75,0,"medSBP","Cancer",0,0,0
75,0,"direct","CMD",22644.3033845214,20926.034460547,23681.5184275916
75,0,"medBMI","CMD",31602.7324171239,33817.7857421208,31521.0080541783
75,0,"medSBP","CMD",0,0,0
75,1,"medBMI","Cancer",18432.0817331371,18430.2366513849,18130.6208581881
75,1,"direct","Cancer",20393.4969665602,18678.699748856,16788.1664605287
75,1,"medSBP","Cancer",0,0,0
75,1,"medBMI","CMD",40838.742907222,39124.4750124208,41570.8328600461
75,1,"direct","CMD",31905.1099209773,36425.5773652818,34094.5709091138
75,1,"medSBP","CMD",0,0,0
