"pathway","disease_type2","V1","V2","V3"
"direct","Cancer",118473.86341327,112565.962243871,120257.532225312
"medSBP","Cancer",0,0,0
"medBMI","Cancer",114268.548825643,110069.717261721,116671.254350779
"direct","DIAB",0,0,0
"medSBP","DIAB",0,0,0
"medBMI","DIAB",2574.1080336699,2745.61151808422,2647.04582072253
"direct","HHD",0,0,0
"medSBP","HHD",0,0,0
"medBMI","HHD",1669.42151015911,1412.15273037657,1280.28787540495
"direct","HSTK",1937.02993801074,1875.97225090455,2019.32851952242
"medSBP","HSTK",0,0,0
"medBMI","HSTK",473.240304764973,527.518623877339,493.787794203739
"direct","IHD",5898.66170370664,5140.89442373718,5748.50701178558
"medSBP","IHD",0,0,0
"medBMI","IHD",5310.51761910072,5227.3970565336,5442.94685426821
"direct","ISTK",1766.37547869885,2114.48291174132,1916.36502195467
"medSBP","ISTK",0,0,0
"medBMI","ISTK",628.707328796629,444.457071301141,514.692817932946
"direct","OSTK",3321.02149941952,3798.22580028564,3341.20254660013
"medSBP","OSTK",0,0,0
"medBMI","OSTK",840.977289966595,863.469730152098,896.284601601748
"direct","Other_CVD",0,0,0
"medSBP","Other_CVD",0,0,0
"medBMI","Other_CVD",10067.0927984536,10281.7900500474,9969.89836764073
