"race","outcome","pathway","V1","V2","V3"
1,"AA","direct",0,0,0
1,"AA","medSBP",0,0,0
1,"AA","medBMI",109.337039462438,110.317835104251,110.005275284725
1,"AFF","medSBP",0,0,0
1,"AFF","direct",0,0,0
1,"AFF","medBMI",324.699232685106,280.352756432679,296.340869215717
1,"APCA","direct",0,0,0
1,"APCA","medBMI",42.293029926758,53.7079534775586,76.7075254641883
1,"APCA","medSBP",0,0,0
1,"BC","direct",0,0,0
1,"BC","medSBP",0,0,0
1,"BC","medBMI",1141.34261010435,946.880449949205,1051.61468265897
1,"CC","medBMI",254.681227975589,257.449175294513,170.044153009979
1,"CC","direct",7590.22880210514,6767.69449198568,7036.7303640346
1,"CC","medSBP",0,0,0
1,"CM","medBMI",198.933361391639,214.412081747032,185.045548311844
1,"CM","medSBP",0,0,0
1,"CM","direct",0,0,0
1,"DIAB","direct",0,0,0
1,"DIAB","medBMI",1745.85749196942,1935.90800663624,1874.87161767817
1,"DIAB","medSBP",0,0,0
1,"ECA","medSBP",0,0,0
1,"ECA","medBMI",187.967052474558,220.817229013348,174.330640222308
1,"ECA","direct",0,0,0
1,"ENDO","medSBP",0,0,0
1,"ENDO","medBMI",25.7099949943116,24.7516820021388,23.0072382077546
1,"ENDO","direct",0,0,0
1,"GC","medBMI",26.5523750425851,26.6941229360604,28.203771402533
1,"GC","direct",0,0,0
1,"GC","medSBP",0,0,0
1,"HHD","direct",0,0,0
1,"HHD","medBMI",1251.58862371425,1025.74371606413,876.978262341904
1,"HHD","medSBP",0,0,0
1,"HSTK","direct",1384.08193023444,1293.25328884479,1364.73606371631
1,"HSTK","medBMI",335.281268329766,379.70078729245,331.932787636695
1,"HSTK","medSBP",0,0,0
1,"IHD","medSBP",0,0,0
1,"IHD","medBMI",4382.12502074888,4193.63229936125,4389.76813668071
1,"IHD","direct",4702.69387769466,4065.09623648894,4396.49287324088
1,"ISTK","direct",1316.53849898064,1598.93828519389,1360.8912180679
1,"ISTK","medSBP",0,0,0
1,"ISTK","medBMI",518.83158022305,316.639320621264,384.723693457486
1,"KC","medSBP",0,0,0
1,"KC","medBMI",681.678786555927,706.22445105008,706.549158318023
1,"KC","direct",0,0,0
1,"LC","medSBP",0,0,0
1,"LC","direct",0,0,0
1,"LC","medBMI",0,0,0
1,"LVC","direct",0,0,0
1,"LVC","medSBP",0,0,0
1,"LVC","medBMI",329.804246182629,276.86405173402,315.36458586358
1,"MLPC","medBMI",0,0,0
1,"MLPC","direct",1889.37219273647,1988.89554056542,1915.45629778489
1,"MLPC","medSBP",0,0,0
1,"MMC","direct",0,0,0
1,"MMC","medBMI",78.2545704653248,66.5078574410111,74.9586149751688
1,"MMC","medSBP",0,0,0
1,"OC","direct",0,0,0
1,"OC","medSBP",0,0,0
1,"OC","medBMI",39.6762927976047,40.8588668397175,34.4689925594475
1,"OSTK","direct",2672.55710986126,3036.39028238891,2498.33148330998
1,"OSTK","medBMI",662.820466584857,671.426941093422,693.291127730112
1,"OSTK","medSBP",0,0,0
1,"OTH","medBMI",371.774159567039,546.852425332662,413.449477144085
1,"OTH","medSBP",0,0,0
1,"OTH","direct",0,0,0
1,"PC","medSBP",0,0,0
1,"PC","medBMI",207.598307191406,247.128305453428,201.365787612016
1,"PC","direct",0,0,0
1,"PVD","medBMI",79.3286932315338,77.4146314052846,77.9371587346773
1,"PVD","direct",0,0,0
1,"PVD","medSBP",0,0,0
1,"RHD","medSBP",0,0,0
1,"RHD","direct",0,0,0
1,"RHD","medBMI",37.0943146229086,37.7416442133914,37.2316614055906
1,"SCC","direct",0,0,0
1,"SCC","medSBP",0,0,0
1,"SCC","medBMI",86.7180726843517,68.1086079761004,94.5862808655326
1,"SCNC","medBMI",0,0,0
1,"SCNC","medSBP",0,0,0
1,"SCNC","direct",0,0,0
1,"TC","direct",0,0,0
1,"TC","medBMI",107.686789371868,105.667715595926,136.904090379535
1,"TC","medSBP",0,0,0
1,"UC","medSBP",0,0,0
1,"UC","direct",0,0,0
1,"UC","medBMI",1083.94713588647,974.78891328399,1135.89587617622
2,"AA","medSBP",0,0,0
2,"AA","medBMI",21.3251702425742,21.0835851251588,22.641691894354
2,"AA","direct",0,0,0
2,"AFF","medSBP",0,0,0
2,"AFF","medBMI",19.4372768245232,13.6547113328091,19.3416686876553
2,"AFF","direct",0,0,0
2,"APCA","direct",0,0,0
2,"APCA","medBMI",24.0386293649232,32.3301455726199,18.2836625137562
2,"APCA","medSBP",0,0,0
2,"BC","medSBP",0,0,0
2,"BC","medBMI",147.451549079369,166.297188886731,128.722770202483
2,"BC","direct",0,0,0
2,"CC","direct",1631.51285498973,1660.1947681685,1795.78881193556
2,"CC","medBMI",50.0795204981802,30.556205824656,45.1803685267283
2,"CC","medSBP",0,0,0
2,"CM","direct",0,0,0
2,"CM","medBMI",72.0866557897615,69.228117624354,58.8985691161307
2,"CM","medSBP",0,0,0
2,"DIAB","direct",0,0,0
2,"DIAB","medSBP",0,0,0
2,"DIAB","medBMI",496.083818841521,476.115781912359,455.958588601977
2,"ECA","medSBP",0,0,0
2,"ECA","direct",0,0,0
2,"ECA","medBMI",4.74180736366504,5.84499710863331,5.94661951315799
2,"ENDO","direct",0,0,0
2,"ENDO","medSBP",0,0,0
2,"ENDO","medBMI",4.32846939541744,3.61223080431406,3.55600896862384
2,"GC","medBMI",6.22519596709852,5.81165556614114,5.70608110652305
2,"GC","medSBP",0,0,0
2,"GC","direct",0,0,0
2,"HHD","medBMI",300.986551250289,256.101607627712,282.003185303003
2,"HHD","direct",0,0,0
2,"HHD","medSBP",0,0,0
2,"HSTK","direct",315.172848064881,319.845300308303,334.276761335796
2,"HSTK","medBMI",75.9249071387972,81.7533570529906,96.3652221565569
2,"HSTK","medSBP",0,0,0
2,"IHD","medSBP",0,0,0
2,"IHD","direct",672.784974918906,606.246804406843,862.895676506445
