"","age","female","race","outcome","pathway","V1","V2","V3"
"1",25,0,1,"AA","direct",0,0,0
"2",25,0,1,"AA","medSBP",0,0,0
"3",25,0,1,"AA","medBMI",1.00140641429046,1.46927407998303,1.51662821032558
"4",25,0,1,"AFF","medSBP",0,0,0
"5",25,0,1,"AFF","direct",0,0,0
"6",25,0,1,"AFF","medBMI",0.238408033798011,0.101104613638765,0.191423556340051
"7",25,0,1,"APCA","direct",0,0,0
"8",25,0,1,"APCA","medBMI",0.0120603707169929,0.0240841971313701,0.0201745441344702
"9",25,0,1,"APCA","medSBP",0,0,0
"10",25,0,1,"BC","direct",0,0,0
"11",25,0,1,"BC","medSBP",0,0,0
"12",25,0,1,"BC","medBMI",0,0,0
"13",25,0,1,"CC","medBMI",1.76381805569493,0.000265082426932545,2.71872048823293
"14",25,0,1,"CC","direct",66.4766935898828,60.6599001232824,44.8612183467696
"15",25,0,1,"CC","medSBP",0,0,0
"16",25,0,1,"CM","medBMI",8.80505769902844,7.20302570370033,7.84076498280089
"17",25,0,1,"CM","medSBP",0,0,0
"18",25,0,1,"CM","direct",0,0,0
"19",25,0,1,"DIAB","direct",0,0,0
"20",25,0,1,"DIAB","medBMI",11.3562217789114,19.6156383657666,12.455779399066
"21",25,0,1,"DIAB","medSBP",0,0,0
"22",25,0,1,"ECA","medSBP",0,0,0
"23",25,0,1,"ECA","medBMI",1.05896646539595,1.37633498440385,0.307865432451711
"24",25,0,1,"ECA","direct",0,0,0
"25",25,0,1,"ENDO","medSBP",0,0,0
"26",25,0,1,"ENDO","medBMI",1.15951547333444,1.42728164741863,2.33006675926783
"27",25,0,1,"ENDO","direct",0,0,0
"28",25,0,1,"GC","medBMI",0.0351479180470833,0.00645766842636042,0.0817798586687035
"29",25,0,1,"GC","direct",0,0,0
"30",25,0,1,"GC","medSBP",0,0,0
"31",25,0,1,"HHD","direct",0,0,0
"32",25,0,1,"HHD","medBMI",10.2769727958237,10.3041850473387,8.97131194458066
"33",25,0,1,"HHD","medSBP",0,0,0
"34",25,0,1,"HSTK","direct",8.58198342546624,7.72541465004227,9.22037638398458
"35",25,0,1,"HSTK","medBMI",2.20141683679141,2.01929507179064,1.72467771105526
"36",25,0,1,"HSTK","medSBP",0,0,0
"37",25,0,1,"IHD","medSBP",0,0,0
"38",25,0,1,"IHD","medBMI",10.036797637767,7.46840942115319,7.22007155756514
"39",25,0,1,"IHD","direct",11.0538622798484,19.3906518242081,14.2981157717375
"40",25,0,1,"ISTK","direct",2.41356499536521,3.13857857751181,4.18871957422739
"41",25,0,1,"ISTK","medSBP",0,0,0
"42",25,0,1,"ISTK","medBMI",0.974224082583608,1.39722428981441,1.62130080045645
"43",25,0,1,"KC","medSBP",0,0,0
"44",25,0,1,"KC","medBMI",3.66041255046851,5.398731615957,4.98462500944517
"45",25,0,1,"KC","direct",0,0,0
"46",25,0,1,"LC","medSBP",0,0,0
"47",25,0,1,"LC","direct",0,0,0
"48",25,0,1,"LC","medBMI",0,0,0
"49",25,0,1,"LVC","direct",0,0,0
"50",25,0,1,"LVC","medSBP",0,0,0
"51",25,0,1,"LVC","medBMI",0.276423807830706,0.957661902020939,0.439324845981807
"52",25,0,1,"MLPC","medBMI",0,0,0
"53",25,0,1,"MLPC","direct",13.8917753981466,5.11864792855318,12.0916004108838
"54",25,0,1,"MLPC","medSBP",0,0,0
"55",25,0,1,"MMC","direct",0,0,0
"56",25,0,1,"MMC","medBMI",0.0895806839057807,0.110219379517908,0.169399227988007
"57",25,0,1,"MMC","medSBP",0,0,0
"58",25,0,1,"OC","direct",0,0,0
"59",25,0,1,"OC","medSBP",0,0,0
"60",25,0,1,"OC","medBMI",0,0,0
"61",25,0,1,"OSTK","direct",3.7980827312849,2.27317652065879,2.3813027356258
"62",25,0,1,"OSTK","medBMI",0.687031402497212,0.686852686352139,0.573029463853775
"63",25,0,1,"OSTK","medSBP",0,0,0
"64",25,0,1,"OTH","medBMI",3.42515059492691,4.08457399350816,5.54054274101718
"65",25,0,1,"OTH","medSBP",0,0,0
"66",25,0,1,"OTH","direct",0,0,0
"67",25,0,1,"PC","medSBP",0,0,0
"68",25,0,1,"PC","medBMI",0.245251758992722,0.159605628133351,0.523948271106537
"69",25,0,1,"PC","direct",0,0,0
"70",25,0,1,"PVD","medBMI",0.352655426388563,0.0956488680834329,0.0654094553863107
"71",25,0,1,"PVD","direct",0,0,0
"72",25,0,1,"PVD","medSBP",0,0,0
"73",25,0,1,"RHD","medSBP",0,0,0
"74",25,0,1,"RHD","direct",0,0,0
"75",25,0,1,"RHD","medBMI",0.0916007630492511,0.233702766585893,0.684106745462726
"76",25,0,1,"SCC","direct",0,0,0
"77",25,0,1,"SCC","medSBP",0,0,0
"78",25,0,1,"SCC","medBMI",0.473004609324828,0.703478544075775,0.141367259647554
"79",25,0,1,"SCNC","medBMI",0,0,0
"80",25,0,1,"SCNC","medSBP",0,0,0
"81",25,0,1,"SCNC","direct",0,0,0
"82",25,0,1,"TC","direct",0,0,0
"83",25,0,1,"TC","medBMI",3.70096660037796,2.30727413258563,1.81089482928189
"84",25,0,1,"TC","medSBP",0,0,0
"85",25,0,1,"UC","medSBP",0,0,0
"86",25,0,1,"UC","direct",0,0,0
"87",25,0,1,"UC","medBMI",0,0,0
"88",25,0,2,"AA","medSBP",0,0,0
"89",25,0,2,"AA","medBMI",1.1006336262488,0.86977903470102,0.835507707146338
"90",25,0,2,"AA","direct",0,0,0
"91",25,0,2,"AFF","medSBP",0,0,0
"92",25,0,2,"AFF","medBMI",0.0551897305971658,0.056152752199724,0.0503965588792884
"93",25,0,2,"AFF","direct",0,0,0
"94",25,0,2,"APCA","direct",0,0,0
"95",25,0,2,"APCA","medBMI",0,0,0
"96",25,0,2,"APCA","medSBP",0,0,0
"97",25,0,2,"BC","medSBP",0,0,0
"98",25,0,2,"BC","medBMI",0,0,0
"99",25,0,2,"BC","direct",0,0,0
"100",25,0,2,"CC","direct",8.22430948173815,8.16886611280366,7.09099289154747
"101",25,0,2,"CC","medBMI",0.737855734070029,3.27875396453844e-06,0.351660599872832
"102",25,0,2,"CC","medSBP",0,0,0
"103",25,0,2,"CM","direct",0,0,0
"104",25,0,2,"CM","medBMI",5.76764337337369,3.93422149814625,2.61026649155317
"105",25,0,2,"CM","medSBP",0,0,0
