"age","female","race","pathway","disease_type2","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,1,"direct","Cancer",297.682850030968,50.2101765963198,275.429509552925,263.094381998077,351.186657470195,0.109617788008775,0.0167668283245946,0.100886425200492,0.0991119375177347,0.127545296886854,10.0886425200492,9.91119375177347,12.7545296886854,1.54277276871974,0.260219536185417,1.4274424844961,1.36351438488162,1.82006189414795
25,0,1,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"direct","HHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"direct","HSTK",8.50925815316436,0.750129569082223,8.58198342546624,7.76824308881347,9.18845673605866,0.122061303446527,0.0192331917300094,0.121069119759771,0.104229692717902,0.140736270308896,12.1069119759771,10.4229692717902,14.0736270308896,0.0441001279023724,0.00388762561253071,0.0444770342968569,0.0402597391719745,0.0476201461974584
25,0,1,"direct","IHD",14.914209958598,4.20240336141696,14.2981157717375,11.2160749544429,19.1360250215846,0.0373478590543257,0.0115029996890275,0.0358994004687301,0.0271007750216412,0.0488261328847665,3.58994004687301,2.71007750216412,4.88261328847665,0.0772944662035458,0.0217793986737763,0.0741014930969123,0.0581284914795525,0.0991744680681775
25,0,1,"direct","ISTK",3.24695438236814,0.89252587134633,3.13857857751181,2.44981567447254,4.13621252439161,0.104759512306134,0.0347521097108687,0.0969442533135469,0.0756986698963912,0.140463324859576,9.69442533135469,7.56986698963912,14.0463324859576,0.0168276835627974,0.00462560946842498,0.0162660145230692,0.0126964281300244,0.0214363576793392
25,0,1,"direct","OSTK",2.81752066252316,0.85091086349364,2.3813027356258,2.27858283140714,3.72724373150194,0.115700909847921,0.0291271889810986,0.100454280356788,0.0975164082096851,0.14684504655362,10.0454280356788,9.75164082096851,14.684504655362,0.014602098014695,0.00440993530083854,0.0123413525979717,0.0118089958598608,0.0193168337737439
25,0,1,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"medBMI","Cancer",300.890476759917,26.7014160609361,309.810789505409,272.817844957436,321.380842728731,0.110859343567232,0.00769391248970524,0.113479863114438,0.102761607617426,0.116729637901913,11.3479863114438,10.2761607617426,11.6729637901913,1.55939663257057,0.138382905097767,1.60562709425412,1.41390725726172,1.6655901154484
25,0,1,"medBMI","DIAB",14.4758798479147,4.48498550236049,12.455779399066,11.4111996599191,19.2576454174316,0.0581752441834882,0.0169046417794323,0.0553811593955828,0.0434686955658808,0.0752567648708153,5.53811593955828,4.34686955658808,7.52567648708153,0.0750227741715667,0.023243910424886,0.064553390523036,0.0591397458466815,0.0998047785977031
