"race","pathway","disease_type1","V1","V2","V3"
1,"direct","Cancer",86685.91225608,79425.9730768267,85640.2715772728
1,"medSBP","Cancer",0,0,0
1,"medBMI","Cancer",87446.6095887097,83397.9555403045,88622.6618584363
1,"direct","CMD",93522.6282861484,96918.1680621934,89552.9925784218
1,"medSBP","CMD",0,0,0
1,"medBMI","CMD",114938.578429395,111550.159558183,109026.316085154
2,"medSBP","Cancer",0,0,0
2,"medBMI","Cancer",11609.8353392874,11917.1697890525,12611.7694302606
2,"direct","Cancer",14151.8419704325,15335.7717579871,15951.2998913833
2,"medSBP","CMD",0,0,0
2,"medBMI","CMD",19445.8747551711,19028.9898144551,20072.4151879174
2,"direct","CMD",16651.4261704296,17108.582420192,19405.1681787649
3,"medBMI","Cancer",8469.87330764172,7859.3106000211,8165.22753763516
3,"medSBP","Cancer",0,0,0
3,"direct","Cancer",8537.74994833851,9082.68161415097,9836.87221861999
3,"medBMI","CMD",8930.96864633604,9381.11308021801,8825.98829226537
3,"medSBP","CMD",0,0,0
3,"direct","CMD",6965.30718099045,7150.06210017822,7684.52743006494
4,"direct","Cancer",9098.3592384194,8721.53579490615,8829.08853803583
4,"medSBP","Cancer",0,0,0
4,"medBMI","Cancer",6742.23059000445,6895.28133234306,7271.59552444672
4,"direct","CMD",3409.52189671627,3924.26263043865,4215.11928823984
4,"medSBP","CMD",0,0,0
4,"medBMI","CMD",3978.71893260094,4539.93041599699,4300.15291725044
