"female","race","pathway","V1","V2","V3"
0,1,"direct",164145.52793686,160528.587474813,156526.373203944
0,1,"medSBP",0,0,0
0,1,"medBMI",192074.593196903,189285.764285513,180741.845256472
0,2,"medSBP",0,0,0
0,2,"medBMI",29313.5689569336,27278.5259090486,27367.553185233
0,2,"direct",27682.6670570688,28693.141270284,30683.4516435644
0,3,"medBMI",16287.5214709669,15030.9358881611,16303.1601482406
0,3,"medSBP",0,0,0
0,3,"direct",14280.3145830989,14311.1422954097,16458.046813596
0,4,"direct",11510.8673479848,12101.2182083181,12287.5378647831
0,4,"medSBP",0,0,0
0,4,"medBMI",10526.2542558734,11721.7497710369,10754.4191871217
1,1,"direct",208092.186757668,199868.054266352,197190.713811934
1,1,"medBMI",216652.353422091,204119.254570892,213449.395603917
1,1,"medSBP",0,0,0
1,2,"medSBP",0,0,0
1,2,"direct",32412.5814828437,34115.9743550986,35552.5536928326
1,2,"medBMI",31113.8148145036,33768.554389067,35275.2675287326
1,3,"medSBP",0,0,0
1,3,"medBMI",22201.8617717901,21903.0343914575,21309.707174641
1,3,"direct",19966.2952155733,20816.2169277324,21267.7511482848
1,4,"direct",15148.3243845204,16964.2693137447,16859.6801665305
1,4,"medBMI",15064.6633700049,16123.7766231074,16287.144892774
1,4,"medSBP",0,0,0
