"female","disease_type3","V1","V2","V3"
0,"All_HD",15660.2158391572,14638.7701883715,14586.3668733859
0,"All_STK",11226.4345428349,11024.0932891606,11299.966318181
0,"Cancer",92354.9273062344,90273.9811972327,94441.506960942
0,"DIAB",1494.82932074238,1675.0207419812,1381.59904575092
0,"Other_CVD",5192.31433244496,5259.60303799418,4879.22418762554
1,"All_HD",10366.8553856228,8840.42023610326,8733.01368489082
1,"All_STK",14994.457731046,16515.6997288611,15649.4713511716
1,"Cancer",140387.484932679,132361.698308359,142487.279615149
1,"DIAB",1079.27871292752,1070.59077610302,1265.44677497162
1,"Other_CVD",4874.77846600867,5022.18701205321,5090.67418001519
