"age","pathway","disease_type2","V1","V2","V3"
25,"direct","Cancer",1676.01743694474,1636.29374015352,1731.86275607607
25,"medSBP","Cancer",0,0,0
25,"medBMI","Cancer",1641.51172080504,1892.44233460858,1483.96268473275
25,"direct","DIAB",0,0,0
25,"medSBP","DIAB",0,0,0
25,"medBMI","DIAB",39.6820107994332,58.0913978065713,49.4342698559864
25,"direct","HHD",0,0,0
25,"medSBP","HHD",0,0,0
25,"medBMI","HHD",25.6009577774065,22.7108936166399,16.5359958373711
25,"direct","HSTK",28.1142555352456,28.3859411959549,35.0777070026414
25,"medSBP","HSTK",0,0,0
25,"medBMI","HSTK",8.72588276776706,7.16081340622254,7.52159665641037
25,"direct","IHD",32.9500857183449,38.6340592025972,34.7224881831175
25,"medSBP","IHD",0,0,0
25,"medBMI","IHD",34.3763228277583,23.7821866142549,24.2063297168422
25,"direct","ISTK",16.4305817712975,11.6897203706028,18.997248751931
25,"medSBP","ISTK",0,0,0
25,"medBMI","ISTK",5.16186433086691,4.99086650097555,5.06356555432269
25,"direct","OSTK",12.1855761172005,9.12301165525805,8.95469347570206
25,"medSBP","OSTK",0,0,0
25,"medBMI","OSTK",2.40935542206156,2.51471843077681,2.12341796246987
25,"direct","Other_CVD",0,0,0
25,"medSBP","Other_CVD",0,0,0
25,"medBMI","Other_CVD",328.412839192333,314.840091036124,300.851562655924
35,"direct","Cancer",3159.33455495221,3313.61947158558,3552.36312021958
35,"medBMI","Cancer",3227.8215287666,3368.04298914244,3272.02924291505
35,"medSBP","Cancer",0,0,0
35,"direct","DIAB",0,0,0
35,"medBMI","DIAB",147.54444619355,146.790029094578,125.641679197307
35,"medSBP","DIAB",0,0,0
35,"direct","HHD",0,0,0
35,"medBMI","HHD",86.9252394808903,67.3401250374304,33.3370338439181
35,"medSBP","HHD",0,0,0
35,"direct","HSTK",95.1866982399872,116.002255817288,102.189702385277
35,"medBMI","HSTK",27.7026515077001,30.2932458096826,27.2252393273829
35,"medSBP","HSTK",0,0,0
35,"direct","IHD",138.940087892148,178.690646307594,149.250233745282
35,"medBMI","IHD",93.1993560607524,114.717922793265,108.361378924272
35,"medSBP","IHD",0,0,0
35,"direct","ISTK",43.4618592471319,32.7693861105219,32.8010774210082
35,"medBMI","ISTK",10.1081829344815,9.10703927999198,10.6249621579788
35,"medSBP","ISTK",0,0,0
35,"direct","OSTK",32.6491059055251,38.4336892187837,42.2961847401333
35,"medBMI","OSTK",10.4894731548938,10.7787072230797,8.22113620203206
35,"medSBP","OSTK",0,0,0
