"race","disease_type2","V1","V2","V3"
1,"Cancer",174132.52184479,162823.928617131,174262.933435709
1,"DIAB",1745.85749196942,1935.90800663624,1874.87161767817
1,"HHD",1251.58862371425,1025.74371606413,876.978262341904
1,"HSTK",1719.36319856421,1672.95407613725,1696.668851353
1,"IHD",9084.81889844353,8258.72853585018,8786.26100992159
1,"ISTK",1835.37007920369,1915.57760581515,1745.61491152538
1,"OSTK",3335.37757644612,3707.81722348234,3191.62261104009
1,"Other_CVD",7933.99660782358,8134.83323614028,7897.94439114273
2,"Cancer",25761.6773097198,27252.9415470396,28563.0693216439
2,"DIAB",496.083818841521,476.115781912359,455.958588601977
2,"HHD",300.986551250289,256.101607627712,282.003185303003
2,"HSTK",391.097755203678,401.598657361294,430.641983492353
2,"IHD",1153.55971121285,1185.09872916016,1524.13415551683
2,"ISTK",321.309701937894,338.07204479874,403.16140927279
2,"OSTK",523.771096665023,601.988068161325,671.72202408615
2,"Other_CVD",1362.49861896845,1329.80378205047,1307.922056265
3,"Cancer",17007.6232559802,16941.9922141721,18002.0997562551
3,"DIAB",227.60845146041,225.728679157168,227.726771804569
3,"HHD",86.8155711258088,98.4843614708502,89.5831680501447
3,"HSTK",179.939333553213,194.625655219895,245.848019816262
3,"IHD",679.58962293548,596.506088926651,529.862329738146
3,"ISTK",166.767972374938,223.543897764307,190.979748522119
3,"OSTK",189.049238672667,214.800205204776,218.694537694506
3,"Other_CVD",522.460574513526,531.984994115359,488.601556037383
4,"Cancer",15840.5898284239,15616.8171272492,16100.6840624825
4,"DIAB",104.558271398547,107.859050378446,88.4888426378165
4,"HHD",30.0307640687677,31.8230452138804,31.7232597098998
4,"HSTK",119.869955454611,134.312486063457,139.957459064541
4,"IHD",291.211090215485,327.958126333775,351.196370877227
4,"ISTK",71.6350539789625,81.7464346642559,91.3017705673276
4,"OSTK",113.800877602309,137.090033589297,155.447975381134
4,"Other_CVD",248.136997148063,285.168037741269,275.43036419561
