"female","pathway","disease_type3","V1","V2","V3"
0,"direct","All_HD",3920.10726386945,4095.6590435477,4318.63280895785
0,"medSBP","All_HD",0,0,0
0,"medBMI","All_HD",11740.1085752877,10543.1111448238,10267.7340644281
0,"direct","All_STK",8594.14411801037,8602.78445570038,8842.85342462445
0,"medSBP","All_STK",0,0,0
0,"medBMI","All_STK",2632.29042482453,2421.30883346026,2457.11289355651
0,"direct","Cancer",46130.5637196906,45499.2472955307,47087.4441501655
0,"medSBP","Cancer",0,0,0
0,"medBMI","Cancer",46224.3635865437,44774.733901702,47354.0628107765
0,"direct","DIAB",0,0,0
0,"medSBP","DIAB",0,0,0
0,"medBMI","DIAB",1494.82932074238,1675.0207419812,1381.59904575092
0,"direct","Other_CVD",0,0,0
0,"medSBP","Other_CVD",0,0,0
0,"medBMI","Other_CVD",5192.31433244496,5259.60303799418,4879.22418762554
1,"direct","All_HD",2848.39239351745,1812.67836776063,2305.53661078626
1,"medBMI","All_HD",7518.46299210534,7027.74186834263,6427.47707410456
1,"medSBP","All_HD",0,0,0
1,"direct","All_STK",11788.6504098313,13412.1509239845,12320.8895102664
1,"medBMI","All_STK",3205.80732121471,3103.54880487654,3328.58184090516
1,"medSBP","All_STK",0,0,0
1,"direct","Cancer",72343.2996935797,67066.7149483402,73170.0880751465
1,"medBMI","Cancer",68044.1852390995,65294.9833600192,69317.1915400023
1,"medSBP","Cancer",0,0,0
1,"direct","DIAB",0,0,0
1,"medBMI","DIAB",1079.27871292752,1070.59077610302,1265.44677497162
1,"medSBP","DIAB",0,0,0
1,"direct","Other_CVD",0,0,0
1,"medBMI","Other_CVD",4874.77846600867,5022.18701205321,5090.67418001519
1,"medSBP","Other_CVD",0,0,0
