"female","race","pathway","disease_type2","V1","V2","V3"
0,1,"direct","Cancer",33453.4273502909,31763.19578667,33430.5313594127
0,1,"medSBP","Cancer",0,0,0
0,1,"medBMI","Cancer",35850.9624831266,34638.9671334887,36684.2720178649
0,1,"direct","DIAB",0,0,0
0,1,"medSBP","DIAB",0,0,0
0,1,"medBMI","DIAB",1031.05588393581,1281.71189285488,987.390345083324
0,1,"direct","HHD",0,0,0
0,1,"medSBP","HHD",0,0,0
0,1,"medBMI","HHD",624.204899980791,527.290928270804,558.141465108051
0,1,"direct","HSTK",526.862918090236,473.920651232127,452.358722568182
0,1,"medSBP","HSTK",0,0,0
0,1,"medBMI","HSTK",176.607509479394,174.005494326557,128.174037338109
0,1,"direct","IHD",2698.76381980421,2954.20354385706,3005.5359292934
0,1,"medSBP","IHD",0,0,0
0,1,"medBMI","IHD",3016.12508453058,2645.76382819673,2269.80391086434
0,1,"direct","ISTK",661.881008386002,510.279271149501,545.212114538487
0,1,"medSBP","ISTK",0,0,0
0,1,"medBMI","ISTK",191.650237896311,131.888992580032,200.712850268606
0,1,"direct","OSTK",1028.98980288359,1415.95984220327,1272.25667314403
0,1,"medSBP","OSTK",0,0,0
0,1,"medBMI","OSTK",275.721423489589,298.935023182612,264.042535730898
0,1,"direct","Other_CVD",0,0,0
0,1,"medSBP","Other_CVD",0,0,0
0,1,"medBMI","Other_CVD",4053.01931433297,4144.86896863951,3829.67315156352
0,2,"medSBP","Cancer",0,0,0
0,2,"medBMI","Cancer",4931.36876419489,4786.87676389056,4963.22235247789
0,2,"direct","Cancer",5430.23083739243,6514.88450390026,6199.59801299101
0,2,"medSBP","DIAB",0,0,0
0,2,"medBMI","DIAB",281.430670367687,236.353512129135,217.348614607493
0,2,"direct","DIAB",0,0,0
0,2,"medSBP","HHD",0,0,0
0,2,"medBMI","HHD",199.767676917997,144.702690659764,129.765907424656
0,2,"direct","HHD",0,0,0
0,2,"medSBP","HSTK",0,0,0
0,2,"medBMI","HSTK",41.0724886243967,37.317191592395,43.0201442726433
0,2,"direct","HSTK",151.917273728065,127.19052329964,178.767809836149
0,2,"medSBP","IHD",0,0,0
0,2,"medBMI","IHD",308.726335826954,289.746843385453,335.975915611714
0,2,"direct","IHD",430.154601975924,353.16471879532,498.98974907105
0,2,"medSBP","ISTK",0,0,0
0,2,"medBMI","ISTK",36.69911655316,29.4349966533293,27.7833555769489
0,2,"direct","ISTK",131.315532858784,119.961028715262,133.335537979584
0,2,"medSBP","OSTK",0,0,0
0,2,"medBMI","OSTK",61.6394592303955,57.8658779468835,59.4032575303058
0,2,"direct","OSTK",236.46166915097,256.570252120403,253.691820441913
0,2,"medSBP","Other_CVD",0,0,0
0,2,"medBMI","Other_CVD",727.799400163758,726.421259151572,670.08578821957
0,2,"direct","Other_CVD",0,0,0
0,3,"medBMI","Cancer",3101.9819473512,2698.91212808517,2997.4319080898
0,3,"medSBP","Cancer",0,0,0
0,3,"direct","Cancer",3609.06411831247,3704.95732441228,3539.53501306849
0,3,"medBMI","DIAB",125.801054859518,102.868182072407,134.262144730739
0,3,"medSBP","DIAB",0,0,0
0,3,"direct","DIAB",0,0,0
0,3,"medBMI","HHD",38.0395513097584,46.2594344372352,51.2164008093217
0,3,"medSBP","HHD",0,0,0
0,3,"direct","HHD",0,0,0
0,3,"medBMI","HSTK",25.2179229954775,22.9347782598975,24.4991343968738
0,3,"medSBP","HSTK",0,0,0
0,3,"direct","HSTK",65.3189722303194,73.2176752021824,105.340116737542
