"age","disease_type3","V1","V2","V3"
25,"All_HD",175.536492264677,162.558143231338,140.398100759178
25,"All_STK",202.579761786263,179.654783504032,207.386307541695
25,"Cancer",3317.52915774979,3528.7360747621,3215.82544080883
25,"DIAB",39.6820107994332,58.0913978065713,49.4342698559864
25,"Other_CVD",328.412839192333,314.840091036124,300.851562655924
35,"All_HD",611.151614825005,624.131666820207,486.763917095424
35,"All_STK",653.528009186331,644.355891678677,629.97991912635
35,"Cancer",6387.15608371881,6681.66246072802,6824.39236313463
35,"DIAB",147.54444619355,146.790029094578,125.641679197307
35,"Other_CVD",461.768644052873,479.113671004472,423.560490209871
45,"All_HD",2170.81134539992,1542.30304587431,1855.87301865355
45,"All_STK",1637.46576611872,1806.65869168764,1683.80888898796
45,"Cancer",23259.8166650778,22058.8390286491,20833.2442561511
45,"DIAB",344.868250299254,371.457982220363,351.594636665672
45,"Other_CVD",767.466330203713,813.028699253243,710.572870416908
55,"All_HD",3960.21229000508,3575.7096251286,4576.47865890206
55,"All_STK",3262.32350991905,3175.97948051485,3407.6043181793
55,"Cancer",63570.4664340293,64182.7947772228,73981.3283188089
55,"DIAB",486.551860443708,495.065973138424,561.516098732364
55,"Other_CVD",1455.07210610467,1325.00909519767,1239.28318652338
65,"All_HD",6465.90751184563,6012.74813971248,5929.85311331282
65,"All_STK",5563.4130878874,5655.11192800185,4900.38110902855
65,"Cancer",73308.3652265316,67191.9293793473,75948.2218105076
65,"DIAB",721.696969687379,916.564690206192,634.738510969767
65,"Other_CVD",1941.72835554972,1826.02222857153,1770.78849429328
75,"All_HD",12643.4519704397,11561.7398037079,10330.0137495537
75,"All_STK",14901.5821389831,16078.0322426347,16120.2771264886
75,"Cancer",62899.0786718063,58991.7177848828,56125.7743866797
75,"DIAB",833.764496246575,757.641445618089,924.120625301436
75,"Other_CVD",5112.64452335031,5523.77626498434,5524.84176354137
