"female","race","outcome","pathway","V1","V2","V3"
0,1,"AA","direct",0,0,0
0,1,"AA","medSBP",0,0,0
0,1,"AA","medBMI",67.5929090825064,72.0547498870908,61.9736650301371
0,1,"AFF","medSBP",0,0,0
0,1,"AFF","direct",0,0,0
0,1,"AFF","medBMI",136.730132197315,133.872100646647,148.619533061666
0,1,"APCA","direct",0,0,0
0,1,"APCA","medBMI",42.293029926758,53.7079534775586,76.7075254641883
0,1,"APCA","medSBP",0,0,0
0,1,"BC","direct",0,0,0
0,1,"BC","medSBP",0,0,0
0,1,"BC","medBMI",0,0,0
0,1,"CC","medBMI",113.835448794882,140.072853668946,88.7639104237368
0,1,"CC","direct",3932.98093742543,3199.34683397668,3897.31466102369
0,1,"CC","medSBP",0,0,0
0,1,"CM","medBMI",138.916047437892,128.975073555764,117.427489442893
0,1,"CM","medSBP",0,0,0
0,1,"CM","direct",0,0,0
0,1,"DIAB","direct",0,0,0
0,1,"DIAB","medBMI",1031.05588393581,1281.71189285488,987.390345083324
0,1,"DIAB","medSBP",0,0,0
0,1,"ECA","medSBP",0,0,0
0,1,"ECA","medBMI",161.503217623503,197.727899699027,146.191786651166
0,1,"ECA","direct",0,0,0
0,1,"ENDO","medSBP",0,0,0
0,1,"ENDO","medBMI",14.6747074608134,16.5353944649267,13.9021389411436
0,1,"ENDO","direct",0,0,0
0,1,"GC","medBMI",9.27246971115111,6.27492083936809,9.6032186307364
0,1,"GC","direct",0,0,0
0,1,"GC","medSBP",0,0,0
0,1,"HHD","direct",0,0,0
0,1,"HHD","medBMI",624.204899980791,527.290928270804,558.141465108051
0,1,"HHD","medSBP",0,0,0
0,1,"HSTK","direct",526.862918090236,473.920651232127,452.358722568182
0,1,"HSTK","medBMI",176.607509479394,174.005494326557,128.174037338109
0,1,"HSTK","medSBP",0,0,0
0,1,"IHD","medSBP",0,0,0
0,1,"IHD","medBMI",3016.12508453058,2645.76382819673,2269.80391086434
0,1,"IHD","direct",2698.76381980421,2954.20354385706,3005.5359292934
0,1,"ISTK","direct",661.881008386002,510.279271149501,545.212114538487
0,1,"ISTK","medSBP",0,0,0
0,1,"ISTK","medBMI",191.650237896311,131.888992580032,200.712850268606
0,1,"KC","medSBP",0,0,0
0,1,"KC","medBMI",445.894600210588,476.222151578539,518.129763891666
0,1,"KC","direct",0,0,0
0,1,"LC","medSBP",0,0,0
0,1,"LC","direct",0,0,0
0,1,"LC","medBMI",0,0,0
0,1,"LVC","direct",0,0,0
0,1,"LVC","medSBP",0,0,0
0,1,"LVC","medBMI",242.426220627425,225.381825088903,226.287129348581
0,1,"MLPC","medBMI",0,0,0
0,1,"MLPC","direct",1233.74447755312,1515.47776319612,1202.47470290948
0,1,"MLPC","medSBP",0,0,0
0,1,"MMC","direct",0,0,0
0,1,"MMC","medBMI",44.5722474229566,40.2352581444859,39.1660632484784
0,1,"MMC","medSBP",0,0,0
0,1,"OC","direct",0,0,0
0,1,"OC","medSBP",0,0,0
0,1,"OC","medBMI",0,0,0
0,1,"OSTK","direct",1028.98980288359,1415.95984220327,1272.25667314403
0,1,"OSTK","medBMI",275.721423489589,298.935023182612,264.042535730898
0,1,"OSTK","medSBP",0,0,0
0,1,"OTH","medBMI",177.600827823487,181.324951979855,181.696096152838
0,1,"OTH","medSBP",0,0,0
0,1,"OTH","direct",0,0,0
0,1,"PC","medSBP",0,0,0
0,1,"PC","medBMI",125.373358242812,136.969118824017,109.882270982796
0,1,"PC","direct",0,0,0
0,1,"PVD","medBMI",40.8704741288723,38.7347992713394,33.080161554133
0,1,"PVD","direct",0,0,0
0,1,"PVD","medSBP",0,0,0
0,1,"RHD","medSBP",0,0,0
0,1,"RHD","direct",0,0,0
0,1,"RHD","medBMI",15.6540101036862,17.9204034581323,14.9425769295139
0,1,"SCC","direct",0,0,0
0,1,"SCC","medSBP",0,0,0
