"disease_type3","riskfactor","V1","V2","V3"
"Other_CVD","dairy_tot",0,0,0
"Cancer","dairy_tot",11345.5751673006,10497.9604363509,11013.1929746326
"DIAB","dairy_tot",0,0,0
"All_HD","dairy_tot",0,0,0
"All_STK","dairy_tot",0,0,0
"Other_CVD","leg_tot",502.942079977825,560.454463881104,474.021410213304
"Cancer","leg_tot",2698.26310703383,2567.18930915817,2577.63027658772
"DIAB","leg_tot",856.070466739042,928.548331266576,851.928625160167
"All_HD","leg_tot",4364.96901062244,4019.69161160597,4062.40969724169
"All_STK","leg_tot",3080.91355698282,3326.32488967155,3025.04884773859
