"female","race","pathway","disease_type1","riskfactor","V1","V2","V3"
0,1,"direct","CMD","dairy_tot",0,0,0
0,1,"medBMI","CMD","dairy_tot",0,0,0
0,1,"medSBP","CMD","dairy_tot",0,0,0
0,2,"direct","CMD","dairy_tot",0,0,0
0,2,"medBMI","CMD","dairy_tot",0,0,0
0,2,"medSBP","CMD","dairy_tot",0,0,0
0,3,"direct","CMD","dairy_tot",0,0,0
0,3,"medBMI","CMD","dairy_tot",0,0,0
0,3,"medSBP","CMD","dairy_tot",0,0,0
0,4,"direct","CMD","dairy_tot",0,0,0
0,4,"medBMI","CMD","dairy_tot",0,0,0
0,4,"medSBP","CMD","dairy_tot",0,0,0
1,1,"direct","CMD","dairy_tot",0,0,0
1,1,"medBMI","CMD","dairy_tot",0,0,0
1,1,"medSBP","CMD","dairy_tot",0,0,0
1,2,"direct","CMD","dairy_tot",0,0,0
1,2,"medBMI","CMD","dairy_tot",0,0,0
1,2,"medSBP","CMD","dairy_tot",0,0,0
1,3,"direct","CMD","dairy_tot",0,0,0
1,3,"medBMI","CMD","dairy_tot",0,0,0
1,3,"medSBP","CMD","dairy_tot",0,0,0
1,4,"direct","CMD","dairy_tot",0,0,0
1,4,"medBMI","CMD","dairy_tot",0,0,0
1,4,"medSBP","CMD","dairy_tot",0,0,0
0,1,"direct","Cancer","dairy_tot",3932.98093742544,3199.34683397668,3897.31466102369
0,1,"medBMI","Cancer","dairy_tot",0,0,0
0,1,"medSBP","Cancer","dairy_tot",0,0,0
0,2,"direct","Cancer","dairy_tot",729.284987701897,839.827915290856,875.348215632845
0,2,"medBMI","Cancer","dairy_tot",0,0,0
0,2,"medSBP","Cancer","dairy_tot",0,0,0
0,3,"direct","Cancer","dairy_tot",591.198932490674,596.742465669104,549.342248013556
0,3,"medBMI","Cancer","dairy_tot",0,0,0
0,3,"medSBP","Cancer","dairy_tot",0,0,0
0,4,"direct","Cancer","dairy_tot",624.739050481926,589.379752739887,693.52240968557
0,4,"medBMI","Cancer","dairy_tot",0,0,0
0,4,"medSBP","Cancer","dairy_tot",0,0,0
1,1,"direct","Cancer","dairy_tot",3657.2478646797,3568.34765800901,3139.41570301091
1,1,"medBMI","Cancer","dairy_tot",0,0,0
1,1,"medSBP","Cancer","dairy_tot",0,0,0
1,2,"direct","Cancer","dairy_tot",902.227867287836,820.366852877648,920.44059630272
1,2,"medBMI","Cancer","dairy_tot",0,0,0
1,2,"medSBP","Cancer","dairy_tot",0,0,0
1,3,"direct","Cancer","dairy_tot",460.684746833209,481.327158941706,539.426493909293
1,3,"medBMI","Cancer","dairy_tot",0,0,0
1,3,"medSBP","Cancer","dairy_tot",0,0,0
1,4,"direct","Cancer","dairy_tot",447.210780399958,402.621798845995,398.382647054008
1,4,"medBMI","Cancer","dairy_tot",0,0,0
1,4,"medSBP","Cancer","dairy_tot",0,0,0
0,1,"direct","CMD","leg_tot",1802.15306277721,2019.37661699485,1809.52544027726
0,1,"medBMI","CMD","leg_tot",2138.15991829736,2101.65135685361,1710.58409994609
0,1,"medSBP","CMD","leg_tot",0,0,0
0,2,"direct","CMD","leg_tot",312.207226433582,252.308123735544,325.468512377238
0,2,"medBMI","CMD","leg_tot",350.137139695589,274.944264735862,278.167536229552
0,2,"medSBP","CMD","leg_tot",0,0,0
0,3,"direct","CMD","leg_tot",38.0848013197359,10.1613076215133,40.6077509550408
0,3,"medBMI","CMD","leg_tot",41.923386692194,15.8229499842466,39.9011813151719
0,3,"medSBP","CMD","leg_tot",0,0,0
0,4,"direct","CMD","leg_tot",35.460480896799,58.4970687651294,45.2429494074874
0,4,"medBMI","CMD","leg_tot",36.2448159277532,50.0080933628752,31.5014259055002
0,4,"medSBP","CMD","leg_tot",0,0,0
1,1,"direct","CMD","leg_tot",1973.69347519017,1717.26570687166,1488.44107586187
1,1,"medBMI","CMD","leg_tot",1574.18535862486,1509.74711553601,1607.10723144033
1,1,"medSBP","CMD","leg_tot",0,0,0
1,2,"direct","CMD","leg_tot",145.213033532804,225.565039049296,385.816136726968
1,2,"medBMI","CMD","leg_tot",148.81339639872,231.061896146684,358.539401880401
1,2,"medSBP","CMD","leg_tot",0,0,0
1,3,"direct","CMD","leg_tot",64.2140679401723,123.145925432012,66.6879381040601
1,3,"medBMI","CMD","leg_tot",65.3527737787539,127.403441595755,56.0820993255313
1,3,"medSBP","CMD","leg_tot",0,0,0
1,4,"direct","CMD","leg_tot",44.142638953487,64.3493112802458,101.353035000948
1,4,"medBMI","CMD","leg_tot",34.9095378629352,53.7110784598994,68.382765600306
1,4,"medSBP","CMD","leg_tot",0,0,0
0,1,"direct","Cancer","leg_tot",449.867849906224,559.674927237982,420.606165286617
0,1,"medBMI","Cancer","leg_tot",464.337392325275,493.476183781437,438.172151441114
0,1,"medSBP","Cancer","leg_tot",0,0,0
0,2,"direct","Cancer","leg_tot",40.1462780415353,51.8520876691175,40.3209388622861
0,2,"medBMI","Cancer","leg_tot",63.0773697589081,53.3761270474537,52.5304104281502
0,2,"medSBP","Cancer","leg_tot",0,0,0
0,3,"direct","Cancer","leg_tot",7.52312586252275,4.37458736228212,9.46510423279098
0,3,"medBMI","Cancer","leg_tot",18.2849495442833,5.14705079683368,12.4418940656021
0,3,"medSBP","Cancer","leg_tot",0,0,0
0,4,"direct","Cancer","leg_tot",16.8054589891721,19.4973481998046,21.3859416064801
0,4,"medBMI","Cancer","leg_tot",12.5732039634801,19.3906796547453,21.8661118860129
0,4,"medSBP","Cancer","leg_tot",0,0,0
1,1,"direct","Cancer","leg_tot",246.753415069734,163.926761287387,245.791282387151
1,1,"medBMI","Cancer","leg_tot",1107.03558700743,888.788128924797,974.919455555598
1,1,"medSBP","Cancer","leg_tot",0,0,0
1,2,"direct","Cancer","leg_tot",14.7262540054974,19.2675618512152,21.3628539807359
1,2,"medBMI","Cancer","leg_tot",109.305590196872,126.442715545967,142.242841709666
1,2,"medSBP","Cancer","leg_tot",0,0,0
1,3,"direct","Cancer","leg_tot",5.51299372620341,8.96176235442384,7.6076031254658
1,3,"medBMI","Cancer","leg_tot",55.0847998056672,71.9800792666266,69.9717769102753
1,3,"medSBP","Cancer","leg_tot",0,0,0
1,4,"direct","Cancer","leg_tot",12.2254364537275,12.0054834909094,13.4066530659471
1,4,"medBMI","Cancer","leg_tot",75.0034023772985,69.0278246871797,85.5390920438317
1,4,"medSBP","Cancer","leg_tot",0,0,0
