"female","race","disease_type1","riskfactor","V1","V2","V3"
0,1,"CMD","dairy_tot",0,0,0
0,2,"CMD","dairy_tot",0,0,0
0,3,"CMD","dairy_tot",0,0,0
0,4,"CMD","dairy_tot",0,0,0
1,1,"CMD","dairy_tot",0,0,0
1,2,"CMD","dairy_tot",0,0,0
1,3,"CMD","dairy_tot",0,0,0
1,4,"CMD","dairy_tot",0,0,0
0,1,"Cancer","dairy_tot",3932.98093742544,3199.34683397668,3897.31466102369
0,2,"Cancer","dairy_tot",729.284987701897,839.827915290856,875.348215632845
0,3,"Cancer","dairy_tot",591.198932490674,596.742465669104,549.342248013556
0,4,"Cancer","dairy_tot",624.739050481926,589.379752739887,693.52240968557
1,1,"Cancer","dairy_tot",3657.2478646797,3568.34765800901,3139.41570301091
1,2,"Cancer","dairy_tot",902.227867287836,820.366852877648,920.44059630272
1,3,"Cancer","dairy_tot",460.684746833209,481.327158941706,539.426493909293
1,4,"Cancer","dairy_tot",447.210780399958,402.621798845995,398.382647054008
0,1,"CMD","leg_tot",3940.31298107457,4121.02797384847,3520.10954022335
0,2,"CMD","leg_tot",662.344366129172,527.252388471406,603.63604860679
0,3,"CMD","leg_tot",80.0081880119299,25.9842576057599,80.5089322702127
0,4,"CMD","leg_tot",71.7052968245523,108.505162128005,76.7443753129877
1,1,"CMD","leg_tot",3547.87883381503,3227.01282240767,3095.5483073022
1,2,"CMD","leg_tot",294.026429931524,456.62693519598,744.355538607369
1,3,"CMD","leg_tot",129.566841718926,250.549367027766,122.770037429591
1,4,"CMD","leg_tot",79.0521768164222,118.060389740145,169.735800601254
0,1,"Cancer","leg_tot",914.205242231498,1053.15111101942,858.778316727732
0,2,"Cancer","leg_tot",103.223647800443,105.228214716571,92.8513492904363
0,3,"Cancer","leg_tot",25.808075406806,9.5216381591158,21.9069982983931
0,4,"Cancer","leg_tot",29.3786629526522,38.8880278545499,43.252053492493
1,1,"Cancer","leg_tot",1353.78900207717,1052.71489021218,1220.71073794275
1,2,"Cancer","leg_tot",124.03184420237,145.710277397182,163.605695690401
1,3,"Cancer","leg_tot",60.5977935318706,80.9418416210504,77.5793800357411
1,4,"Cancer","leg_tot",87.2288388310261,81.0333081780891,98.9457451097788
