"female","disease_type3","riskfactor","V1","V2","V3"
0,"Other_CVD","dairy_tot",0,0,0
1,"Other_CVD","dairy_tot",0,0,0
0,"Cancer","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
1,"Cancer","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
0,"DIAB","dairy_tot",0,0,0
1,"DIAB","dairy_tot",0,0,0
0,"All_HD","dairy_tot",0,0,0
1,"All_HD","dairy_tot",0,0,0
0,"All_STK","dairy_tot",0,0,0
1,"All_STK","dairy_tot",0,0,0
0,"Other_CVD","leg_tot",259.498424604955,256.753802502561,231.739705182132
1,"Other_CVD","leg_tot",243.443655372871,303.700661378544,242.281705031172
0,"Cancer","leg_tot",1072.6156283914,1206.78899174966,1016.78871780905
1,"Cancer","leg_tot",1625.64747864243,1360.40031740851,1560.84155877867
0,"DIAB","leg_tot",502.885407804846,579.443212815382,420.48575605274
1,"DIAB","leg_tot",353.185058934196,349.105118451194,431.442869107427
0,"All_HD","leg_tot",2672.95986953564,2585.41804004749,2348.19358179484
1,"All_HD","leg_tot",1692.0091410868,1434.27357155848,1714.21611544685
0,"All_STK","leg_tot",1319.02713009478,1361.1547266882,1280.57985338363
1,"All_STK","leg_tot",1761.88642688804,1965.17016298335,1744.46899435497
