"pathway","disease_type2","riskfactor","V1","V2","V3"
"direct","Cancer","dairy_tot",0.0112070103757301,0.0103800247559707,0.0108927629184079
"direct","DIAB","dairy_tot",0,0,0
"direct","HHD","dairy_tot",0,0,0
"direct","HSTK","dairy_tot",0,0,0
"direct","IHD","dairy_tot",0,0,0
"direct","ISTK","dairy_tot",0,0,0
"direct","OSTK","dairy_tot",0,0,0
"direct","Other_CVD","dairy_tot",0,0,0
"medBMI","Cancer","dairy_tot",0,0,0
"medBMI","DIAB","dairy_tot",0,0,0
"medBMI","HHD","dairy_tot",0,0,0
"medBMI","HSTK","dairy_tot",0,0,0
"medBMI","IHD","dairy_tot",0,0,0
"medBMI","ISTK","dairy_tot",0,0,0
"medBMI","OSTK","dairy_tot",0,0,0
"medBMI","Other_CVD","dairy_tot",0,0,0
"medSBP","Cancer","dairy_tot",0,0,0
"medSBP","DIAB","dairy_tot",0,0,0
"medSBP","HHD","dairy_tot",0,0,0
"medSBP","HSTK","dairy_tot",0,0,0
"medSBP","IHD","dairy_tot",0,0,0
"medSBP","ISTK","dairy_tot",0,0,0
"medSBP","OSTK","dairy_tot",0,0,0
"medSBP","Other_CVD","dairy_tot",0,0,0
"direct","Cancer","leg_tot",0.000783868964184462,0.00083012876919245,0.000771417771083322
"direct","DIAB","leg_tot",0,0,0
"direct","HHD","leg_tot",0,0,0
"direct","HSTK","leg_tot",0.0194206171578061,0.0185531737530899,0.0188941129129378
"direct","IHD","leg_tot",0.00548661323051213,0.00483845133345134,0.00509458996566739
"direct","ISTK","leg_tot",0.0138300793144515,0.0173000281451781,0.0146457264424123
"direct","OSTK","leg_tot",0.0166828563973905,0.0188755619135868,0.0158833137112421
"direct","Other_CVD","leg_tot",0,0,0
"medBMI","Cancer","leg_tot",0.00188143995061889,0.00170822034575123,0.00177802593328589
"medBMI","DIAB","leg_tot",0.0117557581301545,0.0128016556038034,0.0117934850435819
"medBMI","HHD","leg_tot",0.0113014216195323,0.0093627227446261,0.00813167310330011
"medBMI","HSTK","leg_tot",0.00459378314031449,0.00513626088654293,0.00451541476112749
"medBMI","IHD","leg_tot",0.00493358935671737,0.0048710100751455,0.00494407499468373
"medBMI","ISTK","leg_tot",0.00511013307394819,0.00349091408975813,0.00387902207252725
"medBMI","OSTK","leg_tot",0.0040984611142285,0.00416645254593171,0.0040876142404628
"medBMI","Other_CVD","leg_tot",0.00456513545597532,0.00508679584061851,0.0042980416016768
"medSBP","Cancer","leg_tot",0,0,0
"medSBP","DIAB","leg_tot",0,0,0
"medSBP","HHD","leg_tot",0,0,0
"medSBP","HSTK","leg_tot",0,0,0
"medSBP","IHD","leg_tot",0,0,0
"medSBP","ISTK","leg_tot",0,0,0
"medSBP","OSTK","leg_tot",0,0,0
"medSBP","Other_CVD","leg_tot",0,0,0
