"age","disease_type1","riskfactor","V1","V2","V3"
25,"CMD","dairy_tot",0,0,0
35,"CMD","dairy_tot",0,0,0
45,"CMD","dairy_tot",0,0,0
55,"CMD","dairy_tot",0,0,0
65,"CMD","dairy_tot",0,0,0
75,"CMD","dairy_tot",0,0,0
25,"Cancer","dairy_tot",200.504246856993,203.692948693895,175.021189095082
35,"Cancer","dairy_tot",542.989581367523,505.410129128514,562.671730744856
45,"Cancer","dairy_tot",1550.22410530668,1421.73580776971,1246.10705509031
55,"Cancer","dairy_tot",2806.31715638394,2929.97447415364,3280.5168517034
65,"Cancer","dairy_tot",2797.94659423475,2764.68905944211,3029.20998894604
75,"Cancer","dairy_tot",3447.59348315076,2672.458017163,2719.6661590529
25,"CMD","leg_tot",90.2580216412215,84.1646012714607,80.2334103725344
35,"CMD","leg_tot",253.094784186653,276.068342831912,209.241438513537
45,"CMD","leg_tot",725.631628462123,746.313329131612,642.666821775303
55,"CMD","leg_tot",1328.62910597617,1102.75762714208,1359.42674185383
65,"CMD","leg_tot",2215.99772298818,2381.11486394954,2026.68363629113
75,"CMD","leg_tot",4191.28385106777,4244.60053209859,4095.15653154741
25,"Cancer","leg_tot",34.760732076995,32.9020134252491,31.3154730465397
35,"Cancer","leg_tot",68.1802300089079,90.2572410257835,83.3779017524819
45,"Cancer","leg_tot",327.014854650263,346.266314626112,279.687207415734
55,"Cancer","leg_tot",731.408794577466,657.130593839665,782.413342657726
65,"Cancer","leg_tot",941.952577704321,764.982962975153,875.464109443209
75,"Cancer","leg_tot",594.945918015881,675.650183266198,525.372242272035
