"race","pathway","riskfactor","V1","V2","V3"
1,"direct","dairy_tot",7590.22880210514,6767.69449198569,7036.7303640346
1,"medBMI","dairy_tot",0,0,0
1,"medSBP","dairy_tot",0,0,0
2,"direct","dairy_tot",1631.51285498973,1660.1947681685,1795.78881193556
2,"medBMI","dairy_tot",0,0,0
2,"medSBP","dairy_tot",0,0,0
3,"direct","dairy_tot",1051.88367932388,1078.06962461081,1088.76874192285
3,"medBMI","dairy_tot",0,0,0
3,"medSBP","dairy_tot",0,0,0
4,"direct","dairy_tot",1071.94983088188,992.001551585883,1091.90505673958
4,"medBMI","dairy_tot",0,0,0
4,"medSBP","dairy_tot",0,0,0
1,"direct","leg_tot",4472.46780294334,4460.24401239189,3964.36396381289
1,"medBMI","leg_tot",5283.71825625492,4993.66278509586,4730.78293838313
1,"medSBP","leg_tot",0,0,0
2,"direct","leg_tot",512.29279201342,548.992812305173,772.968441947228
2,"medBMI","leg_tot",671.33349605009,685.825003475968,831.48019024777
2,"medSBP","leg_tot",0,0,0
3,"direct","leg_tot",115.334988848634,146.643582770231,124.368396417358
3,"medBMI","leg_tot",180.645909820898,220.353521643461,178.396951616581
3,"medSBP","leg_tot",0,0,0
4,"direct","leg_tot",108.634015293186,154.349211736089,181.388579080862
4,"medBMI","leg_tot",158.730960131467,192.137676164699,207.289395435651
4,"medSBP","leg_tot",0,0,0
