"age","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"direct","Cancer","dairy_tot",193.07279488199,15.7142390355253,200.504246856993,176.295341983177,203.53351360205,0.0125713404156197,0.000799744856831133,0.0129077027371341,0.0117208199956336,0.0131359528623187,1.29077027371341,1.17208199956336,1.31359528623187,0.286581459206469,0.0233249306608561,0.297612098465205,0.26167838088076,0.302108494162251
25,"direct","Cancer","leg_tot",10.876904012989,2.1982764134558,11.8797896932617,8.53222218035904,12.3691330173873,0.000711385700290747,0.000159225926054266,0.000779011286498897,0.000541983921892087,0.000823305730412478,0.0779011286498897,0.0541983921892087,0.0823305730412478,0.0161447863516781,0.00326294164173873,0.0176333877978087,0.0126645324848363,0.0183597289893088
25,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","HSTK","leg_tot",9.74698790015106,1.53270918748477,9.3078903140299,8.52305672411559,11.3441520243895,0.036095449823426,0.00620054141204446,0.0356342762442022,0.0304131664724654,0.042169730716727,3.56342762442022,3.04131664724654,4.2169730716727,0.0144676313252751,0.0022750281092529,0.0138158707960842,0.0126509280315204,0.016838331068842
25,"direct","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","IHD","leg_tot",11.7358951691279,0.542011943288672,11.4308326036605,11.4159452003434,12.3151483185596,0.0116731785129602,0.000609116060033031,0.0119282332352752,0.0110255075942545,0.0121040529176982,1.19282332352752,1.10255075942545,1.21040529176982,0.0174198025398582,0.000804518180357531,0.016966992628372,0.0169448949849986,0.0182795985194811
25,"direct","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","ISTK","leg_tot",5.31349400346675,1.32862154348937,5.86628909879723,3.90115060364944,6.25596157225315,0.0390488329177394,0.0119684040153725,0.040944162694951,0.0269807687246694,0.0495058668001794,4.0944162694951,2.69807687246694,4.95058668001794,0.00788691574040277,0.00197209710927457,0.00870743954935689,0.0057905487578475,0.00928583748534704
