"age","race","pathway","disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"direct","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","All_HD","leg_tot",6.57051786905976,1.17795367011499,6.54378468940213,5.46303964107353,7.70071929975499,0.00843238426838749,0.00132012375421841,0.0086471346247387,0.00709950554823198,0.00958272518564446,0.86471346247387,0.709950554823198,0.958272518564446,0.0175270144002811,0.00314221973829347,0.0174557030007595,0.0145727895984102,0.0205418538917455
25,1,"direct","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","All_STK","leg_tot",8.83138637372184,1.66805946989557,9.24669901506543,7.10749822963107,10.2022587726706,0.0403468991870964,0.0076229129833035,0.0447136798301985,0.0322032500618307,0.0447787847657255,4.47136798301985,3.22032500618307,4.47787847657255,0.023557935497833,0.0044495887435382,0.0246657919545859,0.0189594224235087,0.0272147705839174
25,1,"direct","Cancer","dairy_tot",112.065538636892,14.3430422250859,118.871694545708,96.7507853805345,121.595059370755,0.0124690258610521,0.00116662868857855,0.0131185657153989,0.0112220193787456,0.0131639234671639,1.31185657153989,1.12220193787456,1.31639234671639,0.298937518869442,0.0382604100061439,0.317093103406564,0.258085046323114,0.324357744559217
25,1,"direct","Cancer","leg_tot",6.18102374964604,1.91129061022382,6.76881347165124,4.18106938685211,7.68135684873554,0.000692690730214607,0.000223439857914882,0.000787601635314468,0.000454969952778022,0.000849737238316309,0.0787601635314468,0.0454969952778022,0.0849737238316309,0.0164880294715687,0.00509841365872563,0.0180559726881049,0.0111531031209901,0.0204902040880914
25,1,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
