"age","pathway","riskfactor","V1","V2","V3"
25,"direct","dairy_tot",200.504246856993,203.692948693895,175.021189095082
25,"medBMI","dairy_tot",0,0,0
25,"medSBP","dairy_tot",0,0,0
35,"direct","dairy_tot",542.989581367523,505.410129128514,562.671730744856
35,"medBMI","dairy_tot",0,0,0
35,"medSBP","dairy_tot",0,0,0
45,"direct","dairy_tot",1550.22410530668,1421.73580776971,1246.10705509031
45,"medBMI","dairy_tot",0,0,0
45,"medSBP","dairy_tot",0,0,0
55,"direct","dairy_tot",2806.31715638394,2929.97447415364,3280.5168517034
55,"medBMI","dairy_tot",0,0,0
55,"medSBP","dairy_tot",0,0,0
65,"direct","dairy_tot",2797.94659423475,2764.68905944211,3029.20998894604
65,"medBMI","dairy_tot",0,0,0
65,"medSBP","dairy_tot",0,0,0
75,"direct","dairy_tot",3447.59348315076,2672.458017163,2719.6661590529
75,"medBMI","dairy_tot",0,0,0
75,"medSBP","dairy_tot",0,0,0
25,"direct","leg_tot",41.8065548567823,36.8053670508809,44.4871124765439
25,"medBMI","leg_tot",83.212198861434,80.261247645829,67.0617709425302
25,"medSBP","leg_tot",0,0,0
35,"direct","leg_tot",122.846716378767,152.608987537319,118.490976533676
35,"medBMI","leg_tot",198.428297816794,213.716596320377,174.128363732343
35,"medSBP","leg_tot",0,0,0
45,"direct","leg_tot",430.698108068352,480.362806566639,385.935105427209
45,"medBMI","leg_tot",621.948375044036,612.216837191085,536.418923763828
45,"medSBP","leg_tot",0,0,0
55,"direct","leg_tot",774.539040515211,734.702361375168,932.51134077527
55,"medBMI","leg_tot",1285.49886003843,1025.18585960658,1209.32874373629
55,"medSBP","leg_tot",0,0,0
65,"direct","leg_tot",1427.70686865773,1599.0383086739,1344.42306461889
65,"medBMI","leg_tot",1730.24343203478,1547.0595182508,1557.72468111545
65,"medSBP","leg_tot",0,0,0
75,"direct","leg_tot",2411.13231062174,2306.71178799948,2217.24178142675
75,"medBMI","leg_tot",2375.09745846191,2613.53892736531,2403.2869923927
75,"medSBP","leg_tot",0,0,0
