"female","disease_type2","X1","X2","X3"
1,"Other_CVD",58232.0588167423,57810.3166180657,58107.2840446204
0,"Other_CVD",51938.1836279858,52367.9727101253,52180.4828370155
1,"Cancer",598180.052211722,598328.746409824,596857.471128947
0,"Cancer",414184.065150976,413033.045411758,414198.498520514
1,"DIAB",31884.3514319622,31531.5350905385,31606.6387802196
0,"DIAB",40937.0231881186,41001.9215188317,40630.5855866175
1,"HHD",25137.4237058512,25500.7418681742,25099.6075996107
0,"HHD",25698.5925327906,25802.326133033,25839.2235678359
1,"HSTK",18235.4858916291,18474.0835413296,18600.9976373226
0,"HSTK",15894.0799832872,15955.8318162054,16036.8544014728
1,"IHD",150647.593128314,149298.793715114,149533.853328886
0,"IHD",213112.105967897,215227.626548341,213880.185124711
1,"ISTK",25675.8022418056,25488.0565392213,25701.3078984643
0,"ISTK",17092.7229564408,17067.302911188,17201.7461378731
1,"OSTK",40925.8449338534,41230.9911436825,41502.5843417321
0,"OSTK",28909.3591361807,29332.8756960533,29571.9700681969
