"female","pathway","disease_type3","riskfactor","V1","V2","V3"
0,"direct","Other_CVD","dairy_tot",0,0,0
0,"medBMI","Other_CVD","dairy_tot",0,0,0
0,"medSBP","Other_CVD","dairy_tot",0,0,0
1,"direct","Other_CVD","dairy_tot",0,0,0
1,"medBMI","Other_CVD","dairy_tot",0,0,0
1,"medSBP","Other_CVD","dairy_tot",0,0,0
0,"direct","Cancer","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
0,"medBMI","Cancer","dairy_tot",0,0,0
0,"medSBP","Cancer","dairy_tot",0,0,0
1,"direct","Cancer","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
1,"medBMI","Cancer","dairy_tot",0,0,0
1,"medSBP","Cancer","dairy_tot",0,0,0
0,"direct","DIAB","dairy_tot",0,0,0
0,"medBMI","DIAB","dairy_tot",0,0,0
0,"medSBP","DIAB","dairy_tot",0,0,0
1,"direct","DIAB","dairy_tot",0,0,0
1,"medBMI","DIAB","dairy_tot",0,0,0
1,"medSBP","DIAB","dairy_tot",0,0,0
0,"direct","All_HD","dairy_tot",0,0,0
0,"medBMI","All_HD","dairy_tot",0,0,0
0,"medSBP","All_HD","dairy_tot",0,0,0
1,"direct","All_HD","dairy_tot",0,0,0
1,"medBMI","All_HD","dairy_tot",0,0,0
1,"medSBP","All_HD","dairy_tot",0,0,0
0,"direct","All_STK","dairy_tot",0,0,0
0,"medBMI","All_STK","dairy_tot",0,0,0
0,"medSBP","All_STK","dairy_tot",0,0,0
1,"direct","All_STK","dairy_tot",0,0,0
1,"medBMI","All_STK","dairy_tot",0,0,0
1,"medSBP","All_STK","dairy_tot",0,0,0
0,"direct","Other_CVD","leg_tot",0,0,0
0,"medBMI","Other_CVD","leg_tot",259.498424604955,256.753802502561,231.739705182132
0,"medSBP","Other_CVD","leg_tot",0,0,0
1,"direct","Other_CVD","leg_tot",0,0,0
1,"medBMI","Other_CVD","leg_tot",243.443655372871,303.700661378544,242.281705031172
1,"medSBP","Other_CVD","leg_tot",0,0,0
0,"direct","Cancer","leg_tot",514.342712799454,635.398950469186,491.778149988174
0,"medBMI","Cancer","leg_tot",558.272915591945,571.390041280469,525.010567820879
0,"medSBP","Cancer","leg_tot",0,0,0
1,"direct","Cancer","leg_tot",279.218099255162,204.161568983935,288.1683925593
1,"medBMI","Cancer","leg_tot",1346.42937938727,1156.23874842457,1272.67316621937
1,"medSBP","Cancer","leg_tot",0,0,0
0,"direct","DIAB","leg_tot",0,0,0
0,"medBMI","DIAB","leg_tot",502.885407804846,579.443212815382,420.48575605274
0,"medSBP","DIAB","leg_tot",0,0,0
1,"direct","DIAB","leg_tot",0,0,0
1,"medBMI","DIAB","leg_tot",353.185058934196,349.105118451194,431.442869107427
1,"medSBP","DIAB","leg_tot",0,0,0
0,"direct","All_HD","leg_tot",1157.77683217955,1248.12976579894,1193.94512011292
0,"medBMI","All_HD","leg_tot",1515.1830373561,1337.28827424855,1154.24846168192
0,"medSBP","All_HD","leg_tot",0,0,0
1,"direct","All_HD","leg_tot",838.031945608833,515.613578403018,657.500393575438
1,"medBMI","All_HD","leg_tot",853.977195477963,918.659993155461,1056.71572187141
1,"medSBP","All_HD","leg_tot",0,0,0
0,"direct","All_STK","leg_tot",1030.12873924778,1092.2133513181,1026.8995329041
0,"medBMI","All_STK","leg_tot",288.898390846995,268.941375370101,253.680320479523
0,"medSBP","All_STK","leg_tot",0,0,0
1,"direct","All_STK","leg_tot",1389.2312700078,1614.7124042302,1384.7977921184
1,"medBMI","All_STK","leg_tot",372.655156880241,350.457758753149,359.67120223656
1,"medSBP","All_STK","leg_tot",0,0,0
