"disease_type3","riskfactor","V1","V2","V3"
"All_HD","dairy_tot",0,0,0
"All_STK","dairy_tot",0,0,0
"Cancer","dairy_tot",0.0112070103757301,0.0103800247559707,0.0108927629184079
"DIAB","dairy_tot",0,0,0
"Other_CVD","dairy_tot",0,0,0
"All_HD","leg_tot",0.0105282540295841,0.00966668243846999,0.00980422725431361
"All_STK","leg_tot",0.0209966903147384,0.0225438443933086,0.0203548731596647
"Cancer","leg_tot",0.00266530891480335,0.00253834911494368,0.00254944370436921
"DIAB","leg_tot",0.0117557581301545,0.0128016556038034,0.0117934850435819
"Other_CVD","leg_tot",0.00456513545597532,0.00508679584061851,0.0042980416016768
