"disease_type2","riskfactor","V1","V2","V3"
"Cancer","dairy_tot",0.0112070103757301,0.0103800247559707,0.0108927629184079
"DIAB","dairy_tot",0,0,0
"HHD","dairy_tot",0,0,0
"HSTK","dairy_tot",0,0,0
"IHD","dairy_tot",0,0,0
"ISTK","dairy_tot",0,0,0
"OSTK","dairy_tot",0,0,0
"Other_CVD","dairy_tot",0,0,0
"Cancer","leg_tot",0.00266530891480335,0.00253834911494368,0.00254944370436921
"DIAB","leg_tot",0.0117557581301545,0.0128016556038034,0.0117934850435819
"HHD","leg_tot",0.0113014216195323,0.0093627227446261,0.00813167310330011
"HSTK","leg_tot",0.0240144002981206,0.0236894346396328,0.0234095276740653
"IHD","leg_tot",0.0104202025872295,0.00970946140859684,0.0100386649603511
"ISTK","leg_tot",0.0189402123883997,0.0207909422349362,0.0185247485149395
"OSTK","leg_tot",0.020781317511619,0.0230420144595185,0.0199709279517049
"Other_CVD","leg_tot",0.00456513545597532,0.00508679584061851,0.0042980416016768
