"pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"direct","Cancer","dairy_tot",10952.242859428,427.08180766493,11013.1929746326,10523.722063265,11328.9560576672,0.0108265993500362,0.000417444028771498,0.0108927629184079,0.0104056616640925,0.011191298002864,1.08927629184079,1.04056616640925,1.1191298002864,4.47252932268788,0.174405912330883,4.49741930923879,4.29753577562906,4.62636638117841
"direct","Cancer","leg_tot",804.355958018404,31.2387250525906,793.560812054616,780.627256022831,837.260534083196,0.000795138501486745,3.09353709853006e-05,0.000783868964184462,0.000772040330738379,0.000827815778942051,0.0783868964184462,0.0772040330738379,0.0827815778942051,0.328472044885232,0.0127568494959755,0.324063668675407,0.318782037383877,0.341909172164939
"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","HSTK","leg_tot",652.01764067801,12.199973307103,654.451487482632,639.56756621003,662.398945362061,0.0189559679412779,0.000437017217618062,0.0188941129129378,0.0185702207110823,0.0193942919455627,1.88941129129378,1.85702207110823,1.93942919455627,0.266262176092255,0.00498206066578011,0.267256077646513,0.261177982485303,0.270501553378087
"direct","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","IHD","leg_tot",1870.33254522623,117.179910123913,1851.44551368836,1768.12845267628,1988.59061458338,0.00513988484321029,0.000326446290603955,0.00509458996566739,0.00485125826506214,0.0054670120672699,0.509458996566739,0.485125826506214,0.54670120672699,0.763781196150231,0.0478523523250745,0.75606836477351,0.72204446635932,0.812073832611355
"direct","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","ISTK","leg_tot",652.015801611449,75.2058522864718,628.346392960228,593.334810519185,730.81579005725,0.0152586113006806,0.00181434757119084,0.0146457264424123,0.0138708616708496,0.0171673130600398,1.46457264424123,1.38708616708496,1.71673130600398,0.26626142507904,0.030711552319115,0.256595630994485,0.242298072849445,0.298440702280506
"direct","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","OSTK","leg_tot",1208.62758765267,108.304337135847,1165.05068098284,1130.70700639981,1323.58853957489,0.0171472440074065,0.00154923504200006,0.0166828563973905,0.0159232908455495,0.018765926637777,1.66828563973905,1.59232908455495,1.8765926637777,0.493563044151523,0.0442278654547337,0.47576769434287,0.461742887406705,0.540509248233696
"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","Cancer","leg_tot",1810.00493957484,89.1774391137703,1797.68373404025,1731.1315369218,1899.35136693227,0.00178922874321867,8.71515065298378e-05,0.00177802593328589,0.00171171062512796,0.00187626924975224,0.177802593328589,0.171171062512796,0.187626924975224,0.739145421660337,0.0364170806361557,0.734113853811486,0.706936164554411,0.775631511437787
"medBMI","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","DIAB","leg_tot",878.849141055261,43.0905539957591,856.070466739042,852.13571723911,924.924438040199,0.01211696625918,0.000593258336629049,0.0117934850435819,0.0117576444758259,0.0127512470757923,1.17934850435819,1.17576444758259,1.27512470757923,0.35889256694167,0.0175967396587627,0.34959051893937,0.34798369897183,0.377708175713466
"medBMI","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","HHD","leg_tot",489.691192644052,80.5590662686315,480.336401644002,417.523847234177,569.810110403969,0.00959860582248618,0.00159798530464289,0.0093627227446261,0.00819322558536641,0.011204486675787,0.93627227446261,0.819322558536641,1.1204486675787,0.199973489108412,0.0328976256935948,0.196153305645322,0.170502761274035,0.232691372886417
"medBMI","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","HSTK","leg_tot",163.34304009002,11.6911404636054,156.783824302443,156.423246185363,175.838167414118,0.00474848626266164,0.000338100975906325,0.00459378314031449,0.00451933318008684,0.00510913699923151,0.459378314031449,0.451933318008684,0.510913699923151,0.0667038291458914,0.00477427036729064,0.0640252650088186,0.0638780169773002,0.0718064208309945
"medBMI","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","IHD","leg_tot",1788.99970195308,11.6418928791774,1794.64097986378,1776.5633214652,1796.64099621688,0.00491622480884886,3.95065343809095e-05,0.00493358935671737,0.00487413903922409,0.00494355071278541,0.493358935671737,0.487413903922409,0.494355071278541,0.730567585832633,0.00475415930252954,0.732871294871671,0.725488984388703,0.733688034593381
"medBMI","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","ISTK","leg_tot",177.843950875161,36.3689268804158,166.421893585782,149.450343384437,215.946307061858,0.00416002307874453,0.000845392632929644,0.00387902207252725,0.00351031948889659,0.00504857752387715,0.387902207252725,0.351031948889659,0.504857752387715,0.0726255156465148,0.014851852172665,0.0679611298391646,0.0610305169134621,0.0881852423158152
"medBMI","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","OSTK","leg_tot",290.247743890341,3.89948589818093,290.525360740574,286.432292908013,293.827220549971,0.00411750930020767,4.27316585697887e-05,0.0040984611142285,0.00408815658415108,0.00416305297434655,0.40984611142285,0.408815658415108,0.416305297434655,0.118527461640067,0.00159241949314598,0.118640831067596,0.116969359193219,0.119989200073514
"medBMI","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","Other_CVD","leg_tot",512.472651357411,43.9976366945001,502.942079977825,475.46744370153,557.57884468594,0.00464999096609021,0.000401165371835321,0.00456513545597532,0.00431139629439173,0.00506071282138635,0.456513545597532,0.431139629439173,0.506071282138635,0.209276674165288,0.0179671618654552,0.205384707880001,0.194164986225442,0.227696533447628
"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","HSTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","IHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","ISTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","OSTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
