"age","female","pathway","riskfactor","V1","V2","V3"
25,0,"direct","dairy_tot",0.0136510837775392,0.0129691218786901,0.00997594900197751
25,0,"medBMI","dairy_tot",0,0,0
25,0,"medSBP","dairy_tot",0,0,0
25,1,"direct","dairy_tot",0.00796080169943272,0.00827232192559716,0.00837619625261597
25,1,"medBMI","dairy_tot",0,0,0
25,1,"medSBP","dairy_tot",0,0,0
35,0,"direct","dairy_tot",0.014406081455727,0.014420932025388,0.0156000748735591
35,0,"medBMI","dairy_tot",0,0,0
35,0,"medSBP","dairy_tot",0,0,0
35,1,"direct","dairy_tot",0.0113400292444651,0.0101071725016659,0.0115031602123868
35,1,"medBMI","dairy_tot",0,0,0
35,1,"medSBP","dairy_tot",0,0,0
45,0,"direct","dairy_tot",0.0137292415289089,0.011613489465261,0.0111869595388524
45,0,"medBMI","dairy_tot",0,0,0
45,0,"medSBP","dairy_tot",0,0,0
45,1,"direct","dairy_tot",0.00944709331064765,0.00942560249664716,0.00754415316906542
45,1,"medBMI","dairy_tot",0,0,0
45,1,"medSBP","dairy_tot",0,0,0
55,0,"direct","dairy_tot",0.00872297545768407,0.00938218047278801,0.0103449118199585
55,0,"medBMI","dairy_tot",0,0,0
55,0,"medSBP","dairy_tot",0,0,0
55,1,"direct","dairy_tot",0.00571642508408985,0.00579769646253993,0.00661377767759673
55,1,"medBMI","dairy_tot",0,0,0
55,1,"medSBP","dairy_tot",0,0,0
65,0,"direct","dairy_tot",0.00719905621475312,0.00642130944012557,0.00799551576808554
65,0,"medBMI","dairy_tot",0,0,0
65,0,"medSBP","dairy_tot",0,0,0
65,1,"direct","dairy_tot",0.00533420039126364,0.00592211618994001,0.00549409173619484
65,1,"medBMI","dairy_tot",0,0,0
65,1,"medSBP","dairy_tot",0,0,0
75,0,"direct","dairy_tot",0.00457276042234624,0.00308344678719711,0.00400683250055745
75,0,"medBMI","dairy_tot",0,0,0
75,0,"medSBP","dairy_tot",0,0,0
75,1,"direct","dairy_tot",0.00498678477930032,0.00421031870554299,0.00361883114670523
75,1,"medBMI","dairy_tot",0,0,0
75,1,"medSBP","dairy_tot",0,0,0
25,0,"direct","leg_tot",0.00335911053394161,0.00292979363829245,0.00367825022995569
25,0,"medBMI","leg_tot",0.00617418567049723,0.00520181212916494,0.00487946371670553
25,0,"medSBP","leg_tot",0,0,0
25,1,"direct","leg_tot",0.00135147570452962,0.00116553371000369,0.00146629947619412
25,1,"medBMI","leg_tot",0.00299783347385254,0.00320813492510119,0.00259628366407522
25,1,"medSBP","leg_tot",0,0,0
35,0,"direct","leg_tot",0.00380781375428388,0.00490826508045506,0.00318324053509576
35,0,"medBMI","leg_tot",0.00586470998335521,0.0062037910031573,0.0045038827243883
35,0,"medSBP","leg_tot",0,0,0
35,1,"direct","leg_tot",0.00209404213366517,0.00257419796895526,0.00250697033611905
35,1,"medBMI","leg_tot",0.00362813287569479,0.00418265952809828,0.00382851939910073
35,1,"medSBP","leg_tot",0,0,0
45,0,"direct","leg_tot",0.00442880283211519,0.00536182249560569,0.00325578247947676
45,0,"medBMI","leg_tot",0.00547746828119755,0.0051642370049738,0.00339189445195907
45,0,"medSBP","leg_tot",0,0,0
45,1,"direct","leg_tot",0.00208440550664487,0.00191031138870318,0.00252212961108602
45,1,"medBMI","leg_tot",0.00381715116465279,0.00391404018534036,0.00451229127529679
45,1,"medSBP","leg_tot",0,0,0
55,0,"direct","leg_tot",0.00232452687507128,0.00275321971732692,0.00322065100864092
55,0,"medBMI","leg_tot",0.00365502363982345,0.00271746013670218,0.00313506443041784
55,0,"medSBP","leg_tot",0,0,0
55,1,"direct","leg_tot",0.0016512820379979,0.00109952436484752,0.00163043653647517
55,1,"medBMI","leg_tot",0.0029205157329434,0.00252853283160471,0.00304279644290293
55,1,"medSBP","leg_tot",0,0,0
65,0,"direct","leg_tot",0.00376382104720927,0.00545593574349536,0.00428657142906439
65,0,"medBMI","leg_tot",0.00441620557974561,0.00427847248677251,0.00355643564610943
65,0,"medSBP","leg_tot",0,0,0
65,1,"direct","leg_tot",0.00263526263457085,0.00175054679739451,0.00172617448835062
65,1,"medBMI","leg_tot",0.00333285170719417,0.00265511375841955,0.00336098635620983
65,1,"medSBP","leg_tot",0,0,0
75,0,"direct","leg_tot",0.00340674988050573,0.00257153583652722,0.00278978728127989
75,0,"medBMI","leg_tot",0.00310500170495725,0.00344048474130553,0.00281358460319623
75,0,"medSBP","leg_tot",0,0,0
75,1,"direct","leg_tot",0.00332590990675714,0.00370442367599062,0.00332104526965742
75,1,"medBMI","leg_tot",0.0034705141431848,0.00378511437973083,0.00376321336062423
75,1,"medSBP","leg_tot",0,0,0
