"race","disease_type","riskfactor","V1","V2","V3"
1,"CMD","dairy_tot",0,0,0
2,"CMD","dairy_tot",0,0,0
3,"CMD","dairy_tot",0,0,0
4,"CMD","dairy_tot",0,0,0
1,"Cancer","dairy_tot",7590.22880210514,6767.69449198569,7036.7303640346
2,"Cancer","dairy_tot",1631.51285498973,1660.1947681685,1795.78881193556
3,"Cancer","dairy_tot",1051.88367932388,1078.06962461081,1088.76874192285
4,"Cancer","dairy_tot",1071.94983088188,992.001551585883,1091.90505673958
1,"CMD","leg_tot",7488.1918148896,7348.04079625613,6615.65784752555
2,"CMD","leg_tot",956.370796060696,983.879323667387,1347.99158721416
3,"CMD","leg_tot",209.575029730856,276.533624633526,203.278969699804
4,"CMD","leg_tot",150.757473640975,226.56555186815,246.480175914241
1,"Cancer","leg_tot",2267.99424430867,2105.8660012316,2079.48905467048
2,"Cancer","leg_tot",227.255492002813,250.938492113753,256.457044980838
3,"Cancer","leg_tot",86.4058689386766,90.4634797801662,99.4863783341341
4,"Cancer","leg_tot",116.607501783678,119.921336032639,142.197798602272
