"female","pathway","disease_type","riskfactor","V1","V2","V3"
0,"direct","CMD","dairy_tot",0,0,0
0,"medBMI","CMD","dairy_tot",0,0,0
0,"medSBP","CMD","dairy_tot",0,0,0
1,"direct","CMD","dairy_tot",0,0,0
1,"medBMI","CMD","dairy_tot",0,0,0
1,"medSBP","CMD","dairy_tot",0,0,0
0,"direct","Cancer","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
0,"medBMI","Cancer","dairy_tot",0,0,0
0,"medSBP","Cancer","dairy_tot",0,0,0
1,"direct","Cancer","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
1,"medBMI","Cancer","dairy_tot",0,0,0
1,"medSBP","Cancer","dairy_tot",0,0,0
0,"direct","CMD","leg_tot",2187.90557142733,2340.34311711704,2220.84465301703
0,"medBMI","CMD","leg_tot",2566.46526061289,2442.4266649366,2060.15424339632
0,"medSBP","CMD","leg_tot",0,0,0
1,"direct","CMD","leg_tot",2227.26321561663,2130.32598263322,2042.29818569384
1,"medBMI","CMD","leg_tot",1823.26106666527,1921.92353173835,2090.11149824657
1,"medSBP","CMD","leg_tot",0,0,0
0,"direct","Cancer","leg_tot",514.342712799454,635.398950469186,491.778149988174
0,"medBMI","Cancer","leg_tot",558.272915591945,571.390041280469,525.010567820879
0,"medSBP","Cancer","leg_tot",0,0,0
1,"direct","Cancer","leg_tot",279.218099255162,204.161568983935,288.1683925593
1,"medBMI","Cancer","leg_tot",1346.42937938727,1156.23874842457,1272.67316621937
1,"medSBP","Cancer","leg_tot",0,0,0
