"age","female","race","pathway","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,1,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"direct","CMD","leg_tot",9.96234141689053,0.697310409942024,10.1832515669909,9.23142959935553,10.5054796068402,0.00672089794170413,0.000462080115657856,0.00680662465682508,0.00625119093663905,0.00711773723891639,0.680662465682508,0.625119093663905,0.711773723891639,0.0516308851822289,0.00361388474912626,0.0527757753358711,0.0478428575941056,0.0544457561397562
25,0,1,"direct","Cancer","dairy_tot",57.3326040199783,11.1852745614807,60.6599001232824,45.6511524355952,66.1858539165528,0.0210931999294395,0.00373404532659203,0.0222189716940294,0.0171904518065761,0.0240390420524014,2.22189716940294,1.71904518065761,2.40390420524014,0.29713226755459,0.0579688651943197,0.314376330560272,0.236591912604248,0.343015168950103
25,0,1,"direct","Cancer","leg_tot",3.51487066858775,1.69102952832431,4.02774181879345,1.74682666184456,4.8469741976561,0.00129696245605287,0.000620484276941571,0.00151963602976988,0.000642057215575583,0.00176259515887071,0.151963602976988,0.0642057215575583,0.176259515887071,0.0182161879749029,0.0087639388937869,0.0208741968065068,0.00905311342352115,0.0251199550194213
25,0,1,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"medBMI","CMD","leg_tot",17.516536430142,0.599803052238654,17.6972592948277,16.8896569511804,17.9898014741209,0.0118204004759711,0.00049628290922547,0.011992984917973,0.0112974724960506,0.01219663168019,1.1992984917973,1.12974724960506,1.219663168019,0.0907812976256414,0.00310854258313005,0.0917179129338229,0.0875324286051028,0.0932340436342257
25,0,1,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"medBMI","Cancer","leg_tot",3.69436514211267,0.210445667179855,3.67606290656035,3.50278806723371,3.90149911721109,0.00136247081383269,7.36602021288793e-05,0.00138695027929648,0.0012850506701332,0.00141908341188796,0.138695027929648,0.12850506701332,0.141908341188796,0.0191464370163277,0.00109065686715362,0.0190515837501289,0.0181535686189596,0.0202199306899649
25,0,1,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,2,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,2,"direct","CMD","leg_tot",5.67553572224191,0.821985110095687,5.88845533019682,4.82406082030489,6.34602895741725,0.00688035969659945,0.000987046680586691,0.00717349914479201,0.00584962625985662,0.0076619246023786,0.717349914479201,0.584962625985662,0.76619246023786,0.135562407214008,0.0196334382641549,0.140648075952611,0.115224593651045,0.151577402349158
