"age","pathway","riskfactor","V1","V2","V3"
25,"direct","dairy_tot",0.01009790587606,0.0099610266741246,0.00896349975023537
25,"medBMI","dairy_tot",0,0,0
25,"medSBP","dairy_tot",0,0,0
35,"direct","dairy_tot",0.0127573085043148,0.0121047573410698,0.0133609242056443
35,"medBMI","dairy_tot",0,0,0
35,"medSBP","dairy_tot",0,0,0
45,"direct","dairy_tot",0.0114506994606192,0.0104535444263191,0.00925776755732179
45,"medBMI","dairy_tot",0,0,0
45,"medSBP","dairy_tot",0,0,0
55,"direct","dairy_tot",0.00712903311654437,0.00747993650029222,0.00837207074167321
55,"medBMI","dairy_tot",0,0,0
55,"medSBP","dairy_tot",0,0,0
65,"direct","dairy_tot",0.00624689837444234,0.00616679612040561,0.00672255958599345
65,"medBMI","dairy_tot",0,0,0
65,"medSBP","dairy_tot",0,0,0
75,"direct","dairy_tot",0.00480605834827535,0.00371579679472025,0.00378855031284541
75,"medBMI","dairy_tot",0,0,0
75,"medSBP","dairy_tot",0,0,0
25,"direct","leg_tot",0.00210548485911736,0.00179986222054116,0.00227835397321844
25,"medBMI","leg_tot",0.00419077882396207,0.00392494896767422,0.00343448796229555
25,"medSBP","leg_tot",0,0,0
35,"direct","leg_tot",0.00288623117894638,0.00365504103645669,0.00281362803569938
35,"medBMI","leg_tot",0.00466198818190862,0.00511859060418579,0.00413476587281344
35,"medSBP","leg_tot",0,0,0
45,"direct","leg_tot",0.00318134299219425,0.00353194588738182,0.00286724762825185
45,"medBMI","leg_tot",0.00459400927793008,0.00450142415429282,0.00398524483852983
45,"medSBP","leg_tot",0,0,0
55,"direct","leg_tot",0.00196760172218182,0.00187562282817787,0.00237982344407995
55,"medBMI","leg_tot",0.00326561946986158,0.00261719861333256,0.00308627763556277
55,"medSBP","leg_tot",0,0,0
65,"direct","leg_tot",0.00318760184178477,0.00356674585325699,0.00298360437000573
65,"medBMI","leg_tot",0.00386306690243449,0.00345080420621,0.00345697294858543
65,"medSBP","leg_tot",0,0,0
75,"direct","leg_tot",0.00336119749236495,0.00320726170931241,0.00308866292898372
75,"medBMI","leg_tot",0.00331096372701586,0.00363387544605468,0.00334782769443194
75,"medSBP","leg_tot",0,0,0
