"age","disease_type3","X1","X2","X3"
25,"Other_CVD",1632.43421159379,1725.83595551901,1727.68324227473
35,"Other_CVD",2707.73573108323,2718.29705840588,2572.19461795995
45,"Other_CVD",4966.92643012668,5070.37389492264,5160.62737662173
55,"Other_CVD",11128.6869894079,10951.8927795598,11091.7032906005
65,"Other_CVD",17559.0972079517,17701.9392658639,17643.4376004013
75,"Other_CVD",72175.3618745649,72009.9503739197,72092.1207537777
25,"Cancer",15249.8300077948,15780.7282087379,15012.5147915582
35,"Cancer",30028.8993982611,29059.3009490102,29570.5788232106
45,"Cancer",97085.8497540772,97673.8930429333,96041.8829458156
55,"Cancer",298570.976776201,296764.067460863,296979.674355373
65,"Cancer",306174.149280978,306350.513097788,308811.037766106
75,"Cancer",265254.412145387,265733.28906225,264640.280967397
25,"DIAB",860.69229744901,812.668838488899,765.56332596023
35,"DIAB",2049.18908260213,2042.7604011573,2042.35436166641
45,"DIAB",5618.28620763785,5676.49751900923,5673.65529099271
55,"DIAB",13269.1767797648,13118.8820945354,12990.1452306379
65,"DIAB",18561.5841114386,18704.4117897421,18641.1878517332
75,"DIAB",32462.4461411884,32178.2359664372,32124.3183058466
25,"All_HD",1597.78883956623,1632.26905546315,1530.21320062874
35,"All_HD",6078.24869559248,6213.22484271641,6195.97444775706
45,"All_HD",22588.4233073644,22388.7557433865,22603.1819288267
55,"All_HD",58022.1517184343,57981.6361320563,57824.4701839681
65,"All_HD",82252.429381019,82136.8600411416,82050.9149064116
75,"All_HD",244056.673392876,245476.742449898,244148.114953452
25,"All_STK",515.277200941011,497.489331706786,490.013499151119
35,"All_STK",1698.94743361472,1719.4329296893,1732.13199012983
45,"All_STK",5122.99557524741,5195.62310694804,5121.89918107291
55,"All_STK",12655.2582875204,12894.6642731911,12954.5626306363
65,"All_STK",23346.4668770271,23424.8200644357,23457.0870711826
75,"All_STK",103394.349768846,103817.111941709,104859.766112889
