"race","pathway","disease_type3","riskfactor","V1","V2","V3"
1,"direct","Other_CVD","dairy_tot",0,0,0
1,"medBMI","Other_CVD","dairy_tot",0,0,0
1,"medSBP","Other_CVD","dairy_tot",0,0,0
2,"direct","Other_CVD","dairy_tot",0,0,0
2,"medBMI","Other_CVD","dairy_tot",0,0,0
2,"medSBP","Other_CVD","dairy_tot",0,0,0
3,"direct","Other_CVD","dairy_tot",0,0,0
3,"medBMI","Other_CVD","dairy_tot",0,0,0
3,"medSBP","Other_CVD","dairy_tot",0,0,0
4,"direct","Other_CVD","dairy_tot",0,0,0
4,"medBMI","Other_CVD","dairy_tot",0,0,0
4,"medSBP","Other_CVD","dairy_tot",0,0,0
1,"direct","Cancer","dairy_tot",7590.22880210514,6767.69449198569,7036.7303640346
1,"medBMI","Cancer","dairy_tot",0,0,0
1,"medSBP","Cancer","dairy_tot",0,0,0
2,"direct","Cancer","dairy_tot",1631.51285498973,1660.1947681685,1795.78881193556
2,"medBMI","Cancer","dairy_tot",0,0,0
2,"medSBP","Cancer","dairy_tot",0,0,0
3,"direct","Cancer","dairy_tot",1051.88367932388,1078.06962461081,1088.76874192285
3,"medBMI","Cancer","dairy_tot",0,0,0
3,"medSBP","Cancer","dairy_tot",0,0,0
4,"direct","Cancer","dairy_tot",1071.94983088188,992.001551585883,1091.90505673958
4,"medBMI","Cancer","dairy_tot",0,0,0
4,"medSBP","Cancer","dairy_tot",0,0,0
1,"direct","DIAB","dairy_tot",0,0,0
1,"medBMI","DIAB","dairy_tot",0,0,0
1,"medSBP","DIAB","dairy_tot",0,0,0
2,"direct","DIAB","dairy_tot",0,0,0
2,"medBMI","DIAB","dairy_tot",0,0,0
2,"medSBP","DIAB","dairy_tot",0,0,0
3,"direct","DIAB","dairy_tot",0,0,0
3,"medBMI","DIAB","dairy_tot",0,0,0
3,"medSBP","DIAB","dairy_tot",0,0,0
4,"direct","DIAB","dairy_tot",0,0,0
4,"medBMI","DIAB","dairy_tot",0,0,0
4,"medSBP","DIAB","dairy_tot",0,0,0
1,"direct","All_HD","dairy_tot",0,0,0
1,"medBMI","All_HD","dairy_tot",0,0,0
1,"medSBP","All_HD","dairy_tot",0,0,0
2,"direct","All_HD","dairy_tot",0,0,0
2,"medBMI","All_HD","dairy_tot",0,0,0
2,"medSBP","All_HD","dairy_tot",0,0,0
3,"direct","All_HD","dairy_tot",0,0,0
3,"medBMI","All_HD","dairy_tot",0,0,0
3,"medSBP","All_HD","dairy_tot",0,0,0
4,"direct","All_HD","dairy_tot",0,0,0
4,"medBMI","All_HD","dairy_tot",0,0,0
4,"medSBP","All_HD","dairy_tot",0,0,0
1,"direct","All_STK","dairy_tot",0,0,0
1,"medBMI","All_STK","dairy_tot",0,0,0
1,"medSBP","All_STK","dairy_tot",0,0,0
2,"direct","All_STK","dairy_tot",0,0,0
2,"medBMI","All_STK","dairy_tot",0,0,0
2,"medSBP","All_STK","dairy_tot",0,0,0
3,"direct","All_STK","dairy_tot",0,0,0
3,"medBMI","All_STK","dairy_tot",0,0,0
3,"medSBP","All_STK","dairy_tot",0,0,0
4,"direct","All_STK","dairy_tot",0,0,0
4,"medBMI","All_STK","dairy_tot",0,0,0
4,"medSBP","All_STK","dairy_tot",0,0,0
1,"direct","Other_CVD","leg_tot",0,0,0
1,"medBMI","Other_CVD","leg_tot",424.323819507961,475.072599575994,390.108996936966
1,"medSBP","Other_CVD","leg_tot",0,0,0
2,"direct","Other_CVD","leg_tot",0,0,0
2,"medBMI","Other_CVD","leg_tot",60.2269308253356,58.9580056194358,62.8714960025374
2,"medSBP","Other_CVD","leg_tot",0,0,0
3,"direct","Other_CVD","leg_tot",0,0,0
3,"medBMI","Other_CVD","leg_tot",10.7784318446176,14.935916407689,9.34655257522858
3,"medSBP","Other_CVD","leg_tot",0,0,0
4,"direct","Other_CVD","leg_tot",0,0,0
4,"medBMI","Other_CVD","leg_tot",7.61289779991128,11.4879422779851,11.6943646985723
4,"medSBP","Other_CVD","leg_tot",0,0,0
1,"direct","Cancer","leg_tot",696.621264975958,723.601688525368,666.397447673768
1,"medBMI","Cancer","leg_tot",1571.37297933271,1382.26431270623,1413.09160699671
1,"medSBP","Cancer","leg_tot",0,0,0
2,"direct","Cancer","leg_tot",54.8725320470326,71.1196495203327,61.683792843022
2,"medBMI","Cancer","leg_tot",172.38295995578,179.818842593421,194.773252137816
2,"medSBP","Cancer","leg_tot",0,0,0
3,"direct","Cancer","leg_tot",13.0361195887262,13.336349716706,17.0727073582568
3,"medBMI","Cancer","leg_tot",73.3697493499504,77.1271300634602,82.4136709758774
3,"medSBP","Cancer","leg_tot",0,0,0
4,"direct","Cancer","leg_tot",29.0308954428996,31.502831690714,34.7925946724272
4,"medBMI","Cancer","leg_tot",87.5766063407786,88.418504341925,107.405203929845
4,"medSBP","Cancer","leg_tot",0,0,0
1,"direct","DIAB","leg_tot",0,0,0
1,"medBMI","DIAB","leg_tot",647.635748345023,716.515533154554,639.425808096401
1,"medSBP","DIAB","leg_tot",0,0,0
2,"direct","DIAB","leg_tot",0,0,0
2,"medBMI","DIAB","leg_tot",153.720252195913,146.599501800162,159.309505635173
2,"medSBP","DIAB","leg_tot",0,0,0
3,"direct","DIAB","leg_tot",0,0,0
3,"medBMI","DIAB","leg_tot",33.1658569482446,37.9421416338733,29.5835910875382
3,"medSBP","DIAB","leg_tot",0,0,0
4,"direct","DIAB","leg_tot",0,0,0
4,"medBMI","DIAB","leg_tot",21.5486092498605,27.4911546779862,23.6097203410539
4,"medSBP","DIAB","leg_tot",0,0,0
1,"direct","All_HD","leg_tot",1735.02625544453,1509.06090270867,1477.33048877296
1,"medBMI","All_HD","leg_tot",2072.79624881418,1914.03746757897,1806.51449870084
1,"medSBP","All_HD","leg_tot",0,0,0
2,"direct","All_HD","leg_tot",189.181039959885,174.521213693809,286.517016349894
2,"medBMI","All_HD","leg_tot",217.182303852254,225.70678342498,318.56114603804
2,"medSBP","All_HD","leg_tot",0,0,0
3,"direct","All_HD","leg_tot",42.9725014615719,33.521890778454,34.9354317202658
3,"medBMI","All_HD","leg_tot",48.1880441284083,71.2719956992398,40.1018294290387
3,"medSBP","All_HD","leg_tot",0,0,0
4,"direct","All_HD","leg_tot",28.6289809223903,46.6393370210196,52.6625768452419
4,"medBMI","All_HD","leg_tot",30.9936360392209,44.932020700825,45.7867093854179
4,"medSBP","All_HD","leg_tot",0,0,0
1,"direct","All_STK","leg_tot",2040.82028252285,2227.58142115784,1820.63602736617
1,"medBMI","All_STK","leg_tot",567.589460255056,505.772872080105,481.64202765222
1,"medSBP","All_STK","leg_tot",0,0,0
2,"direct","All_STK","leg_tot",268.239220006502,303.351949091031,424.767632754312
2,"medBMI","All_STK","leg_tot",67.8210492208066,74.7418700379674,95.9647904342031
2,"medSBP","All_STK","leg_tot",0,0,0
3,"direct","All_STK","leg_tot",59.3263677983363,99.785342275071,72.3602573388351
3,"medBMI","All_STK","leg_tot",15.1438275496773,19.0763378391991,16.9513075488976
3,"medSBP","All_STK","leg_tot",0,0,0
4,"direct","All_STK","leg_tot",50.9741389278957,76.2070430243556,93.9334075631932
4,"medBMI","All_STK","leg_tot",10.9992107016958,19.8080541659782,18.7933970807621
4,"medSBP","All_STK","leg_tot",0,0,0
