"female","pathway","riskfactor","V1","V2","V3"
0,"direct","dairy_tot",0.00727711112322735,0.00645266556501393,0.00743080132683324
0,"medBMI","dairy_tot",0,0,0
0,"medSBP","dairy_tot",0,0,0
1,"direct","dairy_tot",0.0057616861846479,0.00556385761042068,0.00527731152496697
1,"medBMI","dairy_tot",0,0,0
1,"medSBP","dairy_tot",0,0,0
0,"direct","leg_tot",0.00334533496188721,0.00367471332034457,0.0033508218537193
0,"medBMI","leg_tot",0.00386836987874814,0.00372173130058825,0.00319337680686603
0,"medSBP","leg_tot",0,0,0
1,"direct","leg_tot",0.00264140810625803,0.00246341463051179,0.0024608686353531
1,"medBMI","leg_tot",0.00334031855288739,0.00324816038997084,0.00355095043432618
1,"medSBP","leg_tot",0,0,0
