"female","disease_type2","riskfactor","V1","V2","V3"
0,"Other_CVD","dairy_tot",0,0,0
1,"Other_CVD","dairy_tot",0,0,0
0,"Cancer","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
1,"Cancer","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
0,"DIAB","dairy_tot",0,0,0
1,"DIAB","dairy_tot",0,0,0
0,"HHD","dairy_tot",0,0,0
1,"HHD","dairy_tot",0,0,0
0,"HSTK","dairy_tot",0,0,0
1,"HSTK","dairy_tot",0,0,0
0,"IHD","dairy_tot",0,0,0
1,"IHD","dairy_tot",0,0,0
0,"ISTK","dairy_tot",0,0,0
1,"ISTK","dairy_tot",0,0,0
0,"OSTK","dairy_tot",0,0,0
1,"OSTK","dairy_tot",0,0,0
0,"Other_CVD","leg_tot",259.498424604955,256.753802502561,231.739705182132
1,"Other_CVD","leg_tot",243.443655372871,303.700661378544,242.281705031172
0,"Cancer","leg_tot",1072.6156283914,1206.78899174966,1016.78871780905
1,"Cancer","leg_tot",1625.64747864243,1360.40031740851,1560.84155877867
0,"DIAB","leg_tot",502.885407804846,579.443212815382,420.48575605274
1,"DIAB","leg_tot",353.185058934196,349.105118451194,431.442869107427
0,"HHD","leg_tot",300.295302869295,248.034098306359,237.341164836903
1,"HHD","leg_tot",274.223950100988,232.302303337643,176.876758480968
0,"HSTK","leg_tot",345.643028858151,313.787924383773,295.076824924419
1,"HSTK","leg_tot",473.958028063166,501.837305126642,515.77893094794
0,"IHD","leg_tot",2372.66456666635,2337.38394174113,2110.85241695794
1,"IHD","leg_tot",1417.78519098581,1201.97126822084,1537.33935696588
0,"ISTK","leg_tot",380.033028876319,295.043234438647,320.888342977554
1,"ISTK","leg_tot",430.011921917093,589.72278568176,473.879943568457
0,"OSTK","leg_tot",593.351072360307,752.323567865781,664.614685481654
1,"OSTK","leg_tot",857.916476907782,873.610072174946,754.810119838569
