"female","disease_type3","riskfactor","V1","V2","V3"
0,"All_HD","dairy_tot",0,0,0
0,"All_STK","dairy_tot",0,0,0
0,"Cancer","dairy_tot",0.014192250264281,0.0126510385203377,0.0145232963321757
0,"DIAB","dairy_tot",0,0,0
0,"Other_CVD","dairy_tot",0,0,0
1,"All_HD","dairy_tot",0,0,0
1,"All_STK","dairy_tot",0,0,0
1,"Cancer","dairy_tot",0.00914000933161435,0.00881231847928439,0.00837329795139184
1,"DIAB","dairy_tot",0,0,0
1,"Other_CVD","dairy_tot",0,0,0
0,"All_HD","leg_tot",0.0111927978366009,0.0107265425366666,0.00979559224929729
0,"All_STK","leg_tot",0.0213103217688544,0.0218287654621404,0.0203879672003783
0,"Cancer","leg_tot",0.00258970761707217,0.00292177346378325,0.00245483438844164
0,"DIAB","leg_tot",0.0122843667819697,0.0141320989688069,0.0103489957130038
0,"Other_CVD","leg_tot",0.00499629379540199,0.0049028784047796,0.00444111845239083
1,"All_HD","leg_tot",0.00962544573797794,0.00820524818199577,0.00981608052851182
1,"All_STK","leg_tot",0.0207678685404257,0.0230672371674062,0.0203306477852845
1,"Cancer","leg_tot",0.00271765578379241,0.00227366698586918,0.00261509930641626
1,"DIAB","leg_tot",0.0110770658041408,0.0110716182212121,0.0136503875691279
1,"Other_CVD","leg_tot",0.00418057785212427,0.00525339903230417,0.00416955824066952
